<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPCK.US,D,20201217,000000,21.3164,21.3241,21.1815,21.2694,127481,0
SPCK.US,D,20201218,000000,21.3667,21.4128,21.3164,21.3412,115876,0
SPCK.US,D,20201221,000000,21.5689,21.5689,21.3753,21.4674,145326,0
SPCK.US,D,20201222,000000,21.6278,21.8472,21.5689,21.5784,204976,0
SPCK.US,D,20201223,000000,21.7209,21.7883,21.645,21.737,210043,0
SPCK.US,D,20201224,000000,21.965,22.0409,21.796,21.8975,168395,0
SPCK.US,D,20201228,000000,22.4872,22.4872,22.0571,22.1246,501563,0
SPCK.US,D,20201229,000000,22.192,22.192,21.6535,21.8301,218651,0
SPCK.US,D,20201230,000000,21.9897,22.0239,21.8046,21.8719,91034.1,0
SPCK.US,D,20201231,000000,21.906,21.906,21.737,21.8635,62189.7,0
SPCK.US,D,20210104,000000,21.9564,21.9982,21.6782,21.7883,142748,0
SPCK.US,D,20210105,000000,21.8131,21.8719,21.6953,21.7627,85735.1,0
SPCK.US,D,20210106,000000,21.737,21.8046,21.6535,21.6953,89077.1,0
SPCK.US,D,20210107,000000,21.4845,22.4156,21.4845,22.3191,211246,0
SPCK.US,D,20210108,000000,22.5803,22.6391,22.4198,22.5376,78666.7,0
SPCK.US,D,20210111,000000,22.605,22.8329,22.4028,22.8329,111086,0
SPCK.US,D,20210112,000000,23.0599,23.2288,22.9924,23.1767,219027,0
SPCK.US,D,20210113,000000,23.4225,23.7596,23.3969,23.7254,313275,0
SPCK.US,D,20210114,000000,24.1726,24.2648,23.8859,23.9618,558628,0
SPCK.US,D,20210115,000000,24.1214,24.1214,23.5906,23.6581,367950,0
SPCK.US,D,20210119,000000,23.8774,24.0207,23.8015,23.8603,449766,0
SPCK.US,D,20210120,000000,24.2315,24.4252,24.0293,24.3997,268976,0
SPCK.US,D,20210121,000000,24.636,24.8801,24.3997,24.8212,621420,0
SPCK.US,D,20210122,000000,24.8544,25.4526,24.8459,25.4194,792348,0
SPCK.US,D,20210125,000000,26.4895,26.5399,25.1915,25.5286,1757448,0
SPCK.US,D,20210126,000000,25.6634,25.7897,24.8544,24.9561,773366,0
SPCK.US,D,20210127,000000,24.223,24.5089,23.8603,23.8859,641767,0
SPCK.US,D,20210128,000000,23.9705,24.4338,23.9192,24.4338,413519,0
SPCK.US,D,20210129,000000,24.4338,24.6351,24.0967,24.5174,261166,0
SPCK.US,D,20210201,000000,24.7453,25.2172,24.6778,25.2172,545472,0
SPCK.US,D,20210202,000000,25.7983,26.3547,25.5705,26.0594,726156,0
SPCK.US,D,20210203,000000,26.5399,26.5399,25.9076,26.2114,607078,0
SPCK.US,D,20210204,000000,26.5646,26.5646,26.1269,26.3035,608001,0
SPCK.US,D,20210205,000000,26.6244,27.0792,26.6244,26.8684,653427,0
SPCK.US,D,20210208,000000,27.6348,27.7277,27.1295,27.1629,1211098,0
SPCK.US,D,20210209,000000,27.441,27.441,26.8096,27.0118,680425,0
SPCK.US,D,20210210,000000,27.0451,27.2815,26.6994,27.1125,460866,0
SPCK.US,D,20210211,000000,27.3148,27.3488,26.708,26.8514,384480,0
SPCK.US,D,20210212,000000,26.7507,27.0451,26.7507,27.028,259213,0
SPCK.US,D,20210216,000000,27.3821,27.4999,27.1295,27.2473,827349,0
SPCK.US,D,20210217,000000,27.3233,27.3233,26.9187,27.0877,532751,0
SPCK.US,D,20210218,000000,26.9614,27.0707,26.7336,26.9614,326899,0
SPCK.US,D,20210219,000000,27.2226,27.2226,26.9947,27.1295,392657,0
SPCK.US,D,20210222,000000,26.9614,27.2302,26.818,26.9445,450454,0
SPCK.US,D,20210223,000000,25.992,26.3709,25.3519,26.3709,944222,0
SPCK.US,D,20210224,000000,26.8343,26.8343,26.068,26.068,644500,0
SPCK.US,D,20210225,000000,26.1183,26.1943,25.4612,25.6302,587991,0
SPCK.US,D,20210226,000000,25.5961,25.6268,25.2087,25.4784,362396,0
SPCK.US,D,20210301,000000,25.748,25.8658,25.5457,25.6634,320352,0
SPCK.US,D,20210302,000000,25.9331,25.9331,25.032,25.0823,354940,0
SPCK.US,D,20210303,000000,24.9979,25.0738,24.6608,24.7708,386116,0
SPCK.US,D,20210304,000000,24.4252,24.6522,24.1555,24.4756,612905,0
SPCK.US,D,20210305,000000,24.1128,24.6855,24.1128,24.6437,486104,0
SPCK.US,D,20210308,000000,24.3911,24.7282,24.3579,24.5174,204467,0
SPCK.US,D,20210309,000000,24.6522,24.863,24.4756,24.619,218540,0
