<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSACR.US,D,20260302,000000,0.214,0.23,0.19,0.23,613300,0
SSACR.US,D,20260303,000000,0.19,0.19,0.19,0.19,571875,0
SSACR.US,D,20260304,000000,0.2029,0.2073,0.2029,0.2073,1900,0
SSACR.US,D,20260305,000000,0.2,0.2,0.2,0.2,1200,0
SSACR.US,D,20260309,000000,0.1901,0.1901,0.19,0.19,71100,0
SSACR.US,D,20260310,000000,0.18,0.18,0.18,0.18,16399,0
SSACR.US,D,20260311,000000,0.1355,0.1355,0.1355,0.1355,2000,0
SSACR.US,D,20260313,000000,0.16,0.18,0.1421,0.1663,37104,0
SSACR.US,D,20260316,000000,0.18,0.1963,0.17,0.1701,39010,0
SSACR.US,D,20260317,000000,0.17,0.17,0.17,0.17,19644,0
SSACR.US,D,20260318,000000,0.17,0.17,0.17,0.17,80000,0
SSACR.US,D,20260319,000000,0.17,0.18,0.17,0.18,6076,0
SSACR.US,D,20260323,000000,0.18,0.18,0.18,0.18,2400,0
SSACR.US,D,20260324,000000,0.17,0.18,0.17,0.18,6300,0
SSACR.US,D,20260325,000000,0.18,0.18,0.18,0.18,2422,0
SSACR.US,D,20260326,000000,0.18,0.18,0.1761,0.18,55807,0
SSACR.US,D,20260327,000000,0.18,0.18,0.17,0.1799,295360,0
SSACR.US,D,20260330,000000,0.1701,0.1701,0.17,0.17,50000,0
SSACR.US,D,20260331,000000,0.18,0.18,0.18,0.18,1008,0
SSACR.US,D,20260409,000000,0.1761,0.1792,0.1761,0.1761,500,0
SSACR.US,D,20260416,000000,0.18,0.18,0.1764,0.18,80000,0
SSACR.US,D,20260417,000000,0.1797,0.1798,0.1699,0.17,16000,0
SSACR.US,D,20260421,000000,0.18,0.18,0.18,0.18,6200,0
SSACR.US,D,20260423,000000,0.18,0.18,0.18,0.18,75000,0
SSACR.US,D,20260428,000000,0.1701,0.18,0.17,0.17,107970,0
SSACR.US,D,20260504,000000,0.169999,0.17,0.1699,0.1699,1136,0
SSACR.US,D,20260505,000000,0.16,0.16,0.16,0.16,50010,0
SSACR.US,D,20260506,000000,0.17,0.17,0.17,0.17,284100,0
SSACR.US,D,20260507,000000,0.17,0.17,0.1601,0.17,5800,0
SSACR.US,D,20260511,000000,0.17,0.17,0.17,0.17,27630,0
SSACR.US,D,20260512,000000,0.17,0.17,0.17,0.17,100,0
SSACR.US,D,20260515,000000,0.18,0.18,0.1602,0.1602,450,0
SSACR.US,D,20260518,000000,0.1602,0.1602,0.1602,0.1602,100,0
SSACR.US,D,20260519,000000,0.1602,0.1602,0.1602,0.1602,5000,0
SSACR.US,D,20260522,000000,0.1799,0.18,0.1527,0.160733,411548,0
SSACR.US,D,20260528,000000,0.16,0.16,0.16,0.16,20039,0
SSACR.US,D,20260529,000000,0.1799,0.1873,0.168,0.18,2257502,0
SSACR.US,D,20260601,000000,0.2,0.2,0.175,0.18,1504944,0
SSACR.US,D,20260602,000000,0.18,0.18,0.1614,0.1614,34364,0
SSACR.US,D,20260604,000000,0.18,0.186901,0.178,0.1799,154786,0
SSACR.US,D,20260605,000000,0.18,0.1803,0.1785,0.18,60000,0
SSACR.US,D,20260608,000000,0.1785,0.18,0.176,0.1799,23500,0
SSACR.US,D,20260609,000000,0.1799,0.1799,0.1799,0.1799,655,0
SSACR.US,D,20260611,000000,0.17,0.18,0.168,0.1779,26478,0
SSACR.US,D,20260612,000000,0.18,0.18,0.17,0.17,1356,0
SSACR.US,D,20260615,000000,0.177768,0.18,0.172,0.172,14300,0
SSACR.US,D,20260616,000000,0.1795,0.18,0.165,0.1784,3356,0
SSACR.US,D,20260617,000000,0.1614,0.17,0.1614,0.17,1100,0
SSACR.US,D,20260618,000000,0.175,0.18,0.175,0.1799,5907,0
SSACR.US,D,20260623,000000,0.178,0.178,0.175,0.175,310,0
SSACR.US,D,20260624,000000,0.177382,0.177382,0.16,0.16,32598,0
SSACR.US,D,20260625,000000,0.16,0.1647,0.1501,0.1501,8461,0
SSACR.US,D,20260626,000000,0.1501,0.1641,0.15,0.1641,7727,0
SSACR.US,D,20260629,000000,0.1686,0.1686,0.15,0.15,15959,0
SSACR.US,D,20260630,000000,0.14505,0.17,0.14505,0.15,26585,0
SSACR.US,D,20260706,000000,0.17,0.17,0.15,0.15,25208,0
SSACR.US,D,20260709,000000,0.1625,0.1625,0.155,0.155,501,0
SSACR.US,D,20260710,000000,0.146,0.1551,0.145,0.145,2587,0
SSACR.US,D,20260716,000000,0.152601,0.1591,0.145,0.1583,15453,0
SSACR.US,D,20260717,000000,0.1471,0.1596,0.146794,0.149482,13601,0
SSACR.US,D,20260721,000000,0.1452,0.1452,0.145,0.145,1494,0
SSACR.US,D,20260723,000000,0.1452,0.16,0.1452,0.16,2025,0
SSACR.US,D,20260731,000000,0.1571,0.16,0.1571,0.16,500,0
SSACR.US,D,20260806,000000,0.1603,0.1603,0.1603,0.1603,208,0
SSACR.US,D,20260813,000000,0.1571,0.1868,0.1571,0.1799,96020,0
SSACR.US,D,20260814,000000,0.18,0.18,0.18,0.18,5004,0
SSACR.US,D,20260817,000000,0.17,0.17,0.1599,0.17,140838,0
SSACR.US,D,20260821,000000,0.18,0.1984,0.17,0.17,6951,0
SSACR.US,D,20260824,000000,0.156,0.17,0.156,0.17,701,0
