<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUGP.US,D,20240124,000000,219,236,170,200,35640,0
SUGP.US,D,20240125,000000,185,199.5,156,156,5037.4400000000005,0
SUGP.US,D,20240126,000000,150,216,141.54,176.03,17449.780000000002,0
SUGP.US,D,20240129,000000,172,205,158.005,196.635,7563.900000000001,0
SUGP.US,D,20240130,000000,197,204,183.5,188,3606.2000000000003,0
SUGP.US,D,20240131,000000,187,198.06,165.5,185,6852.1,0
SUGP.US,D,20240201,000000,185,185.495,168,184.5,2139.6600000000003,0
SUGP.US,D,20240202,000000,162,170,156.6,166,1460.4400000000003,0
SUGP.US,D,20240205,000000,161,164.5,141,145.5,1750.2400000000002,0
SUGP.US,D,20240206,000000,140,144,110.72,125,1549.4400000000003,0
SUGP.US,D,20240207,000000,120.5,124.28,110.005,118.75,856.1800000000002,0
SUGP.US,D,20240208,000000,145,157.5,119,128.5,3197.0200000000004,0
SUGP.US,D,20240209,000000,113,139.995,113,132.5,1041.7400000000002,0
SUGP.US,D,20240212,000000,150,205,126.98,192,21462.840000000004,0
SUGP.US,D,20240213,000000,182.5,200,176,191.5,3875.2000000000003,0
SUGP.US,D,20240214,000000,183.5,200,177.03,180,2743.9800000000005,0
SUGP.US,D,20240215,000000,192,195,178,181.5,2504.1000000000004,0
SUGP.US,D,20240216,000000,182,200.5,180.885,200,1529.7800000000002,0
SUGP.US,D,20240220,000000,198,207.225,184,192.5,1706.18,0
SUGP.US,D,20240221,000000,188,188,175,183.5,1078.4800000000002,0
SUGP.US,D,20240222,000000,177.5,177.5,156.005,165,1310.16,0
SUGP.US,D,20240223,000000,258.5,293,166,180,290597.38000000006,0
SUGP.US,D,20240226,000000,165.5,204,150.5,198.5,8698.26,0
SUGP.US,D,20240227,000000,183,205,165,186,2740.4,0
SUGP.US,D,20240228,000000,185,185,165.5,165.5,1926.38,0
SUGP.US,D,20240229,000000,161,170,152.75,159.5,991.9800000000001,0
SUGP.US,D,20240301,000000,156.5,166.5,155,156,1800.3600000000004,0
SUGP.US,D,20240304,000000,155,160,147,148,1557.6800000000003,0
SUGP.US,D,20240305,000000,138,147.995,127.5,130,1925.58,0
SUGP.US,D,20240306,000000,128,144,125,133.5,2362.0600000000004,0
SUGP.US,D,20240307,000000,130.5,147.43,130.5,137,2710.4600000000005,0
SUGP.US,D,20240308,000000,146.5,171.5,130,158.5,13994.560000000001,0
SUGP.US,D,20240311,000000,145.5,169.16,145.5,158,4362.820000000001,0
SUGP.US,D,20240312,000000,153,170,137.5,166.5,2097.78,0
SUGP.US,D,20240313,000000,159,164.695,150,154,1097.9400000000003,0
SUGP.US,D,20240314,000000,166.5,166.5,148,152.5,1893.5200000000002,0
SUGP.US,D,20240315,000000,153.25,158,146.5,156.5,1532.3600000000001,0
