<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUMAU.US,D,20260311,000000,9.99,10.02,9.99,10.01,5483500,0
SUMAU.US,D,20260312,000000,10.01,10.01,9.99,9.99,351882,0
SUMAU.US,D,20260313,000000,10.01,10.01,9.98,9.98,443200,0
SUMAU.US,D,20260316,000000,10,10.03,9.99,10.015,755686,0
SUMAU.US,D,20260317,000000,10.04,10.04,9.995,10.02,4880,0
SUMAU.US,D,20260318,000000,10.02,10.02,10.02,10.02,40273,0
SUMAU.US,D,20260319,000000,10.04,10.04,10.02,10.02,851,0
SUMAU.US,D,20260320,000000,9.99,10.04,9.99,10,2060,0
SUMAU.US,D,20260323,000000,10.04,10.04,9.98,9.98,2289,0
SUMAU.US,D,20260325,000000,10.01,10.01,10.01,10.01,333,0
SUMAU.US,D,20260326,000000,9.99,10.02,9.99,10.02,200199,0
SUMAU.US,D,20260327,000000,10,10,10,10,1679,0
SUMAU.US,D,20260330,000000,10.09,10.1,10,10,3627,0
SUMAU.US,D,20260331,000000,10.02,10.02,9.99,10.02,817163,0
SUMAU.US,D,20260402,000000,10.06,10.06,10.06,10.06,400,0
SUMAU.US,D,20260406,000000,10.045,10.045,10.01,10.01,5400,0
SUMAU.US,D,20260407,000000,9.9902,9.9902,9.9902,9.9902,1573,0
SUMAU.US,D,20260409,000000,10.02,10.02,10.02,10.02,104596,0
SUMAU.US,D,20260415,000000,10.05,10.05,10.05,10.05,13500,0
SUMAU.US,D,20260417,000000,10.05,10.05,10.05,10.05,25019,0
SUMAU.US,D,20260420,000000,10.05,10.06,10.05,10.06,31133,0
SUMAU.US,D,20260421,000000,10.03,10.1,10.03,10.1,3502,0
SUMAU.US,D,20260422,000000,10.06,10.1,10.06,10.08,569,0
SUMAU.US,D,20260423,000000,10.09,10.0999,10.09,10.0999,200,0
SUMAU.US,D,20260427,000000,10.0999,10.0999,10.0701,10.0701,801,0
SUMAU.US,D,20260428,000000,10.07,10.07,10.07,10.07,753,0
SUMAU.US,D,20260429,000000,10.085,10.085,10.085,10.085,1261,0
SUMAU.US,D,20260506,000000,10.0798,10.0798,10.0798,10.0798,312,0
SUMAU.US,D,20260507,000000,10.07,10.07,10.07,10.07,4783,0
SUMAU.US,D,20260508,000000,10.07,10.07,10.07,10.07,162,0
SUMAU.US,D,20260511,000000,10.0701,10.0802,10.07,10.0802,3200,0
SUMAU.US,D,20260512,000000,10.07,10.07,10.07,10.07,412,0
SUMAU.US,D,20260513,000000,10.07,10.07,10.07,10.07,212,0
SUMAU.US,D,20260515,000000,10.07,10.07,10.07,10.07,278,0
SUMAU.US,D,20260518,000000,10.1,10.1,10.1,10.1,263,0
SUMAU.US,D,20260520,000000,10.07,10.07,10.07,10.07,100,0
SUMAU.US,D,20260521,000000,10.1,10.1,10.1,10.1,366,0
SUMAU.US,D,20260522,000000,10.07,10.07,10.07,10.07,521,0
SUMAU.US,D,20260528,000000,10.15,10.15,10.1,10.1,1729,0
SUMAU.US,D,20260529,000000,10.1,10.1,10.1,10.1,175,0
SUMAU.US,D,20260603,000000,10.15,10.15,10.15,10.15,100,0
SUMAU.US,D,20260604,000000,10.15,10.15,10.15,10.15,100,0
SUMAU.US,D,20260605,000000,10.15,10.15,10.07,10.15,1600,0
SUMAU.US,D,20260624,000000,10.09,10.09,10.09,10.09,119,0
SUMAU.US,D,20260630,000000,10.21,10.21,10.1,10.1,600,0
SUMAU.US,D,20260706,000000,10.22,10.22,10.22,10.22,100,0
SUMAU.US,D,20260707,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260708,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260709,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260715,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260717,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260721,000000,10.25,10.25,10.15,10.16,2236,0
SUMAU.US,D,20260722,000000,10.25,10.25,10.25,10.25,394,0
SUMAU.US,D,20260729,000000,10.16,10.24,10.16,10.24,1802,0
SUMAU.US,D,20260731,000000,10.16,10.16,10.16,10.16,262,0
SUMAU.US,D,20260806,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260807,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260810,000000,10.25,10.25,10.25,10.25,500,0
SUMAU.US,D,20260811,000000,10.25,10.25,10.25,10.25,155,0
SUMAU.US,D,20260813,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260817,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260819,000000,10.25,10.25,10.25,10.25,100,0
SUMAU.US,D,20260824,000000,10.25,10.25,10.25,10.25,100,0
