<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCGX.US,D,20260805,000000,10.3,11.06,10.3,10.75,1084134,0
TCGX.US,D,20260806,000000,10.65,11.76,10.52,11.76,27287,0
TCGX.US,D,20260807,000000,12.59,14.93,12.4,12.7,45253,0
TCGX.US,D,20260810,000000,12.77,14.55,11.62,14.16,33508,0
TCGX.US,D,20260811,000000,14.765,15.605,13.785,14.42,13769,0
TCGX.US,D,20260812,000000,14.32,18.91,13.45,17.5,39397,0
TCGX.US,D,20260813,000000,16.27,17.1,15.83,16.6,10598,0
TCGX.US,D,20260814,000000,15.01,15.67,14,14.87,11016,0
TCGX.US,D,20260817,000000,14.01,14.99,13.6,14.02,1815,0
TCGX.US,D,20260818,000000,14,14.11,14,14,1458,0
TCGX.US,D,20260819,000000,17.93,17.93,14.2,14.89,469509,0
TCGX.US,D,20260820,000000,15.24,16.25,13.22,14.0968,395480,0
TCGX.US,D,20260821,000000,13,15.05,13,13.9,137048,0
TCGX.US,D,20260824,000000,13.24,14.04,13.24,14,20662,0
