<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOP.US,D,20220601,000000,125,137.5,63,84.95,234334.40000000002,0
TOP.US,D,20220602,000000,81.15,94.15,66.7,80.95,103190,0
TOP.US,D,20220603,000000,76.65,86.25,71.1525,80.25,54241,0
TOP.US,D,20220606,000000,74.05,96.9,74.05,81.755,53341.4,0
TOP.US,D,20220607,000000,80.1,94.45,80.1,89.25,24878.4,0
TOP.US,D,20220608,000000,86.3,92.4925,83,87.55,18939,0
TOP.US,D,20220609,000000,84.25,109.872,84.25,106.65,42497,0
TOP.US,D,20220610,000000,110.55,121.15,101.85,119.588,26143.800000000003,0
TOP.US,D,20220613,000000,133.7,149.2,115.05,143.5,65208.4,0
TOP.US,D,20220614,000000,140,165.75,110,110,62703.200000000004,0
TOP.US,D,20220615,000000,97.15,190.5,77.65,155.1,164905.40000000002,0
TOP.US,D,20220616,000000,155.2,194.5,155.1,193.5,103379.40000000001,0
TOP.US,D,20220617,000000,201.4,222.65,150,215,111301.6,0
TOP.US,D,20220621,000000,204.8,214.95,180.703,197.55,59716,0
TOP.US,D,20220622,000000,184.4,221.947,183.632,221.3,65541.8,0
TOP.US,D,20220623,000000,245.9,254.85,190.025,203.75,136030.2,0
TOP.US,D,20220624,000000,204.55,245,172.5,174.25,102432.20000000001,0
TOP.US,D,20220627,000000,181.65,185,141.55,146.45,56258,0
TOP.US,D,20220628,000000,151.1,151.1,115.6,123.45,40311.200000000004,0
TOP.US,D,20220629,000000,119.55,129.25,111.87,122.8,31677.2,0
TOP.US,D,20220630,000000,122.5,132.792,117.506,123.45,43793.4,0
TOP.US,D,20220701,000000,123.9,156.9,119.55,149,69986.40000000001,0
TOP.US,D,20220705,000000,159.05,175,140.75,174.35,64088.4,0
TOP.US,D,20220706,000000,176.5,186.95,170,177.5,61922.600000000006,0
TOP.US,D,20220707,000000,171.55,183.75,168.25,181.9,40255.600000000006,0
TOP.US,D,20220708,000000,184.8,205.325,170.05,183.25,81449.40000000001,0
TOP.US,D,20220711,000000,177.35,180.994,157.7,157.7,38419.8,0
TOP.US,D,20220712,000000,157.45,168.55,150,159,32714.600000000002,0
TOP.US,D,20220713,000000,152.45,171.4,147.4,168.1,46032.200000000004,0
TOP.US,D,20220714,000000,164.45,168.1,155.05,158.55,31256.800000000003,0
TOP.US,D,20220715,000000,156.6,159.709,103.5,147.5,127595.6,0
TOP.US,D,20220718,000000,139.8,154.378,131.35,144.1,27441.2,0
TOP.US,D,20220719,000000,146.3,146.65,135.6,144.45,36230.200000000004,0
TOP.US,D,20220720,000000,139.35,150,136,140.9,22588.800000000003,0
TOP.US,D,20220721,000000,139.85,143.3,130.95,138.3,25333.800000000003,0
TOP.US,D,20220722,000000,139.45,141.95,108.9,109.2,52232.200000000004,0
