<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOYO.US,D,20240703,000000,2.05,2.25,1.8697,1.95,414234,0
TOYO.US,D,20240705,000000,1.9,1.9,1.61,1.72,228158,0
TOYO.US,D,20240708,000000,1.63,1.77,1.445,1.57,277820,0
TOYO.US,D,20240709,000000,1.54,1.7496,1.5,1.55,177450,0
TOYO.US,D,20240710,000000,1.55,1.7,1.36,1.61,456045,0
TOYO.US,D,20240711,000000,1.54,1.5653,1.46,1.55,84490,0
TOYO.US,D,20240712,000000,3.04,3.2,2.22,2.7,56853646,0
TOYO.US,D,20240715,000000,2.57,3.15,2.33,2.86,2775912,0
TOYO.US,D,20240716,000000,2.9,3.1,2.67,2.78,993992,0
TOYO.US,D,20240717,000000,2.71,2.89,2.53,2.6,717782,0
TOYO.US,D,20240718,000000,2.65,2.7,2.26,2.3,295398,0
TOYO.US,D,20240719,000000,2.29,2.37,2.02,2.12,245420,0
TOYO.US,D,20240722,000000,2.06,2.12,2,2.09,213643,0
TOYO.US,D,20240723,000000,2.02,2.2576,2.02,2.18,192038,0
TOYO.US,D,20240724,000000,2.09,2.389,2.09,2.31,176606,0
TOYO.US,D,20240725,000000,2.31,2.59,2.26,2.57,182725,0
TOYO.US,D,20240726,000000,2.56,2.84,2.55,2.81,306450,0
TOYO.US,D,20240729,000000,2.79,3.1,2.76,2.88,376395,0
TOYO.US,D,20240730,000000,2.88,2.97,2.64,2.87,69327,0
TOYO.US,D,20240731,000000,2.81,2.85,2.67,2.8,57832,0
TOYO.US,D,20240801,000000,2.83,3.05,2.83,2.91,220354,0
TOYO.US,D,20240802,000000,2.82,3.708,2.632,3.7,234107,0
TOYO.US,D,20240805,000000,3.5,4.15,3.0812,3.99,320821,0
TOYO.US,D,20240806,000000,3.99,4.01,3.68,3.92,104016,0
TOYO.US,D,20240807,000000,3.96,4.57,3.7,3.7,225799,0
TOYO.US,D,20240808,000000,3.83,4.4,3.83,3.93,113337,0
TOYO.US,D,20240809,000000,3.94,4.522,3.94,4.27,193180,0
TOYO.US,D,20240812,000000,4.52,5.7902,4.372,5.76,350100,0
TOYO.US,D,20240813,000000,6.1,7.22,4.01,5.05,820650,0
TOYO.US,D,20240814,000000,4.74,5.3,4.24,4.59,260312,0
TOYO.US,D,20240815,000000,4.73,5.11,4.53,4.53,98092,0
TOYO.US,D,20240816,000000,4.53,5.9495,4.41,5.08,208396,0
TOYO.US,D,20240819,000000,5.34,5.39,4.72,4.88,154870,0
TOYO.US,D,20240820,000000,4.98,5.36,4.7815,4.91,97974,0
TOYO.US,D,20240821,000000,5.08,5.275,4.5,4.87,159428,0
TOYO.US,D,20240822,000000,4.89,5.21,4.85,5.01,97177,0
TOYO.US,D,20240823,000000,5.19,5.19,4.68,5.17,85508,0
TOYO.US,D,20240826,000000,5.01,5.2946,4.908,5.07,56609,0
TOYO.US,D,20240827,000000,5.35,5.35,5.05,5.16,38787,0
TOYO.US,D,20240828,000000,5.12,5.4123,5.11,5.19,48645,0
TOYO.US,D,20240829,000000,5.21,5.295,4.9991,5.22,32437,0
TOYO.US,D,20240830,000000,5.15,5.28,5,5.15,50525,0
TOYO.US,D,20240903,000000,5.18,5.22,4.95,4.98,36102,0
TOYO.US,D,20240904,000000,4.952,5.15,4.72,4.96,95751,0
TOYO.US,D,20240905,000000,4.96,5.3093,4.75,4.76,78537,0
TOYO.US,D,20240906,000000,4.71,4.87,4.5901,4.69,27158,0
TOYO.US,D,20240909,000000,4.762,4.78,4.2,4.2,28962,0
TOYO.US,D,20240910,000000,4.21,4.21,3.9,3.99,27134,0
TOYO.US,D,20240911,000000,3.83,3.83,3.19,3.38,52832,0
TOYO.US,D,20240912,000000,3.32,3.4,3.1,3.1,28057,0
TOYO.US,D,20240913,000000,3.07,3.1,2.7301,2.78,42312,0
TOYO.US,D,20240916,000000,2.81,2.81,2.65,2.7,18884,0
TOYO.US,D,20240917,000000,2.74,3.74,2.66,3.6,101189,0
TOYO.US,D,20240918,000000,3.48,4.1,3.43,3.47,156416,0
TOYO.US,D,20240919,000000,3.5,3.61,3.11,3.11,44577,0
TOYO.US,D,20240920,000000,3.3,3.465,2.77,2.93,89376,0
TOYO.US,D,20240923,000000,3.03,3.2,2.82,2.97,92148,0
TOYO.US,D,20240924,000000,3.02,3.02,2.75,2.83,28956,0
TOYO.US,D,20240925,000000,2.93,2.93,2.71,2.83,14545,0
TOYO.US,D,20240926,000000,2.89,2.8993,2.7787,2.85,11028,0
TOYO.US,D,20240927,000000,2.8,2.805,2.71,2.71,17217,0
TOYO.US,D,20240930,000000,2.89,2.89,2.7,2.71,39413,0
TOYO.US,D,20241001,000000,2.7,2.78,2.44,2.46,23139,0
TOYO.US,D,20241002,000000,2.5,2.83,2.5,2.8,27958,0
TOYO.US,D,20241003,000000,2.8,2.8,2.58,2.58,12845,0
TOYO.US,D,20241004,000000,2.7,2.7,2.5,2.51,10227,0
TOYO.US,D,20241007,000000,2.53,2.6,2.41,2.43,15797,0
TOYO.US,D,20241008,000000,2.41,2.65,2.41,2.65,10574,0
TOYO.US,D,20241009,000000,2.645,2.8,2.61,2.79,80953,0
TOYO.US,D,20241010,000000,2.76,2.77,2.66,2.695,15205,0
TOYO.US,D,20241011,000000,2.81,2.81,2.7,2.79,16439,0
TOYO.US,D,20241014,000000,2.84,2.84,2.7389,2.76,24840,0
TOYO.US,D,20241015,000000,2.72,2.775,2.7,2.7,11780,0
TOYO.US,D,20241016,000000,2.755,2.825,2.6,2.6,25166,0
TOYO.US,D,20241017,000000,2.76,2.77,2.64,2.7,24255,0
TOYO.US,D,20241018,000000,2.76,2.76,2.58,2.698162,16391,0
TOYO.US,D,20241021,000000,2.7,2.7,2.54,2.54,7294,0
TOYO.US,D,20241022,000000,2.6503,2.6503,2.53,2.53,13628,0
TOYO.US,D,20241023,000000,2.5,2.56,2.41,2.46,28654,0
TOYO.US,D,20241024,000000,2.43,2.48,2.37,2.395,27847,0
TOYO.US,D,20241025,000000,2.475,2.53,2.4,2.5,11320,0
TOYO.US,D,20241028,000000,2.55,2.55,2.3,2.45,73700,0
TOYO.US,D,20241029,000000,2.4743,2.6,2.41,2.53,45904,0
TOYO.US,D,20241030,000000,2.48,2.575,2.48,2.51,6990,0
TOYO.US,D,20241031,000000,2.471,2.57,2.471,2.53,3577,0
TOYO.US,D,20241101,000000,2.59,2.59,2.44,2.561,9792,0
TOYO.US,D,20241104,000000,2.505,2.56,2.5,2.5,5927,0
TOYO.US,D,20241105,000000,2.5,2.57,2.47,2.49,9826,0
TOYO.US,D,20241106,000000,2.59,2.6154,2.57,2.61,6208,0
TOYO.US,D,20241107,000000,2.51,2.65,2.51,2.65,6019,0
TOYO.US,D,20241108,000000,2.7,2.925,2.525,2.9124,63820,0
TOYO.US,D,20241111,000000,2.99,3.48,2.95,3.23,63096,0
TOYO.US,D,20241112,000000,3.46,3.46,2.9701,3.12,40984,0
TOYO.US,D,20241113,000000,3,3.11,2.7201,2.91,9221,0
TOYO.US,D,20241114,000000,3.0217,3.4,2.9001,3.34,27216,0
TOYO.US,D,20241115,000000,2.992,3.145,2.992,3.04,6567,0
TOYO.US,D,20241118,000000,3.29,3.29,3.08,3.08,8554,0
TOYO.US,D,20241119,000000,3.1,3.14,2.9501,3.09,18646,0
TOYO.US,D,20241120,000000,2.87,3.0846,2.85,2.95,30438,0
TOYO.US,D,20241121,000000,2.9512,3.03,2.71,2.76,12055,0
TOYO.US,D,20241122,000000,2.78,3.01,2.75,2.805,14434,0
TOYO.US,D,20241125,000000,2.73,3.1,2.57,2.9,24769,0
TOYO.US,D,20241126,000000,5.52,5.99,4.45,5.41,49091025,0
TOYO.US,D,20241127,000000,4.94,4.97,4.2,4.31,1093322,0
TOYO.US,D,20241129,000000,4.3,4.48,3.71,4.17,417324,0
TOYO.US,D,20241202,000000,4.31,4.31,3.56,3.7,265729,0
TOYO.US,D,20241203,000000,3.67,3.7,3.1,3.51,240932,0
TOYO.US,D,20241204,000000,3.61,3.88,3.31,3.79,183231,0
TOYO.US,D,20241205,000000,3.61,3.75,3.25,3.35,218303,0
TOYO.US,D,20241206,000000,3.21,3.39,3.12,3.13,109739,0
TOYO.US,D,20241209,000000,3.26,3.38,3.05,3.17,118826,0
TOYO.US,D,20241210,000000,3.18,3.1831,3.0001,3.04,59564,0
TOYO.US,D,20241211,000000,3.04,3.33,3.01,3.16,98126,0
TOYO.US,D,20241212,000000,3.14,3.35,3.1,3.29,42196,0
TOYO.US,D,20241213,000000,3.36,3.46,3.13,3.31,66616,0
TOYO.US,D,20241216,000000,3.31,3.6599,3.31,3.5,78246,0
TOYO.US,D,20241217,000000,3.47,3.628,3.31,3.4,52898,0
TOYO.US,D,20241218,000000,3.41,3.7723,3.41,3.5,93747,0
TOYO.US,D,20241219,000000,3.47,3.65,3.26,3.57,76768,0
TOYO.US,D,20241220,000000,3.57,3.57,3.22,3.38,81078,0
TOYO.US,D,20241223,000000,3.24,3.3265,3.05,3.1,84452,0
TOYO.US,D,20241224,000000,3.06,3.31,3.06,3.28,30113,0
TOYO.US,D,20241226,000000,3.33,3.9,3.192,3.86,324241,0
TOYO.US,D,20241227,000000,3.9,3.95,3.46,3.76,159384,0
TOYO.US,D,20241230,000000,3.56,3.64,3.38,3.44,65182,0
TOYO.US,D,20241231,000000,3.49,3.49,3.24,3.38,103927,0
TOYO.US,D,20250102,000000,3.31,3.6166,3.31,3.49,88324,0
TOYO.US,D,20250103,000000,3.58,3.887,3.49,3.7,76039,0
TOYO.US,D,20250106,000000,3.81,3.81,3.44,3.62,60586,0
TOYO.US,D,20250107,000000,3.58,3.6099,3.4,3.46,32745,0
TOYO.US,D,20250108,000000,3.31,3.39,3.27,3.27,31429,0
TOYO.US,D,20250110,000000,3.5,3.5,3.25,3.37,23180,0
TOYO.US,D,20250113,000000,3.33,3.55,3.25,3.47,61554,0
