<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPLD.US,D,20141106,000000,110,113.5,96.2,97.5,261763,0
UPLD.US,D,20141107,000000,98.4,114.2,96,108.1,36965.6,0
UPLD.US,D,20141110,000000,107.7,115,107.53,112.9,11659.5,0
UPLD.US,D,20141111,000000,114.8,114.8,105.5,111.9,5288,0
UPLD.US,D,20141112,000000,110.7,111,105.1,110.2,4383.1,0
UPLD.US,D,20141113,000000,109.5,111.8,107.6,108.1,6370.3,0
UPLD.US,D,20141114,000000,107.5,110,107.5,108,3287.7,0
UPLD.US,D,20141117,000000,113,113,108,110,11906.2,0
UPLD.US,D,20141118,000000,108,110.8,107.5,110.8,11965.2,0
UPLD.US,D,20141119,000000,107.8,110,107.8,109.4,1737.7,0
UPLD.US,D,20141120,000000,108,109.9,105.4,109,3816.1,0
UPLD.US,D,20141121,000000,109,111.9,107.01,110.3,15143.5,0
UPLD.US,D,20141124,000000,109.8,112.2,109.7,111.5,3955.4,0
UPLD.US,D,20141125,000000,111.5,122,111.15,116,10179.3,0
UPLD.US,D,20141126,000000,117.41,119.2,116.56,118.6,5083,0
UPLD.US,D,20141128,000000,119,121,114.8,121,2851.9,0
UPLD.US,D,20141201,000000,121,121,115.2,119.4,12176.8,0
UPLD.US,D,20141202,000000,118.9,118.9,115.8,117,12367.4,0
UPLD.US,D,20141203,000000,117,120.6,114,118.1,27531.9,0
UPLD.US,D,20141204,000000,118.3,118.5,104,106.9,10947.7,0
UPLD.US,D,20141205,000000,108,114.5,102.2,111.6,20618.5,0
UPLD.US,D,20141208,000000,112,113.58,104,107.7,14903.7,0
UPLD.US,D,20141209,000000,107,108.9,104.7,105.3,8737.9,0
UPLD.US,D,20141210,000000,105,106.8,98.1,100,7842.1,0
UPLD.US,D,20141211,000000,98.3,102,87.3,97.8,7409.9,0
UPLD.US,D,20141212,000000,96.5,104.2,86.516,102.2,3875.2,0
UPLD.US,D,20141215,000000,103.8,103.8,96.1,99.3,3681.9,0
UPLD.US,D,20141216,000000,97.3,99.2,90.2,91.6,10848.8,0
UPLD.US,D,20141217,000000,88.2,99,86,90,13859.8,0
UPLD.US,D,20141218,000000,91.3,92.3,87.1,91,4514.1,0
UPLD.US,D,20141219,000000,90.2,95.4,90,90.6,13076.8,0
UPLD.US,D,20141222,000000,102.6,102.6,91.5,94,2809.1,0
UPLD.US,D,20141223,000000,94.7,94.7,89.5,90.6,3988,0
UPLD.US,D,20141224,000000,89.9,93.5,89.2,92.2,2321.3,0
UPLD.US,D,20141226,000000,91.9,104.5,90,103.4,5298.5,0
UPLD.US,D,20141229,000000,102.5,102.5,95.16,96.7,2992,0
UPLD.US,D,20141230,000000,97.1,98.92,94.5,95.2,1596,0
UPLD.US,D,20141231,000000,95,96,94.1,95.6,4788.8,0
UPLD.US,D,20150102,000000,94.75,97.5,94.75,95.1,1461,0
UPLD.US,D,20150105,000000,97.2,103.7,95,100.5,3641.4,0
UPLD.US,D,20150106,000000,101.3,101.5,94.355,95.8,3433.9,0
UPLD.US,D,20150107,000000,95.28,100.2,92.24,95.45,8979.8,0
UPLD.US,D,20150108,000000,97.6,98,95.8,96.5,840.3,0
UPLD.US,D,20150109,000000,97.5,97.5,93.722,95,1452.1,0
UPLD.US,D,20150112,000000,95.7,96.9,93.201,96.9,2458.2,0
UPLD.US,D,20150113,000000,95.7,95.7,86.5,89,5383.5,0
UPLD.US,D,20150114,000000,90,93.4,88.6,90.9,1586.4,0
UPLD.US,D,20150115,000000,93.1,93.1,87.6,87.6,3828.3,0
UPLD.US,D,20150116,000000,88,89.9,83.305,87,12479.3,0
UPLD.US,D,20150120,000000,87.5,87.5,84.6,85,2159.8,0
UPLD.US,D,20150121,000000,85.4,86,83.6,86,1030.1,0
UPLD.US,D,20150122,000000,84.9,86.199,82.6,83.7,5177.3,0
UPLD.US,D,20150123,000000,83,83.4,78.2,79.4,8778.2,0
UPLD.US,D,20150126,000000,77.5,78.7,75.4,77.9,7628,0
UPLD.US,D,20150127,000000,77.6,83,77.2,80.3,285.3,0
UPLD.US,D,20150128,000000,83,85,80.756,81.3,1508,0
UPLD.US,D,20150129,000000,81.3,82,76.4,78.3,3429.2,0
UPLD.US,D,20150130,000000,77.1,81.8,76.1,79.2,1531.3,0
UPLD.US,D,20150202,000000,78.601,83.062,78.4,81,1789.4,0
UPLD.US,D,20150203,000000,80.9,81.4,77.6,80,1687.2,0
UPLD.US,D,20150204,000000,80.994,80.994,79.7,80.5,835.2,0
UPLD.US,D,20150205,000000,80.1,84.9,80.1,83.6,3813.4,0
UPLD.US,D,20150206,000000,83.2,83.2,74.1,76.6,7435.1,0
UPLD.US,D,20150209,000000,78,79.299,77.5,79,884.9,0
