<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WATT.US,D,20140328,000000,5700,6870,4656,6348,3180.8266634858396,0
WATT.US,D,20140331,000000,7200,9600,6948,8850,4003.9149959960846,0
WATT.US,D,20140401,000000,9540,9864,7350,7656,1909.318331424015,0
WATT.US,D,20140402,000000,7308,8550,6900,8328,1153.9583321793748,0
WATT.US,D,20140403,000000,9000,9000,8400,8910,1243.0599987569399,0
WATT.US,D,20140404,000000,9000,9150,8146.8,8244,805.088332528245,0
WATT.US,D,20140407,000000,8136,8298,7362,7740,461.38999953860997,0
WATT.US,D,20140408,000000,7914,7914,7140,7422,450.42833288290495,0
WATT.US,D,20140409,000000,7500,7500,6798,7134,412.5099995874899,0
WATT.US,D,20140410,000000,7182,7200,6474,7200,583.3533327499799,0
WATT.US,D,20140411,000000,7152,7152,6600,6600,144.40833318892498,0
WATT.US,D,20140414,000000,6672,6936,6642,6828,94.98333323834999,0
WATT.US,D,20140415,000000,7050,7050,6354,6594,190.044999809955,0
WATT.US,D,20140416,000000,6660,6852,6404.4,6696,132.34333320099,0
WATT.US,D,20140417,000000,6888,7038,6600,6780,147.11999985288,0
WATT.US,D,20140421,000000,7050,7530,6840,7398,330.50666633616,0
WATT.US,D,20140422,000000,7500,7734,6810,6966,281.11833305221495,0
WATT.US,D,20140423,000000,7194,7194,6828,6894,149.134999850865,0
WATT.US,D,20140424,000000,7020,7020,6762,6834,120.671666545995,0
WATT.US,D,20140425,000000,6900,7134,6606,6834,92.72666657394,0
WATT.US,D,20140428,000000,6732,6732,6216,6420,251.30666641535996,0
WATT.US,D,20140429,000000,6360,6684,6300,6411,109.31166655735498,0
WATT.US,D,20140430,000000,6300,6426,6210,6318,156.30333317703,0
WATT.US,D,20140501,000000,6180,7890,6180,7800,1186.718332146615,0
WATT.US,D,20140502,000000,7968,7998,6756,7350,935.6066657310599,0
WATT.US,D,20140505,000000,7440,7440,6990,7314,178.684999821315,0
WATT.US,D,20140506,000000,7200,7422,6756.6,6954,171.90999982808998,0
WATT.US,D,20140507,000000,6840,6984,6307.8,6450,252.62499974737497,0
WATT.US,D,20140508,000000,6414,6887.4,6390,6396,115.74333321758999,0
WATT.US,D,20140509,000000,6366,6651,6300,6438,98.08833323524499,0
WATT.US,D,20140512,000000,6540,6888,6540,6762,97.75999990224,0
WATT.US,D,20140513,000000,6780,7140,6612,7050,151.05999984893998,0
WATT.US,D,20140514,000000,7140,7140,6600,6750,240.84333309248998,0
WATT.US,D,20140515,000000,6702,7050,6702,6839.4,20.141666646525,0
WATT.US,D,20140516,000000,6978,6978,6720,6756,41.471666625195,0
WATT.US,D,20140519,000000,6720,6840,6450,6510,79.53166658713499,0
WATT.US,D,20140520,000000,6540,6653.4,6480,6492,24.344999975655,0
WATT.US,D,20140521,000000,6480,6659.4,6480,6546,21.996666644669997,0
WATT.US,D,20140522,000000,6522,6540,6336,6366,54.90333327842999,0
WATT.US,D,20140523,000000,6330,6468,6330,6390,26.414999973584997,0
WATT.US,D,20140527,000000,6468,6540,6353.4,6402,66.051666600615,0
WATT.US,D,20140528,000000,6600,7530,6522,7062,666.9516659997149,0
WATT.US,D,20140529,000000,7080,7434,6780,7290,191.764999808235,0
WATT.US,D,20140530,000000,7290,7290,6900,7008,205.73166646093497,0
WATT.US,D,20140602,000000,7110,7560,7008,7374,245.77333308755996,0
WATT.US,D,20140603,000000,7440,7440,7080,7434,75.13999992485999,0
WATT.US,D,20140604,000000,7464,7464,6480,6720,314.49666635216994,0
WATT.US,D,20140605,000000,6540,6984,6480,6792,140.46999985953,0
WATT.US,D,20140606,000000,6918,6918,6540,6606,165.01333316831997,0
WATT.US,D,20140609,000000,6870,7170,6612.6,7032,116.87833321645499,0
WATT.US,D,20140610,000000,6954,7200,6780,7200,140.333333193,0
WATT.US,D,20140611,000000,7200,7254,7080,7146,137.911666528755,0
WATT.US,D,20140612,000000,7176,8100,7080,7284,464.04999953594995,0
WATT.US,D,20140613,000000,7200,7392,6942,7230,202.30666646435998,0
WATT.US,D,20140616,000000,7344,7530,7008,7314,155.02666651164,0
