<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBCI.US,D,20260203,000000,50.09,50.13,48.627,49.446,29207,0
XBCI.US,D,20260204,000000,47.63,47.63,46.5092,46.94,15023,0
XBCI.US,D,20260205,000000,43.45,44.6149,38.475,38.5193,16001,0
XBCI.US,D,20260206,000000,41.6,45.19,41.408,44.2648,26812,0
XBCI.US,D,20260209,000000,43.32,44.8492,43.13,44.7018,13242,0
XBCI.US,D,20260210,000000,43.01,43.8,42.2,42.8385,31025,0
XBCI.US,D,20260211,000000,42.31,42.32,40.1,41.6582,32997,0
XBCI.US,D,20260212,000000,42.21,42.21,39.6131,39.6131,18635,0
XBCI.US,D,20260213,000000,41.49,43.28,41.22,42.7117,8969,0
XBCI.US,D,20260217,000000,42.21,42.21,40.79,41.7886,18905,0
XBCI.US,D,20260218,000000,40.97,42.16,40.3749,40.3749,25304,0
XBCI.US,D,20260219,000000,40.06,41.215,40.06,41.21,11602,0
XBCI.US,D,20260220,000000,41.3,41.95,40.87,41.7953,23591,0
XBCI.US,D,20260223,000000,40.54,40.54,38.38,38.6446,28000,0
XBCI.US,D,20260224,000000,37.31,38.85,37.31,38.7782,13513,0
XBCI.US,D,20260225,000000,40.8,43.15,40.38,43.0091,25400,0
XBCI.US,D,20260226,000000,41.675,42.16,40.76,41.4141,17551,0
XBCI.US,D,20260227,000000,40.45,40.45,39.4,39.88,28218,0
XBCI.US,D,20260302,000000,39.88,42.83,39.855,42.4177,25147,0
XBCI.US,D,20260303,000000,40.97,42.11,40.085,41.79,33723,0
XBCI.US,D,20260304,000000,42.8,44.23,42.33,43.71,97611,0
XBCI.US,D,20260305,000000,43.38,43.38,42.02,42.2498,9021,0
XBCI.US,D,20260306,000000,40.56,40.725,40.0053,40.04,25168,0
XBCI.US,D,20260309,000000,40.83,41.17,40.51,40.8301,14892,0
XBCI.US,D,20260310,000000,42.095,42.68,41.28,41.71,28730,0
XBCI.US,D,20260311,000000,42,42.435,41.7,42.0701,15026,0
XBCI.US,D,20260312,000000,41.91,42.09,41.43,42.0362,14887,0
XBCI.US,D,20260313,000000,43.85,44.34,42.39,42.5018,18198,0
XBCI.US,D,20260316,000000,44.42,44.945,43.9,44.3873,19781,0
XBCI.US,D,20260317,000000,44.26,44.97,44.21,44.8556,20831,0
XBCI.US,D,20260318,000000,43.71,43.71,42.52,42.5359,22610,0
XBCI.US,D,20260319,000000,41.18,42.1,41.175,42.0254,15879,0
XBCI.US,D,20260320,000000,42.35,42.35,41.5887,41.9508,55273,0
XBCI.US,D,20260323,000000,42.56,43.18,42.31,42.6193,36951,0
XBCI.US,D,20260324,000000,42.55,42.55,41.3984,41.6059,16970,0
XBCI.US,D,20260325,000000,43.2051,43.6,42.66,42.815,39554,0
XBCI.US,D,20260326,000000,41.86,42.02,40.81,41.1333,25493,0
XBCI.US,D,20260327,000000,39.8,39.8,38.67,39.0437,96273,0
XBCI.US,D,20260330,000000,40.7399,40.79,39.355,39.57,85443,0
XBCI.US,D,20260331,000000,39.62,41.04,39.53,40.5588,47845,0
XBCI.US,D,20260401,000000,41.2,41.38,40.58,40.7894,55244,0
XBCI.US,D,20260402,000000,39.35,40.25,38.75,40.0188,98777,0
XBCI.US,D,20260406,000000,41.99,42.75,41.74,42.1059,60184,0
XBCI.US,D,20260407,000000,41.38,41.74,40.6217,41.74,69714,0
XBCI.US,D,20260408,000000,42.59,42.76,41.91,42.2029,29611,0
XBCI.US,D,20260409,000000,42.0299,43.32,41.5,42.7764,165799,0
XBCI.US,D,20260410,000000,42.8,43.75,42.63,43.6782,32804,0
XBCI.US,D,20260413,000000,41.87,43.935,41.66,43.7958,122543,0
XBCI.US,D,20260414,000000,44.25,45.66,44.24,44.4038,83086,0
XBCI.US,D,20260415,000000,44.54,45.075,43.95,45.0309,50471,0
XBCI.US,D,20260416,000000,44.89,45.17,43.84,45.17,35828,0
XBCI.US,D,20260417,000000,45.95,47.11,45.8,46.5584,59901,0
XBCI.US,D,20260420,000000,45.12,45.89,44.78,45.8163,96564,0
XBCI.US,D,20260421,000000,45.75,45.9894,44.9291,45.05,29035,0
XBCI.US,D,20260422,000000,47.25,47.75,47.01,47.4412,62326,0
XBCI.US,D,20260423,000000,46.65,47.3,46.37,46.7072,48845,0
XBCI.US,D,20260424,000000,46.93,47.345,46.6,46.8523,101219,0
XBCI.US,D,20260427,000000,46.98,47.4,46.26,46.495,163654,0
XBCI.US,D,20260428,000000,46.06,46.26,45.57,46.195,50066,0
XBCI.US,D,20260429,000000,46.61,46.61,45.35,45.72,53430,0
XBCI.US,D,20260430,000000,46.21,46.535,46,46.21,112071,0
XBCI.US,D,20260501,000000,47.49,48.08,47.48,47.8,76127,0
XBCI.US,D,20260504,000000,47.85,49.4699,47.85,49,313099,0
XBCI.US,D,20260505,000000,50.04,50.45,49.65,50.2,231319,0
XBCI.US,D,20260506,000000,48.63,49.49,48.17,48.57,122580,0
XBCI.US,D,20260507,000000,48.18,48.24,47.12,47.4989,103872,0
XBCI.US,D,20260508,000000,47.2,47.786,46.89,47.5632,73755,0
XBCI.US,D,20260511,000000,48.17,49.32,47.87,49.07,119899,0
XBCI.US,D,20260512,000000,48.14,48.355,47.5,48.1889,106529,0
XBCI.US,D,20260513,000000,47.79,47.86,46.81,47.28,61365,0
XBCI.US,D,20260514,000000,47.62,49.0999,47.48,48.7402,48325,0
XBCI.US,D,20260515,000000,47.57,47.79,46.7755,47.17,113224,0
XBCI.US,D,20260518,000000,45.86,45.91,44.8001,45.53,158049,0
XBCI.US,D,20260519,000000,45.26,45.64,45.0201,45.51,73929,0
XBCI.US,D,20260520,000000,45.83,46.22,45.52,46.22,92487,0
XBCI.US,D,20260521,000000,45.85,46.555,45.46,46.2606,112070,0
XBCI.US,D,20260522,000000,46.09,46.44,44.855,44.89,300915,0
XBCI.US,D,20260526,000000,45.63,46.93,44.79,45.02,254215,0
XBCI.US,D,20260527,000000,44.28,44.615,43.86,44.13,221745,0
XBCI.US,D,20260528,000000,42.57,43.66,42.0651,43.03,304544,0
XBCI.US,D,20260529,000000,42.48,43.449,41.93,42.87,193438,0
XBCI.US,D,20260601,000000,41.55,41.9,40.59,41.35,398032,0
XBCI.US,D,20260602,000000,39.31,39.4,37.19,37.82,419019,0
XBCI.US,D,20260603,000000,36.13,36.5,34.8,35.05,249939,0
XBCI.US,D,20260604,000000,33.28,34.45,33,33.57,178935,0
XBCI.US,D,20260605,000000,32.14,32.42,29.62,30.91,267059,0
XBCI.US,D,20260608,000000,33.31,33.8195,33.0801,33.23,153250,0
XBCI.US,D,20260609,000000,32.1,32.58,31.18,31.94,110466,0
XBCI.US,D,20260610,000000,31.55,32.57,31.55,32.02,60839,0
XBCI.US,D,20260611,000000,32.73,33.55,32.2401,33.25,86310,0
XBCI.US,D,20260612,000000,33.21,33.9288,32.915,33.5,97454,0
XBCI.US,D,20260615,000000,35.9,36.185,35.3801,35.64,90805,0
XBCI.US,D,20260616,000000,35.27,35.465,34.78,35.02,84932,0
XBCI.US,D,20260617,000000,34.23,35.54,33.835,33.8964,95649,0
XBCI.US,D,20260618,000000,33.98,33.98,32.36,32.92,163565,0
XBCI.US,D,20260622,000000,34.46,34.92,33.9,34.05,143352,0
XBCI.US,D,20260623,000000,32.16,32.76,32.075,32.45,279723,0
XBCI.US,D,20260624,000000,32.02,32.21,29.915,30.55,255317,0
XBCI.US,D,20260625,000000,31.31,31.31,29.12,30.06,148332,0
XBCI.US,D,20260626,000000,29.71,30.89,29.51,30.36,81013,0
XBCI.US,D,20260629,000000,30.54,31.04,29.79,31.01,144909,0
