<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XIIIU.US,D,20260731,000000,10.31,10.45,10.3,10.36,7291978,0
XIIIU.US,D,20260803,000000,10.4,10.5,10.3,10.4,747007,0
XIIIU.US,D,20260804,000000,10.5,10.5,10.41,10.5,70997,0
XIIIU.US,D,20260805,000000,10.5,10.55,10.425,10.45,187609,0
XIIIU.US,D,20260806,000000,10.53,10.53,10.43,10.45,5570,0
XIIIU.US,D,20260807,000000,10.5,10.5,10.4,10.45,692727,0
XIIIU.US,D,20260810,000000,10.45,10.45,10.405,10.44,119466,0
XIIIU.US,D,20260811,000000,10.41,10.45,10.4,10.425,1016,0
XIIIU.US,D,20260812,000000,10.43,10.53,10.4,10.53,122127,0
XIIIU.US,D,20260813,000000,10.54,10.59,10.54,10.59,14429,0
XIIIU.US,D,20260814,000000,10.43,10.43,10.43,10.43,129,0
XIIIU.US,D,20260817,000000,10.54,10.54,10.5,10.5,1016,0
XIIIU.US,D,20260818,000000,10.54,10.54,10.5,10.5,817,0
XIIIU.US,D,20260819,000000,10.51,10.51,10.48,10.49,6525,0
XIIIU.US,D,20260820,000000,10.41,10.54,10.41,10.5,4988,0
XIIIU.US,D,20260821,000000,10.5,10.5,10.5,10.5,382,0
XIIIU.US,D,20260824,000000,10.52,10.58,10.45,10.51,510499,0
