<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YARW.US,D,20180125,000000,41637.8,63167.6,41637.8,58313.2,2586.07,0
YARW.US,D,20180126,000000,56850.8,61502,55957.1,57907,480.678,0
YARW.US,D,20180129,000000,57907,69464,57683.6,67818.8,247.907,0
YARW.US,D,20180130,000000,67331.3,72206,63126.9,70621.7,117.691,0
YARW.US,D,20180131,000000,70743.6,77385.3,69890.5,74744.9,136.941,0
YARW.US,D,20180201,000000,75151.1,75506.6,68910.5,71088.9,74.7571,0
YARW.US,D,20180202,000000,70601.4,70601.4,60933.3,62070.8,124.085,0
YARW.US,D,20180205,000000,60669.3,66061.9,60669.3,62375.4,56.1249,0
YARW.US,D,20180206,000000,61705.2,80960.1,60831.8,70560.8,57.4522,0
YARW.US,D,20180207,000000,71088.9,74135.6,67544.6,74054.3,61.068,0
YARW.US,D,20180208,000000,72815.3,76527.2,70621.7,74115.2,61.1428,0
YARW.US,D,20180209,000000,74379.3,75643.7,65193.6,72409.1,32.4945,0
YARW.US,D,20180212,000000,65300.2,74277.7,65300.2,72124.8,20.8831,0
YARW.US,D,20180213,000000,72937.2,72937.2,70205.4,72104.4,19.5341,0
YARW.US,D,20180214,000000,71637.3,75151.1,71129.5,72206,21.4621,0
YARW.US,D,20180215,000000,73120,74318.4,69057.8,71738.8,23.2582,0
YARW.US,D,20180216,000000,71170.1,72551.3,66965.7,70865.5,26.9369,0
YARW.US,D,20180220,000000,69545.2,72470,67976.2,68976.5,30.6472,0
YARW.US,D,20180221,000000,68001.6,71596.7,67250.1,70885.8,106.684,0
YARW.US,D,20180222,000000,71556,77019.7,67656.3,73120,86.1223,0
YARW.US,D,20180223,000000,73323.1,77141.6,68397.7,70540.5,60.8218,0
YARW.US,D,20180226,000000,70073.3,73079.4,68590.6,70581.1,24.9518,0
YARW.US,D,20180227,000000,68550,76979.1,67432.9,68854.7,63.6242,0
YARW.US,D,20180228,000000,69382.8,71576.4,67879.7,69971.8,17.5765,0
YARW.US,D,20180301,000000,69057.8,69118.7,65503.3,65868.9,40.5019,0
YARW.US,D,20180302,000000,65868.9,71515.4,63370.7,67737.6,52.3398,0
YARW.US,D,20180305,000000,68164.1,69098.4,66011.1,67311,53.7873,0
YARW.US,D,20180306,000000,67493.8,67493.8,63472.2,67026.7,53.0704,0
YARW.US,D,20180307,000000,66681.4,68478.9,64142.5,66214.2,29.7315,0
YARW.US,D,20180308,000000,67026.7,67026.7,63716,64995.6,24.7115,0
YARW.US,D,20180309,000000,65442.4,69200,64426.8,67026.7,68.7603,0
YARW.US,D,20180312,000000,66782.9,71332.6,65472.9,67026.7,70.4776,0
YARW.US,D,20180313,000000,67575.1,69037.5,65239.3,67839.1,48.1411,0
YARW.US,D,20180314,000000,67818.8,69057.8,63187.9,63817.5,72.6301,0
YARW.US,D,20180315,000000,63655,65858.8,63187.9,64040.9,105.043,0
YARW.US,D,20180316,000000,63898.8,67036.8,61359.9,64061.2,460.506,0
YARW.US,D,20180319,000000,63716,64162.8,62253.6,62477,36.2717,0
YARW.US,D,20180320,000000,62355.1,62659.8,60171.7,60527.1,71.4879,0
YARW.US,D,20180321,000000,60506.8,65279.9,59816.2,64792.4,36.4726,0
YARW.US,D,20180322,000000,64101.9,72084.1,60994.3,69585.9,54.8547,0
YARW.US,D,20180323,000000,69768.7,71881,69037.5,71088.9,46.0634,0
YARW.US,D,20180326,000000,72206,72206,67940.7,71881,29.761,0
YARW.US,D,20180327,000000,71921.6,74135.6,70357.7,72856,12.9426,0
YARW.US,D,20180328,000000,72531,78857.9,67270.4,76816.6,53.1039,0
YARW.US,D,20180329,000000,75760.4,77202.5,71840.4,76329.2,79.2137,0
YARW.US,D,20180402,000000,76126,78207.9,74541.8,74948,19.3293,0
YARW.US,D,20180403,000000,75191.7,76369.8,72693.5,75130.8,17.1216,0
YARW.US,D,20180404,000000,74155.9,75232.4,73363.7,74115.2,63.6597,0
YARW.US,D,20180405,000000,74765.2,74765.2,72815.3,73566.8,15.1522,0
YARW.US,D,20180406,000000,72896.6,74094.9,69332,71535.7,42.9006,0
YARW.US,D,20180409,000000,23053.1,24046.3,16126,16594.2,1504.29,0
YARW.US,D,20180410,000000,16777,18686.2,16452,16777,707.549,0
YARW.US,D,20180411,000000,17975.3,18178.4,17975.3,17975.3,206.57,0
YARW.US,D,20180412,000000,18076.9,19688.6,17700.1,19153.4,290.268,0
YARW.US,D,20180413,000000,19295.6,20148.6,18586.7,19112.8,103.641,0
YARW.US,D,20180416,000000,19275.2,19742.4,18544,19315.9,84.9072,0
YARW.US,D,20180417,000000,19376.8,19844,18970.6,19133.1,44.4308,0
YARW.US,D,20180418,000000,19092.4,19352.4,18787.8,18970.6,38.6684,0
YARW.US,D,20180419,000000,18909.6,19112.8,18137.8,18300.3,117.041,0
YARW.US,D,20180420,000000,18219.1,18503.4,17670.7,17934.7,29.3494,0
YARW.US,D,20180423,000000,17894.1,17894.1,16980.1,17447.2,112.763,0
YARW.US,D,20180424,000000,17528.5,18056.6,16045.8,16269.2,94.8525,0
YARW.US,D,20180425,000000,16106.7,16248.9,14197.5,16066.1,204.634,0
YARW.US,D,20180426,000000,16188,17244.1,16005.2,16431.7,86.0494,0
YARW.US,D,20180427,000000,16492.6,16695.7,15456.8,15964.5,61.968,0
YARW.US,D,20180430,000000,16045.8,16980.1,15578.6,16269.2,98.931,0
YARW.US,D,20180501,000000,16208.3,16716,15639.6,16208.3,74.57,0
YARW.US,D,20180502,000000,16106.7,17528.5,15984.8,17345.7,65.7827,0
YARW.US,D,20180503,000000,17284.8,17462.5,16553.6,17244.1,32.6993,0
YARW.US,D,20180504,000000,17102,17751.9,16959.8,17609.7,34.8203,0
YARW.US,D,20180507,000000,17751.9,18625.3,17447.2,18442.5,72.5021,0
YARW.US,D,20180508,000000,18462.8,18564.4,17426.9,18056.6,59.5792,0
YARW.US,D,20180509,000000,18097.2,18645.6,17975.3,18280,82.1599,0
YARW.US,D,20180510,000000,17711.3,19722.1,17366,19722.1,82.3017,0
YARW.US,D,20180511,000000,19803.3,20717.3,19417.4,20595.5,74.7157,0
YARW.US,D,20180514,000000,20717.3,20717.3,19051.8,19356.5,80.3737,0
YARW.US,D,20180515,000000,19295.6,20392.4,19112.8,20047.1,99.1811,0
YARW.US,D,20180516,000000,20209.6,20920.4,19397.1,19986.1,168.532,0
YARW.US,D,20180517,000000,19904.9,20818.9,19701.8,20006.4,157.864,0
YARW.US,D,20180518,000000,20067.4,20329.9,18869,18930,33.2192,0
YARW.US,D,20180521,000000,19072.1,19295.6,17386.3,18280,138.074,0
YARW.US,D,20180522,000000,18584.7,19315.9,17812.8,18036.3,78.1483,0
YARW.US,D,20180523,000000,18036.3,18767.5,18036.3,18523.7,22.7323,0
YARW.US,D,20180524,000000,18605,18869,18137.8,18401.9,16.3221,0
YARW.US,D,20180525,000000,18300.3,18706.5,18076.9,18280,28.1008,0
