<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YYAI.US,D,20220615,000000,73600000,93440000,57280000,63040000,0.01685,0
YYAI.US,D,20220616,000000,59200000,62400000,50880000,53440000,0.0036187500000000004,0
YYAI.US,D,20220617,000000,55680000,61760000,51200000,51520000,0.0025363125000000004,0
YYAI.US,D,20220621,000000,51200000,56960000,48960000,51904000,0.0005271562500000001,0
YYAI.US,D,20220622,000000,53760000,60531200,48000000,56640000,0.002119275,0
YYAI.US,D,20220623,000000,60800000,60800000,48000000,48960000,0.0012837125,0
YYAI.US,D,20220624,000000,49280000,51196800,47363200,48320000,0.0007239687500000001,0
YYAI.US,D,20220627,000000,52160000,52160000,44800000,45120000,0.0007851875,0
YYAI.US,D,20220628,000000,46400000,50880000,44800000,49833600,0.0016296875,0
YYAI.US,D,20220629,000000,53120000,53120000,48640000,49590400,0.00072190625,0
YYAI.US,D,20220630,000000,48960000,50240000,46720000,47360000,0.00014946875000000002,0
YYAI.US,D,20220701,000000,46720000,48000000,44800000,46016000,0.00043878125000000004,0
YYAI.US,D,20220705,000000,49920000,49920000,44800000,45760000,0.0012150625,0
YYAI.US,D,20220706,000000,44800000,44800000,37760000,39680000,0.0011794687500000002,0
YYAI.US,D,20220707,000000,39680000,41596800,31040000,33600000,0.00788715,0
YYAI.US,D,20220708,000000,32640000,38396800,31040000,36476800,0.0044729375,0
YYAI.US,D,20220711,000000,34944000,35200000,28160000,29440000,0.012616000000000002,0
YYAI.US,D,20220712,000000,31360000,31360000,26560000,28160000,0.0037116875,0
YYAI.US,D,20220713,000000,28160000,30400000,26099200,27616000,0.003951187500000001,0
YYAI.US,D,20220714,000000,27680000,27680000,26080000,27513600,0.0021324000000000004,0
YYAI.US,D,20220715,000000,28224000,31680000,27996800,30713600,0.008694562500000001,0
YYAI.US,D,20220718,000000,30080000,30080000,27206400,28480000,0.00175675,0
YYAI.US,D,20220719,000000,29760000,29760000,27280000,28480000,0.0019112750000000003,0
YYAI.US,D,20220720,000000,30080000,30080000,28483200,29254400,0.0014500625000000002,0
YYAI.US,D,20220721,000000,28956800,29888000,28160000,29494400,0.0063805875,0
YYAI.US,D,20220722,000000,29760000,30672000,27840000,29596800,0.0034201875,0
YYAI.US,D,20220725,000000,30787200,30787200,28000000,28800000,0.00065309375,0
YYAI.US,D,20220726,000000,29600000,29600000,27523200,28160000,0.00073203125,0
