<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDZ.US,D,20081217,000000,133603,137096,131980,137096,13.1966,0
EDZ.US,D,20081218,000000,134386,147981,133841,144988,14.0989,0
EDZ.US,D,20081219,000000,141995,148738,136336,145680,22.7839,0
EDZ.US,D,20081222,000000,149021,165695,149021,160814,32.3712,0
EDZ.US,D,20081223,000000,165869,169965,157997,164977,26.9572,0
EDZ.US,D,20081224,000000,163438,165194,161661,161727,2.03025,0
EDZ.US,D,20081226,000000,159904,166732,159904,162117,16.8059,0
EDZ.US,D,20081229,000000,159278,166994,155589,163524,7.10587,0
EDZ.US,D,20081230,000000,160208,160208,152357,152357,4.85004,0
EDZ.US,D,20081231,000000,153205,153638,143708,145820,3.27095,0
EDZ.US,D,20090102,000000,139199,140890,120486,122469,15.3396,0
EDZ.US,D,20090105,000000,124609,125668,116800,119228,30.7921,0
EDZ.US,D,20090106,000000,113723,115261,107978,110145,20.9792,0
EDZ.US,D,20090107,000000,119685,130243,119685,128617,24.9269,0
EDZ.US,D,20090108,000000,140935,140935,130614,130614,19.8513,0
EDZ.US,D,20090109,000000,133841,142559,132607,139047,9.4745,0
EDZ.US,D,20090112,000000,145269,159777,144143,158345,20.0769,0
EDZ.US,D,20090113,000000,158278,160728,148759,155785,12.8582,0
EDZ.US,D,20090114,000000,164697,181892,164283,178637,16.1292,0
EDZ.US,D,20090115,000000,177859,196614,166021,173498,33.2735,0
EDZ.US,D,20090116,000000,156544,181630,156305,165586,29.1002,0
EDZ.US,D,20090120,000000,182192,202899,180437,202899,20.6408,0
EDZ.US,D,20090121,000000,187398,201751,171288,171288,37.2212,0
EDZ.US,D,20090122,000000,171288,195376,171288,185034,26.7316,0
EDZ.US,D,20090123,000000,206846,206846,173693,178508,11.3919,0
EDZ.US,D,20090126,000000,171156,177749,160295,172588,27.7467,0
EDZ.US,D,20090127,000000,166235,170008,159080,163569,8.91054,0
EDZ.US,D,20090128,000000,147265,149562,134841,138309,17.821,0
EDZ.US,D,20090129,000000,150949,158040,149627,157758,24.0246,0
EDZ.US,D,20090130,000000,153379,165565,148912,162853,15.114,0
EDZ.US,D,20090202,000000,173391,174324,163699,167277,17.5955,0
EDZ.US,D,20090203,000000,162355,166452,151536,153399,31.4688,0
EDZ.US,D,20090204,000000,147957,152555,138636,147849,29.1002,0
EDZ.US,D,20090205,000000,152294,155677,134841,138764,34.7398,0
EDZ.US,D,20090206,000000,133256,134190,116996,119076,36.4317,0
EDZ.US,D,20090209,000000,119381,123349,115913,119812,26.6188,0
EDZ.US,D,20090210,000000,123241,141185,120421,140087,36.0933,0
EDZ.US,D,20090211,000000,131999,139654,127273,130765,22.3327,0
EDZ.US,D,20090212,000000,141173,144944,131696,131696,33.6119,0
EDZ.US,D,20090213,000000,131327,135361,128867,130223,31.2433,0
EDZ.US,D,20090217,000000,153334,160362,150830,160317,41.6201,0
EDZ.US,D,20090218,000000,152858,165302,152423,156717,60.3435,0
EDZ.US,D,20090219,000000,146375,161119,146353,159904,37.6724,0
EDZ.US,D,20090220,000000,176015,178572,163850,170378,65.3063,0
EDZ.US,D,20090223,000000,158451,185728,157671,185400,34.1758,0
EDZ.US,D,20090224,000000,180633,183907,153943,155329,63.8401,0
EDZ.US,D,20090225,000000,158864,170399,153334,162507,83.1274,0
EDZ.US,D,20090226,000000,157107,166844,150431,166844,27.8595,0
EDZ.US,D,20090227,000000,179375,179375,165390,173761,13.9861,0
EDZ.US,D,20090302,000000,190388,207581,186488,206696,30.9049,0
EDZ.US,D,20090303,000000,192275,207734,186705,194900,30.3409,0
EDZ.US,D,20090304,000000,167579,172479,150689,155915,92.1508,0
EDZ.US,D,20090305,000000,172219,178464,166171,174345,124.973,0
EDZ.US,D,20090306,000000,165390,180460,157737,166041,45.6806,0
EDZ.US,D,20090309,000000,173477,177141,162244,175843,53.6888,0
EDZ.US,D,20090310,000000,154290,155373,133280,134212,82.5635,0
EDZ.US,D,20090311,000000,129767,139199,127685,133821,21.2048,0
EDZ.US,D,20090312,000000,135361,136249,117626,118688,47.598,0
EDZ.US,D,20090313,000000,115434,121505,114308,115913,28.1979,0
EDZ.US,D,20090316,000000,110535,116108,106892,115825,38.9131,0
EDZ.US,D,20090317,000000,117083,119099,108193,108193,24.9269,0
EDZ.US,D,20090318,000000,111923,116303,99606.9,101710,36.4317,0
EDZ.US,D,20090319,000000,97806.5,104790,97003.6,102925,19.9641,0
EDZ.US,D,20090320,000000,104508,108519,101863,107693,97.2264,0
EDZ.US,D,20090323,000000,92603.5,94315.8,77404.8,78965.7,202.686,0
EDZ.US,D,20090324,000000,84082.9,84755.1,80462,84689.8,36.3189,0
EDZ.US,D,20090325,000000,82890,86056.1,76537.4,80440.3,228.064,0
EDZ.US,D,20090326,000000,75952.2,78055.4,73805.4,74781,51.6585,0
EDZ.US,D,20090327,000000,79096,82391.6,79052.8,80808.8,59.6668,0
EDZ.US,D,20090330,000000,91281.6,95638.9,91281.6,92646.6,79.0669,0
EDZ.US,D,20090331,000000,85860.8,88852.9,83063.9,87812.3,53.576,0
EDZ.US,D,20090401,000000,87920.2,88441,78206.8,78705.7,48.3876,0
EDZ.US,D,20090402,000000,70011.3,70336.5,62725.9,66151.8,132.417,0
EDZ.US,D,20090403,000000,67409.1,68038.3,63268.2,63268.2,73.2018,0
EDZ.US,D,20090406,000000,66021.7,68970.3,65371,65566.3,52.8993,0
EDZ.US,D,20090407,000000,69403.8,70813.4,68029.6,69685.9,54.4783,0
EDZ.US,D,20090408,000000,68363.6,69967.8,65674.9,67105.6,30.9049,0
EDZ.US,D,20090409,000000,60254.3,60709.4,58541.5,58541.5,110.987,0
EDZ.US,D,20090413,000000,59018,60189.3,56722,57631,30.5665,0
EDZ.US,D,20090414,000000,58541.5,60579.5,56834.9,60406,97.1136,0
EDZ.US,D,20090415,000000,59842.2,60599.2,57652.2,57782.4,54.2528,0
EDZ.US,D,20090416,000000,56828.6,58779.7,55050.5,56264.8,82.3379,0
EDZ.US,D,20090417,000000,56524.9,58107.6,56004.3,57262.2,68.5773,0
EDZ.US,D,20090420,000000,59430.5,65674.9,59430.5,65674.9,102.866,0
EDZ.US,D,20090421,000000,66368.7,67647.8,60776.7,61317,109.407,0
EDZ.US,D,20090422,000000,64287.2,64504,59625.8,63290,31.6944,0
EDZ.US,D,20090423,000000,60080.8,62821.3,59798.9,60080.8,88.4286,0
EDZ.US,D,20090424,000000,57219,58216.2,55722.6,56850.3,76.4727,0
EDZ.US,D,20090427,000000,61772,63203,59842.2,62075.3,115.498,0
EDZ.US,D,20090428,000000,66260.1,66368.7,61251.7,63049,66.5471,0
EDZ.US,D,20090429,000000,57847.7,58151,51299.6,53446,207.085,0
EDZ.US,D,20090430,000000,50041.8,52904.1,49543.5,51755.1,98.3543,0
EDZ.US,D,20090501,000000,51451.4,51852.4,48112.5,49109.9,78.1646,0
EDZ.US,D,20090504,000000,45141.9,45315.4,38854,38854,241.599,0
EDZ.US,D,20090505,000000,40025.2,41326,36100.6,39764.9,131.402,0
EDZ.US,D,20090506,000000,38312,39721.5,37119.8,37834.8,94.0682,0
EDZ.US,D,20090507,000000,36187.1,41542.5,36187.1,40740.6,152.156,0
EDZ.US,D,20090508,000000,38160.1,39430.9,36495,36686,169.074,0
EDZ.US,D,20090511,000000,38984.3,40111.8,38312,39136.3,113.13,0
EDZ.US,D,20090512,000000,37162.7,40087.7,37162.7,38181.9,113.694,0
EDZ.US,D,20090513,000000,41195.6,42822.1,40566.9,42453.4,219.943,0
EDZ.US,D,20090514,000000,42973.7,43494.1,38984.3,40805.6,171.33,0
EDZ.US,D,20090515,000000,40957,43030.2,39786.5,42214.6,197.385,0
EDZ.US,D,20090518,000000,38008.6,38117,34691.3,35124.6,424.322,0
EDZ.US,D,20090519,000000,34778,35101.2,32804.8,34084.2,176.857,0
EDZ.US,D,20090520,000000,32782.8,33867.1,31330.5,33476.7,228.29,0
EDZ.US,D,20090521,000000,35580.3,36534.2,34756.5,35211.5,268.782,0
EDZ.US,D,20090522,000000,35189.8,35471.7,33802.1,34691.3,86.9624,0
EDZ.US,D,20090526,000000,36512.3,37293.1,33455.1,33563.8,158.81,0
EDZ.US,D,20090527,000000,32804.8,34994.9,32154.3,34712.8,189.038,0
EDZ.US,D,20090528,000000,33021.8,33953.9,31438.6,31547.3,240.02,0
EDZ.US,D,20090529,000000,30224.6,31156.8,29790.8,29942.9,191.633,0
