<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXP.US,D,20071108,000000,10528.3,12396.2,10528.3,11123,3776.32,0
FXP.US,D,20071109,000000,11500.7,12257.8,10742.5,11464.5,5103.8,0
FXP.US,D,20071112,000000,12365.4,13190.9,11924.8,13011.8,5592.78,0
FXP.US,D,20071113,000000,11972.3,12039.6,10636.3,10892.1,8285.56,0
FXP.US,D,20071114,000000,9747.82,10613.9,9695.94,10409.4,7427.86,0
FXP.US,D,20071115,000000,10967.6,11332.8,10566.2,10745.3,7899.91,0
FXP.US,D,20071116,000000,11331.4,11857.7,11079.7,11267.3,6828.78,0
FXP.US,D,20071119,000000,11943,12718.1,11908,12589.4,8948.45,0
FXP.US,D,20071120,000000,11608.4,12235.3,11054.6,11360.9,13730.9,0
FXP.US,D,20071121,000000,12610.4,13011.8,12222.7,12767.1,13004.2,0
FXP.US,D,20071123,000000,12228.3,12424.1,11892.5,11984.9,4248.36,0
FXP.US,D,20071126,000000,11262.9,12557.2,11184.5,12557.2,15114.3,0
FXP.US,D,20071127,000000,11755.4,12345.7,11281.2,11294.9,17379.1,0
FXP.US,D,20071128,000000,10913.2,11223.8,9768.78,9935.18,16964.6,0
FXP.US,D,20071129,000000,10143.8,10229.1,9711.44,10036,8716.38,0
FXP.US,D,20071130,000000,9376.95,10037.2,9300.11,9866.73,8666.13,0
FXP.US,D,20071203,000000,9935.18,10275.1,9935.18,10170.3,6732.23,0
FXP.US,D,20071204,000000,10168.8,10346.6,9933.7,10087.7,5530.67,0
FXP.US,D,20071205,000000,9324.98,9416.15,8912.4,8912.4,12154.4,0
FXP.US,D,20071206,000000,9130.53,9234.3,8638.21,8688.58,7882.97,0
FXP.US,D,20071207,000000,9174.04,9348.91,9025.69,9320.98,6660.52,0
FXP.US,D,20071210,000000,9579.83,9609.16,9333.64,9409.15,4846.32,0
FXP.US,D,20071211,000000,9334.95,10352.2,9334.95,10304.6,8649.19,0
FXP.US,D,20071212,000000,9542.02,10383,9374.25,9916.86,10911.1,0
FXP.US,D,20071213,000000,10616.5,10932.8,10283.7,10552.1,15393.2,0
FXP.US,D,20071214,000000,11127.3,11191.6,10820.9,11162.3,8374.77,0
FXP.US,D,20071217,000000,11836.6,12450.9,11639.2,12450.9,11445.8,0
FXP.US,D,20071218,000000,11542.8,12232.6,11277,11277,13349.8,0
FXP.US,D,20071219,000000,11199.9,11282.6,10622.3,11109,14114.9,0
FXP.US,D,20071220,000000,10755,11376.3,10745.3,10851.7,5501.87,0
FXP.US,D,20071221,000000,10446,10590,10213.5,10300.2,5387.25,0
FXP.US,D,20071224,000000,9935.18,10196.8,9807.89,9835.83,2985.26,0
FXP.US,D,20071226,000000,9975.76,10075,9723.95,9844.17,3540.87,0
FXP.US,D,20071227,000000,10075,10562,10052.8,10531.3,6093.62,0
FXP.US,D,20071228,000000,10368.9,10703.3,10294.8,10562,3698.4,0
FXP.US,D,20071231,000000,10199.5,10784.5,10199.5,10755,4549.88,0
FXP.US,D,20080102,000000,10601.3,11151.2,10426.6,11051.7,10117.2,0
FXP.US,D,20080103,000000,10998.5,11257.5,10871.2,11207,6474.18,0
FXP.US,D,20080104,000000,11121.6,11703.6,11121.6,11544.1,17943.2,0
FXP.US,D,20080107,000000,11127.3,11521.9,10913.2,11023.6,13969.2,0
FXP.US,D,20080108,000000,10753.7,11346.9,10439,11279.8,15021.7,0
FXP.US,D,20080109,000000,10556.4,10780.3,9824.57,9835.83,28129.3,0
FXP.US,D,20080110,000000,10332.5,10332.5,9434.21,9684.59,16946,0
FXP.US,D,20080111,000000,10213.5,10504.8,10061.3,10388.4,11870.4,0
FXP.US,D,20080114,000000,10493.4,10666.9,10355.1,10428.8,6681.41,0
FXP.US,D,20080115,000000,11477.1,12096.8,11335.8,12087.1,23547.2,0
FXP.US,D,20080116,000000,12592.2,13667.9,12381.9,12872,32154.6,0
FXP.US,D,20080117,000000,12375.2,13501.5,11964.1,13403.6,32072.2,0
FXP.US,D,20080118,000000,12053.5,12942,11822.7,12172.3,30596.2,0
FXP.US,D,20080122,000000,14872.7,15235,12971.3,13641.7,35905,0
FXP.US,D,20080123,000000,14691,15586.2,12480.4,12767.1,31785.9,0
FXP.US,D,20080124,000000,13431.5,13431.5,12529.3,12916.9,12414.7,0
FXP.US,D,20080125,000000,11878.7,13151.9,11555.4,12970.1,16416.4,0
FXP.US,D,20080128,000000,13225.9,13801,12671.8,12732,16734.3,0
FXP.US,D,20080129,000000,12874.8,13358.9,12785.3,12893,7226.29,0
FXP.US,D,20080130,000000,14115.8,14271.1,12768.4,14103,17127.8,0
FXP.US,D,20080131,000000,15207.1,15316.4,13416.1,13851.4,20127.2,0
FXP.US,D,20080201,000000,13287.5,13405.1,12484.5,12585.2,14828,0
FXP.US,D,20080204,000000,12046.5,12214.3,11717.7,12067.5,16960.7,0
FXP.US,D,20080205,000000,12452.2,13508.4,12396.2,13361.7,20018.2,0
FXP.US,D,20080206,000000,13358.9,14447.4,12937.7,14271.1,16169.6,0
FXP.US,D,20080207,000000,14511.7,14886.8,13293.2,13400.8,20739.8,0
FXP.US,D,20080208,000000,13827.6,14087.8,13364.5,13739.2,15412.4,0
FXP.US,D,20080211,000000,14255.7,14714.6,13883.4,13893.3,12252.1,0
FXP.US,D,20080212,000000,13676.4,13726.7,12951.7,13189.5,15462.1,0
FXP.US,D,20080213,000000,13150.3,13550.5,12692.9,12872,12360,0
FXP.US,D,20080214,000000,12522,13291.7,12322.1,13244.2,14615.2,0
FXP.US,D,20080215,000000,12634.1,12904.2,12106.9,12106.9,19105.8,0
FXP.US,D,20080219,000000,11854.9,12263.4,11684.2,11990.6,17374.6,0
FXP.US,D,20080220,000000,12662,12856.7,11903.7,12144.3,12991.8,0
FXP.US,D,20080221,000000,12256.3,13167.2,12240.9,12965.6,12103.6,0
FXP.US,D,20080222,000000,12867.8,13291.7,12315.1,12362.8,14617.4,0
FXP.US,D,20080225,000000,12923.8,13151.9,12261.9,12277.5,13614,0
FXP.US,D,20080226,000000,12590.9,12805,12063.1,12116.3,13548,0
FXP.US,D,20080227,000000,12116.3,12116.3,11242,11271.4,23321.9,0
FXP.US,D,20080228,000000,11584.9,11891,11460.2,11840.9,13913.9,0
FXP.US,D,20080229,000000,12018.4,12687.3,11934.5,12522,18652.9,0
FXP.US,D,20080303,000000,12637.2,12942,12304,12441.2,15838.7,0
FXP.US,D,20080304,000000,13328.2,13858.4,13084.7,13465.2,29541.5,0
FXP.US,D,20080305,000000,13273.4,13557.5,12829.8,12983.9,15826.3,0
FXP.US,D,20080306,000000,13154.6,14202.5,13094.3,13952.1,15884.5,0
FXP.US,D,20080307,000000,14299.1,14619.6,13511.3,14271.1,22561.9,0
FXP.US,D,20080310,000000,14043,14967.9,13921.3,14867.1,14939.3,0
FXP.US,D,20080311,000000,13055.2,13508.4,11916.4,12015.8,29694.5,0
FXP.US,D,20080312,000000,12585.2,13112.6,12152.9,12972.7,17998.5,0
FXP.US,D,20080313,000000,14215.1,14341,13151.9,13606.6,26073.4,0
FXP.US,D,20080314,000000,13845.7,15320.4,13799.6,15264.6,28769,0
FXP.US,D,20080317,000000,16509.8,16574.2,15284.2,15614.2,24717.2,0
FXP.US,D,20080318,000000,15237.9,15320.4,14006.7,14006.7,20357,0
FXP.US,D,20080319,000000,14830.6,16194.8,14503.2,16159.7,21685.6,0
FXP.US,D,20080320,000000,16607.6,17069.3,15054.6,15229.4,21753.4,0
FXP.US,D,20080324,000000,15253.3,15502.3,14178.8,14959.4,13404.6,0
FXP.US,D,20080325,000000,14268.1,14413.9,13414.9,13568.6,18319.8,0
FXP.US,D,20080326,000000,13862.7,14182.8,13704.5,14131.1,17216.5,0
FXP.US,D,20080327,000000,13571.5,13984.3,13190.9,13865.4,17492.6,0
FXP.US,D,20080328,000000,12846.8,13212.1,12732,12907,22109.1,0
FXP.US,D,20080331,000000,13307.1,13472.1,12975.4,13052.5,12630.4,0
FXP.US,D,20080401,000000,12750.2,12750.2,11332.8,11341.2,29334.8,0
FXP.US,D,20080402,000000,11492.4,11864.6,11363.6,11835.1,24788.9,0
FXP.US,D,20080403,000000,11576.3,11598.7,10696.3,10832,28340.5,0
FXP.US,D,20080404,000000,10959.4,11209.9,10528.3,11018,27055.9,0
FXP.US,D,20080407,000000,10517.4,10770.4,10230.6,10563.4,21377.9,0
FXP.US,D,20080408,000000,10918.7,11053.1,10729.7,10914.7,16588,0
FXP.US,D,20080409,000000,11242,11780.6,11233.7,11780.6,23329.8,0
FXP.US,D,20080410,000000,11436.4,11605.8,10950.9,11048.9,21894,0
FXP.US,D,20080411,000000,11225.1,11502.2,10843.2,11423.9,27732.9,0
FXP.US,D,20080414,000000,11633.7,11850.5,11535.8,11766.6,23976.9,0
FXP.US,D,20080415,000000,11397.3,11724.9,11332.8,11411.3,14005.9,0
FXP.US,D,20080416,000000,11229.5,11262.9,10545.2,10578.8,18596.4,0
FXP.US,D,20080417,000000,10932.8,11035.1,10770.4,10827.8,13914.4,0
FXP.US,D,20080418,000000,10553.6,10862.8,10507.6,10662.8,14924,0
FXP.US,D,20080421,000000,10731.3,10823.8,10248.7,10378.8,13281.5,0
FXP.US,D,20080422,000000,10230.6,10648.8,10079.3,10394.1,16212.5,0
FXP.US,D,20080423,000000,9709.98,9709.98,8752.93,8870.44,44721.3,0
FXP.US,D,20080424,000000,8752.93,9246.66,8541.67,8811.7,29241.6,0
FXP.US,D,20080425,000000,8848.06,9262.31,8848.06,9048.11,19471.6,0
FXP.US,D,20080428,000000,9102.69,9115.34,8878.76,9115.34,10893,0
FXP.US,D,20080429,000000,9008.95,9215.94,8948.78,9136.35,11526,0
FXP.US,D,20080430,000000,8937.59,9027.13,8715.16,8884.43,21288.1,0
FXP.US,D,20080501,000000,8887.29,9057.91,8489.9,8579.45,16938.7,0
FXP.US,D,20080502,000000,8333.22,8527.66,8268.84,8394.74,13919.5,0
FXP.US,D,20080505,000000,8537.48,8681.58,8422.73,8642.42,13236.9,0
FXP.US,D,20080506,000000,8780.91,8884.43,8342.99,8352.81,14453.7,0
FXP.US,D,20080507,000000,8930.55,9465.12,8905.46,9435.7,25044.1,0
FXP.US,D,20080508,000000,9248.12,9417.53,9101.34,9221.7,15483,0
FXP.US,D,20080509,000000,9584.02,9676.49,9465.12,9582.63,16023.9,0
FXP.US,D,20080512,000000,9480.48,9848.53,9480.48,9556,16328.3,0
FXP.US,D,20080513,000000,9271.9,9467.91,9199.37,9262.31,11061.9,0
FXP.US,D,20080514,000000,9136.35,9169.83,8871.78,9106.95,13328.9,0
FXP.US,D,20080515,000000,9101.34,9122.43,8836.83,8877.43,11056.8,0
FXP.US,D,20080516,000000,8852.26,8912.4,8736.16,8786.49,11575.1,0
FXP.US,D,20080519,000000,8783.72,8820.1,8524.87,8744.54,16320.4,0
FXP.US,D,20080520,000000,9213.18,9458.32,9178.23,9451.15,19305.6,0
FXP.US,D,20080521,000000,9024.35,9610.65,8915.16,9610.65,24596.9,0
FXP.US,D,20080522,000000,9341.93,9509.81,9279.03,9402.18,13094,0
FXP.US,D,20080523,000000,9589.7,9933.7,9542.02,9863.97,21591.3,0
FXP.US,D,20080527,000000,9875.2,10243,9711.44,9723.95,18142.5,0
FXP.US,D,20080528,000000,9758.89,10059.8,9723.95,9756.17,11997.5,0
FXP.US,D,20080529,000000,9881.99,9881.99,9332.15,9448.17,19054.9,0
FXP.US,D,20080530,000000,9382.72,9507.02,9340.62,9466.52,6597.84,0
FXP.US,D,20080602,000000,9259.46,9675,9137.8,9416.15,18654,0
FXP.US,D,20080603,000000,9681.79,10138.1,9673.6,10045.7,18744.4,0
FXP.US,D,20080604,000000,10220.6,10355.1,10064,10308.9,18025,0
FXP.US,D,20080605,000000,10350.8,10350.8,9625.93,9693.16,15243,0
FXP.US,D,20080606,000000,10058.2,10728.4,10024.7,10662.8,22879.3,0
FXP.US,D,20080609,000000,10520,10924.2,10395.4,10689.2,15913.3,0
FXP.US,D,20080610,000000,11095,11286.8,10935.6,11032.1,24335.5,0
FXP.US,D,20080611,000000,11093.8,11688.3,11093.8,11625.2,24446.1,0
FXP.US,D,20080612,000000,11312,11387.4,10902,11127.3,15333.4,0
FXP.US,D,20080613,000000,11460.2,11573.7,11125.9,11125.9,14509.6,0
FXP.US,D,20080616,000000,11237.8,11285.3,10964.9,10999.9,8674.6,0
FXP.US,D,20080617,000000,10843.2,11193.1,10641.8,11106.1,11656.4,0
FXP.US,D,20080618,000000,10777.5,11219.4,10777.5,10885.1,15095.7,0
FXP.US,D,20080619,000000,11181.7,11181.7,10601.3,10809.7,19419.1,0
FXP.US,D,20080620,000000,11360.9,11892.5,11340,11878.7,23594.1,0
FXP.US,D,20080623,000000,11504.9,11850.5,11423.9,11612.7,12344.7,0
FXP.US,D,20080624,000000,11812.7,12017.1,11332.8,11579.1,20107.4,0
FXP.US,D,20080625,000000,11362.3,11365,10966.2,11058.7,14739.4,0
