<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBTA.US,D,20250205,000000,24.9716,25.12,24.91,25.1081,161501,0
HBTA.US,D,20250206,000000,25.18,25.3,25.15,25.3,12335,0
HBTA.US,D,20250207,000000,25.21,25.39,24.94,24.9567,3021,0
HBTA.US,D,20250210,000000,25.19,25.22,25.16,25.1663,10776,0
HBTA.US,D,20250211,000000,25.13,25.18,25.03,25.1181,39745,0
HBTA.US,D,20250212,000000,25.11,25.11,25.0507,25.0507,2678,0
HBTA.US,D,20250213,000000,25.28,25.3931,25.17,25.3931,2696,0
HBTA.US,D,20250214,000000,25.43,25.4871,25.3801,25.4871,2654,0
HBTA.US,D,20250218,000000,25.44,25.4701,25.35,25.4701,8179,0
HBTA.US,D,20250219,000000,25.31,25.5305,25.26,25.5305,4819,0
HBTA.US,D,20250220,000000,25.23,25.34,25.23,25.325,68462,0
HBTA.US,D,20250221,000000,25.18,25.18,24.692,24.692,3922,0
HBTA.US,D,20250224,000000,24.54,24.68,24.54,24.57,1390,0
HBTA.US,D,20250225,000000,24.34,24.3501,23.89,24.1675,1270,0
HBTA.US,D,20250226,000000,24.51,24.51,24.18,24.2405,5439,0
HBTA.US,D,20250227,000000,24.17,24.1895,23.5865,23.5865,1791,0
HBTA.US,D,20250228,000000,23.61,24.0703,23.6,24.0703,2831,0
HBTA.US,D,20250303,000000,23.92,24.02,23.23,23.355,8237,0
HBTA.US,D,20250304,000000,23.13,23.45,22.8,23.0428,3287,0
HBTA.US,D,20250305,000000,23.12,23.4121,20.83,23.4121,5907,0
HBTA.US,D,20250306,000000,22.77,22.77,22.7098,22.7098,842,0
HBTA.US,D,20250307,000000,22.2608,22.8059,22.2608,22.8059,3663,0
HBTA.US,D,20250310,000000,22.09,22.09,21.72,21.8253,3391,0
HBTA.US,D,20250311,000000,21.83,21.83,21.75,21.7746,4122,0
HBTA.US,D,20250312,000000,22.01,22.015,21.9899,22.015,894,0
HBTA.US,D,20250313,000000,21.79,21.79,21.4601,21.5065,12574,0
HBTA.US,D,20250314,000000,21.83,22.1544,21.81,22.1544,433,0
HBTA.US,D,20250317,000000,22.09,22.345,22.07,22.2526,4539,0
HBTA.US,D,20250318,000000,21.98,21.98,21.79,21.8437,2449,0
HBTA.US,D,20250319,000000,21.7,22.2399,21.7,22.2127,520,0
HBTA.US,D,20250320,000000,22.34,22.34,22.1625,22.1625,402,0
HBTA.US,D,20250321,000000,21.93,22.2316,21.93,22.2316,1143,0
HBTA.US,D,20250324,000000,22.74,22.8594,22.7,22.8594,3626,0
HBTA.US,D,20250325,000000,22.88,22.9374,22.88,22.9374,298,0
HBTA.US,D,20250326,000000,22.7,22.7,22.35,22.4644,7426,0
HBTA.US,D,20250327,000000,22.4,22.47,22.2719,22.34,5429,0
HBTA.US,D,20250328,000000,21.82,21.82,21.57,21.6405,4182,0
HBTA.US,D,20250331,000000,21.24,21.6942,21.24,21.6942,701,0
HBTA.US,D,20250401,000000,21.6499,21.9221,21.54,21.9221,3111,0
HBTA.US,D,20250402,000000,21.82,22.26,21.82,22.1863,5765,0
HBTA.US,D,20250403,000000,21.2399,21.2399,20.526,20.5268,4924,0
HBTA.US,D,20250404,000000,19.34,19.34,19.0599,19.0599,2519,0
HBTA.US,D,20250407,000000,19.59,19.59,18.85,19.0992,2884,0
HBTA.US,D,20250408,000000,20.02,20.08,18.7059,18.7059,885243,0
HBTA.US,D,20250409,000000,19.03,21.1088,18.8,21.1088,20006,0
HBTA.US,D,20250410,000000,20.4464,20.4464,19.6501,20.1694,5056,0
HBTA.US,D,20250411,000000,19.19,20.7099,19.19,20.6027,4125,0
HBTA.US,D,20250414,000000,20.9184,20.9184,20.58,20.7223,1854,0
