<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIMC.US,D,20260715,000000,28.72,29.095,25.65,29.095,1239,0
HIMC.US,D,20260717,000000,22.2,23.69,22.2,22.4073,3648,0
HIMC.US,D,20260720,000000,21.41,23.29,21.41,22.1949,410,0
HIMC.US,D,20260721,000000,21.99,22.3088,21.95,22.3088,384,0
HIMC.US,D,20260722,000000,23.65,23.65,20.8116,20.8116,1201,0
HIMC.US,D,20260723,000000,22.7,25.45,22.1,22.1021,5037,0
HIMC.US,D,20260724,000000,18.13,18.13,15.9243,15.9243,974,0
HIMC.US,D,20260727,000000,17.05,18.1884,16.8,18.1884,556,0
HIMC.US,D,20260728,000000,16.53,17.1241,15.22,17.1241,1753,0
HIMC.US,D,20260729,000000,16.15,16.15,11.77,11.9668,5566,0
HIMC.US,D,20260730,000000,13.31,14.22,13.275,14.1934,1048,0
HIMC.US,D,20260731,000000,14.81,14.81,14.8073,14.8073,251,0
HIMC.US,D,20260803,000000,17.42,18.0408,17.42,18.0408,126,0
HIMC.US,D,20260804,000000,18.77,19.5612,18.77,19.5612,158,0
HIMC.US,D,20260806,000000,17.7,18,16.6707,16.6707,426,0
HIMC.US,D,20260807,000000,17.5,18.7486,17.5,18.7486,212,0
HIMC.US,D,20260811,000000,18.06,18.1568,18.06,18.1568,398,0
HIMC.US,D,20260813,000000,15.73,16.1,15.6263,15.6263,921,0
HIMC.US,D,20260814,000000,15.67,15.67,14.7534,14.7534,119,0
HIMC.US,D,20260817,000000,14.38,15.1139,14.38,15.1139,127,0
HIMC.US,D,20260818,000000,14.94,14.94,14.02,14.02,411,0
HIMC.US,D,20260819,000000,15.29,17.5,15.29,17.5,748,0
HIMC.US,D,20260820,000000,19.49,19.7,18.6877,18.6877,2036,0
HIMC.US,D,20260821,000000,20.99,21,20.7173,20.7173,557,0
HIMC.US,D,20260824,000000,17.12,17.4639,17.12,17.4639,127,0
