<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVRS.US,D,20230221,000000,22.0437,22.082,21.9923,21.9923,2264.42,0
IVRS.US,D,20230222,000000,22.0657,22.0657,21.9475,21.9721,3852.09,0
IVRS.US,D,20230223,000000,22.1448,22.1791,21.9654,22.1791,2506.36,0
IVRS.US,D,20230224,000000,23.7235,23.7235,21.5698,21.6336,2133.98,0
IVRS.US,D,20230227,000000,21.7765,21.813,21.6755,21.6755,1805.07,0
IVRS.US,D,20230228,000000,21.8019,21.8757,21.7591,21.7602,2324.63,0
IVRS.US,D,20230301,000000,21.8019,21.8019,21.6575,21.6575,207.377,0
IVRS.US,D,20230302,000000,21.7054,22.014,21.7054,22.014,387.996,0
IVRS.US,D,20230303,000000,22.2794,22.496,22.2794,22.496,2268.88,0
IVRS.US,D,20230306,000000,22.7995,22.7995,22.4481,22.4481,740.315,0
IVRS.US,D,20230307,000000,22.157,22.157,22.157,22.157,33.4479,0
IVRS.US,D,20230308,000000,22.2436,22.2436,22.2436,22.2436,159.435,0
IVRS.US,D,20230309,000000,22.2524,22.2524,21.7696,21.7696,362.353,0
IVRS.US,D,20230310,000000,21.5033,21.5033,21.5033,21.5033,81.3901,0
IVRS.US,D,20230313,000000,22.2524,22.2524,21.751,21.751,20.0687,0
IVRS.US,D,20230314,000000,22.0641,22.1766,22.0641,22.1766,226.331,0
IVRS.US,D,20230315,000000,22.0805,22.0805,22.0805,22.0805,73.5855,0
IVRS.US,D,20230316,000000,22.2884,22.7666,22.2884,22.7666,1329,0
IVRS.US,D,20230317,000000,22.6289,22.71,22.6023,22.6223,410.295,0
IVRS.US,D,20230320,000000,22.6202,22.7249,22.6202,22.7249,127.102,0
IVRS.US,D,20230321,000000,22.961,23.0744,22.961,23.0366,311.066,0
IVRS.US,D,20230322,000000,23.0337,23.0337,22.7602,22.7602,245.285,0
IVRS.US,D,20230323,000000,23.3124,23.3124,23.2036,23.2036,279.848,0
IVRS.US,D,20230324,000000,23.2929,23.2929,23.1404,23.2839,617.672,0
IVRS.US,D,20230327,000000,23.0866,23.0866,23.0475,23.0475,124.872,0
IVRS.US,D,20230328,000000,22.8713,23.0089,22.8713,23.0089,186.193,0
IVRS.US,D,20230329,000000,23.3108,23.3624,23.3108,23.3624,527.363,0
IVRS.US,D,20230330,000000,23.5485,23.6151,23.5395,23.6151,1219.73,0
IVRS.US,D,20230331,000000,23.9541,23.9541,23.9541,23.9541,100.343,0
IVRS.US,D,20230403,000000,23.7925,23.9924,23.7925,23.9903,1809.53,0
IVRS.US,D,20230404,000000,24.0015,24.0104,23.9386,23.9875,1306.7,0
IVRS.US,D,20230405,000000,23.6158,23.6876,23.6158,23.6276,345.629,0
IVRS.US,D,20230406,000000,23.849,23.849,23.7475,23.7475,323.33,0
IVRS.US,D,20230410,000000,23.6786,23.8746,23.6786,23.8746,386.881,0
IVRS.US,D,20230411,000000,23.7393,23.7393,23.7393,23.7393,149.401,0
IVRS.US,D,20230412,000000,23.4708,23.4708,23.4708,23.4708,193.998,0
IVRS.US,D,20230413,000000,23.8212,23.8951,23.8212,23.8951,497.26,0
IVRS.US,D,20230414,000000,23.7731,23.8136,23.7731,23.8136,331.135,0
IVRS.US,D,20230417,000000,23.7548,23.7548,23.7548,23.7548,108.148,0
IVRS.US,D,20230418,000000,23.8813,23.8813,23.7773,23.7773,161.665,0
IVRS.US,D,20230419,000000,23.5781,23.6696,23.5781,23.6696,182.849,0
IVRS.US,D,20230420,000000,23.5586,23.5586,23.5586,23.5586,22.2986,0
IVRS.US,D,20230421,000000,23.5043,23.5043,23.5043,23.5043,36.7927,0
IVRS.US,D,20230424,000000,23.3197,23.4585,23.3197,23.4585,690.143,0
IVRS.US,D,20230425,000000,23.3197,23.3197,22.974,22.974,828.395,0
IVRS.US,D,20230426,000000,22.9341,23.0418,22.8617,22.8617,784.912,0
IVRS.US,D,20230427,000000,23.137,23.3106,23.137,23.3106,117.067,0
IVRS.US,D,20230428,000000,23.302,23.434,23.302,23.434,173.929,0
IVRS.US,D,20230501,000000,23.4942,23.4942,23.4942,23.4942,12.2642,0
IVRS.US,D,20230502,000000,23.1226,23.1942,23.1226,23.1941,893.061,0
IVRS.US,D,20230503,000000,23.1404,23.2481,23.068,23.068,1066.99,0
IVRS.US,D,20230504,000000,22.9591,22.9591,22.9591,22.9591,7.80453,0
IVRS.US,D,20230505,000000,23.3197,23.3784,23.3197,23.3784,724.706,0
IVRS.US,D,20230508,000000,23.4328,23.4328,23.4328,23.4328,102.573,0
IVRS.US,D,20230509,000000,23.2483,23.2483,23.2483,23.2483,10.0343,0
IVRS.US,D,20230510,000000,23.4796,23.4796,23.4796,23.4796,6.68959,0
