<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGNR.US,D,20240207,000000,24.39,24.43,24.39,24.4057,660969,0
MGNR.US,D,20240208,000000,24.33,24.4154,24.28,24.3317,7773,0
MGNR.US,D,20240209,000000,24.14,24.15,24.1083,24.14,1988,0
MGNR.US,D,20240212,000000,24.2,24.7,24.2,24.5903,11333,0
MGNR.US,D,20240213,000000,24.37,24.37,23.95,23.99,2018,0
MGNR.US,D,20240214,000000,24.19,24.19,24.1376,24.1376,1229,0
MGNR.US,D,20240215,000000,24.87,24.91,24.8485,24.8485,3835,0
MGNR.US,D,20240216,000000,25.01,25.1716,25.0099,25.1716,2700,0
MGNR.US,D,20240220,000000,24.98,24.98,24.68,24.8,6121,0
MGNR.US,D,20240221,000000,24.8832,25.2317,24.8832,25.2317,1050,0
MGNR.US,D,20240222,000000,25.2468,25.2697,25.2468,25.2697,1984,0
MGNR.US,D,20240223,000000,25.46,25.62,25.1899,25.2235,2300,0
MGNR.US,D,20240226,000000,25.103,25.21,25.103,25.1937,2740,0
MGNR.US,D,20240227,000000,25.37,25.37,25.37,25.37,237,0
MGNR.US,D,20240228,000000,25.1653,25.1653,25.1653,25.1653,108,0
MGNR.US,D,20240229,000000,25.3,25.46,25.3,25.46,791,0
MGNR.US,D,20240301,000000,25.83,25.83,25.83,25.83,103,0
MGNR.US,D,20240304,000000,25.8,25.85,25.77,25.7811,5183,0
MGNR.US,D,20240305,000000,25.7297,25.76,25.5999,25.605,5113,0
MGNR.US,D,20240306,000000,26.02,26.02,25.89,25.9395,958,0
MGNR.US,D,20240307,000000,26.66,26.66,26.3601,26.3715,838,0
MGNR.US,D,20240308,000000,26.09,26.25,26.09,26.1395,218,0
MGNR.US,D,20240311,000000,26.36,26.38,26.2655,26.2655,269,0
MGNR.US,D,20240312,000000,26.38,26.38,26.2976,26.3738,1514,0
MGNR.US,D,20240313,000000,27.07,27.0701,26.9856,26.9856,1580,0
MGNR.US,D,20240314,000000,26.87,26.9099,26.87,26.8768,4434,0
MGNR.US,D,20240315,000000,27.23,27.23,27.0169,27.0169,340,0
MGNR.US,D,20240318,000000,27.3,27.3,27.0996,27.0996,2123,0
MGNR.US,D,20240319,000000,26.955,27.03,26.93,27.0144,1219,0
MGNR.US,D,20240320,000000,27.08,27.47,27.08,27.47,4108,0
MGNR.US,D,20240321,000000,27.6,27.63,27.59,27.63,2046,0
MGNR.US,D,20240322,000000,27.52,27.52,27.4768,27.4768,1153,0
MGNR.US,D,20240325,000000,27.72,27.72,27.5826,27.5826,993,0
MGNR.US,D,20240326,000000,27.59,27.64,27.5385,27.5385,3227,0
MGNR.US,D,20240327,000000,27.85,27.98,27.85,27.9602,490,0
MGNR.US,D,20240328,000000,28.16,28.42,28.14,28.39,1876,0
MGNR.US,D,20240401,000000,28.48,28.56,28.4748,28.4748,1470,0
MGNR.US,D,20240402,000000,28.48,28.7365,28.48,28.7365,2387,0
MGNR.US,D,20240403,000000,28.78,29.18,28.77,29.1361,1926,0
MGNR.US,D,20240404,000000,29.19,29.845,28.99,29.0238,1049,0
MGNR.US,D,20240405,000000,29.25,29.268,29.25,29.268,234,0
MGNR.US,D,20240408,000000,29.45,29.62,29.45,29.4973,2230,0
MGNR.US,D,20240409,000000,29.66,29.76,29.624,29.6893,1321,0
MGNR.US,D,20240410,000000,29.5381,29.5381,29.5381,29.5381,37,0
MGNR.US,D,20240411,000000,29.43,29.59,29.4177,29.4595,1016,0
MGNR.US,D,20240412,000000,29.235,29.4,29.07,29.0895,4937,0
MGNR.US,D,20240415,000000,28.96,28.98,28.9091,28.9489,6866,0
MGNR.US,D,20240416,000000,28.44,29.02,28.44,28.7595,7374,0
MGNR.US,D,20240417,000000,29.3,29.6,28.6504,28.6504,4302,0
MGNR.US,D,20240418,000000,28.7,28.72,28.45,28.641,2709,0
MGNR.US,D,20240419,000000,28.97,29.32,28.685,28.72,5411,0
