<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUIB.US,D,20260730,000000,25.815,26.7872,25.815,26.7872,1504,0
MUIB.US,D,20260731,000000,27.96,27.96,25.2344,25.2344,8949,0
MUIB.US,D,20260803,000000,23.47,25.52,23.47,25.4002,2336,0
MUIB.US,D,20260804,000000,27,27.609,26.8827,27.3775,1489,0
MUIB.US,D,20260805,000000,28.47,28.47,27.719,27.719,609,0
MUIB.US,D,20260806,000000,27.76,27.76,27.23,27.23,383,0
MUIB.US,D,20260807,000000,27.205,27.2075,26.35,27.0239,1669,0
MUIB.US,D,20260810,000000,27.51,27.51,26.674,26.674,758,0
MUIB.US,D,20260811,000000,26.5,26.7625,26.385,26.7625,485,0
MUIB.US,D,20260813,000000,30.05,30.05,29.4278,29.4278,255,0
MUIB.US,D,20260814,000000,29.92,30.2207,29.92,29.969,3245,0
MUIB.US,D,20260817,000000,31.19,31.79,31.19,31.2707,7510,0
MUIB.US,D,20260819,000000,28.839,28.93,28.45,28.7394,7190,0
MUIB.US,D,20260820,000000,28.98,29.9255,28.97,29.9255,1146,0
MUIB.US,D,20260821,000000,29.55,29.76,29.55,29.7266,1584,0
MUIB.US,D,20260824,000000,27.28,27.95,27.28,27.8792,3398,0
