<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRGD.US,D,20250220,000000,119.403,125,119.403,119.403,168,0
NRGD.US,D,20250224,000000,128.3,129.95,128.3,129.4,164.8,0
NRGD.US,D,20250304,000000,156.775,159.3,151.644,151.644,160.20000000000002,0
NRGD.US,D,20250305,000000,165.85,168.3,159.1,162.25,523.8000000000001,0
NRGD.US,D,20250306,000000,162.2,162.2,155.898,155.898,423.20000000000005,0
NRGD.US,D,20250311,000000,148.85,149.55,148.85,149.452,195.20000000000002,0
NRGD.US,D,20250314,000000,138.6,138.6,137.118,137.118,91.4,0
NRGD.US,D,20250317,000000,134.15,134.15,130.258,130.258,641.4000000000001,0
NRGD.US,D,20250318,000000,128,129.196,128,129.196,36,0
NRGD.US,D,20250321,000000,126,126,124.814,124.814,48,0
NRGD.US,D,20250402,000000,119.15,119.15,117.624,117.624,54,0
NRGD.US,D,20250403,000000,147.35,153.45,147.35,153.45,1405.4,0
NRGD.US,D,20250404,000000,173.15,193.65,173.15,193.449,2493.4,0
NRGD.US,D,20250407,000000,214.35,230,184.791,200.55,3973,0
NRGD.US,D,20250408,000000,185.975,219.894,181.6,219.894,640.4000000000001,0
NRGD.US,D,20250409,000000,228.557,233.65,150.5,156.259,2678.8,0
NRGD.US,D,20250410,000000,174.5,193.75,174.5,193.579,541,0
NRGD.US,D,20250411,000000,199.8,199.8,179.401,179.401,249,0
NRGD.US,D,20250416,000000,171.55,178.696,171.55,178.696,614.8000000000001,0
NRGD.US,D,20250417,000000,161.25,175.7,157.455,163.679,444.20000000000005,0
NRGD.US,D,20250421,000000,175.55,175.55,173.314,173.314,72.2,0
NRGD.US,D,20250422,000000,158.8,158.8,157.798,157.798,52.800000000000004,0
NRGD.US,D,20250423,000000,153.5,155.514,150.1,155.514,206.60000000000002,0
NRGD.US,D,20250424,000000,153.35,153.35,149.485,149.485,219.60000000000002,0
NRGD.US,D,20250425,000000,152.25,152.25,150.328,150.328,269,0
NRGD.US,D,20250428,000000,150.25,150.25,145.55,145.565,225.8,0
NRGD.US,D,20250429,000000,147.85,148.227,147.85,148.227,54.800000000000004,0
NRGD.US,D,20250430,000000,160.6,160.6,157.7,157.7,495,0
NRGD.US,D,20250501,000000,148.9,155.6,148.827,153.506,302,0
NRGD.US,D,20250502,000000,148.05,148.05,146.496,146.496,158.20000000000002,0
NRGD.US,D,20250506,000000,155.25,155.25,153.046,154.558,181.20000000000002,0
NRGD.US,D,20250507,000000,160,160,157.026,157.026,95.80000000000001,0
NRGD.US,D,20250508,000000,139.45,142.498,138.5,142.498,203.20000000000002,0
NRGD.US,D,20250509,000000,138.55,140.2,138.25,138.852,157,0
NRGD.US,D,20250512,000000,116.074,122.75,116.074,122.648,1337,0
NRGD.US,D,20250514,000000,117.35,117.35,116.632,116.632,196.60000000000002,0
NRGD.US,D,20250515,000000,121.7,122.8,116.113,116.113,548.6,0
NRGD.US,D,20250516,000000,116.1,117.208,116.1,117.208,120,0
NRGD.US,D,20250519,000000,121.75,123.25,121.75,122.122,105.4,0
NRGD.US,D,20250520,000000,123.5,125.508,123.5,125.508,223.60000000000002,0
NRGD.US,D,20250521,000000,131.6,134.098,130.416,134.098,494.40000000000003,0
NRGD.US,D,20250603,000000,122.7,123.498,121.25,123.498,733.8000000000001,0
NRGD.US,D,20250604,000000,132.15,132.15,131.634,131.634,157,0
NRGD.US,D,20250605,000000,131.5,133.086,130.237,133.086,288,0
NRGD.US,D,20250609,000000,122.4,122.4,120.05,122.055,607.2,0
NRGD.US,D,20250611,000000,113.6,113.6,108.054,108.054,702.2,0
NRGD.US,D,20250612,000000,108.1,108.347,107.132,107.132,450.8,0
NRGD.US,D,20250613,000000,100,103.678,100,100.971,1153,0
NRGD.US,D,20250616,000000,101.45,104.55,99.9,102.014,3522.4,0
NRGD.US,D,20250617,000000,95.7,97.35,95.25,97.2705,1371.8000000000002,0
NRGD.US,D,20250618,000000,99.95,100.676,99.95,100.676,160.20000000000002,0
NRGD.US,D,20250620,000000,99.55,99.8,97.7,98.296,542.2,0
NRGD.US,D,20250623,000000,97.377,107.4,97.377,106.92,1440.4,0
NRGD.US,D,20250624,000000,110.382,112.626,108.3,112.626,940.2,0
NRGD.US,D,20250625,000000,115,115,110.5,113.246,1643.2,0
NRGD.US,D,20250626,000000,112.95,112.95,109.05,109.456,557.6,0
NRGD.US,D,20250627,000000,111.803,111.803,111.684,111.684,81.60000000000001,0
NRGD.US,D,20250701,000000,113.64,114.656,105.3,107.298,539.2,0
NRGD.US,D,20250703,000000,99.5,99.5,99.203,99.203,97.60000000000001,0
NRGD.US,D,20250708,000000,95.5,95.5,91,91.4755,905,0
NRGD.US,D,20250709,000000,92.7,93.2,92.05,92.4915,358.8,0
NRGD.US,D,20250710,000000,90.05,91.05,88.933,88.933,673.4000000000001,0
NRGD.US,D,20250711,000000,89,89,88.445,88.961,198.4,0
NRGD.US,D,20250714,000000,91.9835,94.1635,91.9835,94.1635,792.8000000000001,0
NRGD.US,D,20250715,000000,95.5,98.25,95.5,97.784,212.20000000000002,0
NRGD.US,D,20250717,000000,100.1,100.818,98.7905,98.7905,563.2,0
NRGD.US,D,20250718,000000,94.25,99.4835,94.15,99.4835,3397.4,0
NRGD.US,D,20250721,000000,98.8,100.406,98.666,100.406,153.60000000000002,0
NRGD.US,D,20250722,000000,98.5475,98.5475,98.171,98.171,163.60000000000002,0
NRGD.US,D,20250723,000000,95.849,95.849,94.011,94.011,162.20000000000002,0
NRGD.US,D,20250724,000000,96.6255,97.25,95.43,95.43,680.8000000000001,0
NRGD.US,D,20250725,000000,96.846,96.846,96.2505,96.286,303.8,0
NRGD.US,D,20250728,000000,91,91,89.9265,89.9265,205.60000000000002,0
NRGD.US,D,20250729,000000,90.2,90.2,88.0325,88.0325,163,0
NRGD.US,D,20250730,000000,92.6995,93.918,89.4,90,800.4000000000001,0
NRGD.US,D,20250731,000000,94.755,97,94.755,94.85,495,0
NRGD.US,D,20250801,000000,100.925,103.55,98.15,99.1,1278.6000000000001,0
NRGD.US,D,20250804,000000,102.15,105.1,100.89,102.243,660.8000000000001,0
NRGD.US,D,20250805,000000,104.95,105.25,100.356,100.76,1795.2,0
NRGD.US,D,20250806,000000,98.05,105.649,97.1,104.241,573.2,0
NRGD.US,D,20250807,000000,102.2,105.6,102.2,105.52,329.40000000000003,0
NRGD.US,D,20250808,000000,102.25,102.828,102.25,102.828,125.4,0
NRGD.US,D,20250811,000000,105.9,106.124,105.9,106.124,120,0
NRGD.US,D,20250812,000000,100.416,102.991,99.55,102.991,246,0
NRGD.US,D,20250813,000000,99.45,99.45,99.45,99.45,493.6,0
NRGD.US,D,20250814,000000,100.8,100.8,93.35,93.35,780.4000000000001,0
NRGD.US,D,20250815,000000,98.2,99.75,97.85,98.417,193.8,0
NRGD.US,D,20250818,000000,101.6,101.6,99.6645,99.6645,92.80000000000001,0
NRGD.US,D,20250819,000000,97.5,99.863,97.5,99.863,61,0
NRGD.US,D,20250820,000000,97.4,98.752,96.95,97.005,277.40000000000003,0
NRGD.US,D,20250821,000000,98.802,99,96.6625,96.6625,140.20000000000002,0
NRGD.US,D,20250822,000000,94.85,94.85,87.8255,87.8255,722.6,0
NRGD.US,D,20250825,000000,88.55,88.55,82.3,82.3,1352.4,0
NRGD.US,D,20250826,000000,87.75,87.75,86.3,86.3,311.20000000000005,0
NRGD.US,D,20250827,000000,83.75,83.75,81.4,82.1485,958.2,0
NRGD.US,D,20250828,000000,82.75,82.75,80,80.4,1741.8000000000002,0
NRGD.US,D,20250829,000000,79,79.875,79,79.6,515.4,0
NRGD.US,D,20250902,000000,78.75,79.595,78,78,3145.8,0
NRGD.US,D,20250903,000000,79.7,85.35,77.848,84.503,1853.4,0
NRGD.US,D,20250904,000000,85.85,85.85,81.842,82.9985,1637.4,0
NRGD.US,D,20250905,000000,86.25,88.25,84.85,87.1405,801.2,0
NRGD.US,D,20250908,000000,85.95,90.65,85.95,88,611.6,0
NRGD.US,D,20250909,000000,85.95,86.4785,82.45,86.4785,529.4,0
NRGD.US,D,20250910,000000,87,88.1995,83.2,83.2,1647.4,0
NRGD.US,D,20250911,000000,83.05,84.7,83.05,83.7,1887,0
NRGD.US,D,20250912,000000,82.45,86.145,82.45,86.145,450.6,0
NRGD.US,D,20250915,000000,87.1,88,85.94,87.25,553.2,0
NRGD.US,D,20250916,000000,84.1135,84.1135,79.79,80.6,1493.2,0
NRGD.US,D,20250917,000000,81.8,81.8,78.4,79.9385,1801,0
NRGD.US,D,20250918,000000,80.85,82.05,80.65,81.05,778.6,0
NRGD.US,D,20250919,000000,83.2,85.405,83.2,84.5,623.2,0
NRGD.US,D,20250922,000000,85.55,85.55,83.45,83.45,1141.8,0
NRGD.US,D,20250923,000000,83.1,83.1,76,79.25,3800.4,0
NRGD.US,D,20250924,000000,77.5,77.5,74.3,77.15,2208.8,0
NRGD.US,D,20250925,000000,77,77.4,74.187,74.187,2965.4,0
NRGD.US,D,20250926,000000,74,74.05,69.0995,71.8675,2653.8,0
NRGD.US,D,20250929,000000,73.3,77.33,73.3,76.35,4511.2,0
NRGD.US,D,20250930,000000,79.45,81,78.6,78.947,2355.8,0
NRGD.US,D,20251001,000000,79.9495,80.5,79,79.567,2285,0
NRGD.US,D,20251002,000000,80.6,83.7,79.9,83.287,672.6,0
NRGD.US,D,20251003,000000,80.65,82.35,79.4,82.35,2574.8,0
NRGD.US,D,20251006,000000,80.8,80.8,78.5,80.626,744.6,0
NRGD.US,D,20251007,000000,84.875,84.9,80.996,80.996,655.4000000000001,0
NRGD.US,D,20251008,000000,80.65,84.125,80.6,81.15,2199.2000000000003,0
NRGD.US,D,20251009,000000,81,85.3005,79.7,84.8845,1008.6,0
NRGD.US,D,20251010,000000,86.95,93.429,86.95,93.429,1399.2,0
NRGD.US,D,20251013,000000,90.5,91,89.2395,89.2395,885.4000000000001,0
NRGD.US,D,20251014,000000,88,89.5165,88,89.5165,352,0
NRGD.US,D,20251015,000000,88.0445,91.7365,87.25,90.749,1825,0
NRGD.US,D,20251016,000000,90.85,96.2225,90.85,94.65,1337.8000000000002,0
NRGD.US,D,20251017,000000,95.075,95.075,93.7345,93.7345,525.6,0
NRGD.US,D,20251020,000000,91.643,93.15,91.345,91.348,435,0
NRGD.US,D,20251021,000000,91.4,94.3,91.4,92.7695,203.60000000000002,0
NRGD.US,D,20251022,000000,88.75,88.75,88.5625,88.5625,140,0
NRGD.US,D,20251023,000000,82.2,83.7,79.345,80.6365,3452.6000000000004,0
NRGD.US,D,20251024,000000,80.25,82.9055,80.25,82.9055,2038.8000000000002,0
NRGD.US,D,20251027,000000,82.295,83.5,82.295,82.5095,317,0
NRGD.US,D,20251028,000000,85.35,87.25,85.198,87.1325,520.2,0
NRGD.US,D,20251029,000000,86.9,86.9,83.2,84.774,989.4000000000001,0
NRGD.US,D,20251030,000000,84.95,85.837,82.7,85.837,258.2,0
NRGD.US,D,20251031,000000,83.25,86.5,83.25,84.26,279.40000000000003,0
NRGD.US,D,20251103,000000,85.95,85.95,84.7125,84.7125,214.60000000000002,0
NRGD.US,D,20251104,000000,90.7,91.225,88.6855,88.6855,258.2,0
NRGD.US,D,20251105,000000,86.1,88.9715,85.9,88.9715,360.8,0
NRGD.US,D,20251106,000000,86.3,86.3,82.5,85.7555,1398.2,0
NRGD.US,D,20251107,000000,84,84.35,81.6,82.8235,505.6,0
NRGD.US,D,20251110,000000,83.35,84,79.9635,79.9635,402.6,0
NRGD.US,D,20251111,000000,76.85,76.85,73.955,75.8,2445.8,0
NRGD.US,D,20251112,000000,77.15,78.697,76.35,78.697,704.4000000000001,0
NRGD.US,D,20251113,000000,77.1325,78.75,76.75,78.623,278.8,0
NRGD.US,D,20251114,000000,77.65,77.65,73.2,73.5425,1501.4,0
NRGD.US,D,20251117,000000,74.4505,78.402,74.4505,77.482,661.2,0
NRGD.US,D,20251118,000000,77.5305,77.5305,73.85,73.851,573,0
NRGD.US,D,20251119,000000,79.4,80.77,77.7,77.92,802.6,0
NRGD.US,D,20251120,000000,74.5,81.4,73.15,81.3835,1216.4,0
NRGD.US,D,20251121,000000,81.847,83.5,79,80.2055,1693.6000000000001,0
NRGD.US,D,20251124,000000,82,82,79.325,79.42,823.2,0
NRGD.US,D,20251125,000000,82,82,81.0965,81.0965,84.4,0
NRGD.US,D,20251126,000000,78.25,79.214,78.25,79.214,26.200000000000003,0
NRGD.US,D,20251128,000000,76.25,76.25,75.5355,75.9025,144,0
NRGD.US,D,20251201,000000,74.425,74.425,71.2,72.514,1302.8000000000002,0
NRGD.US,D,20251202,000000,76.75,76.75,74.5,74.738,441.8,0
NRGD.US,D,20251203,000000,72.6345,73.1565,71.75,72.285,329,0
NRGD.US,D,20251204,000000,71.6,73.044,71.5,72.034,493.20000000000005,0
NRGD.US,D,20251205,000000,72.75,72.75,69,72.665,1268.6000000000001,0
