<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNMN.US,D,20251226,000000,25.63,25.63,25.57,25.57,17348,0
RNMN.US,D,20251229,000000,25.63,26.25,25.55,26.24,15190,0
RNMN.US,D,20251230,000000,25.65,25.69,25.5516,25.68,4070,0
RNMN.US,D,20251231,000000,25.7,25.7,25.67,25.67,900,0
RNMN.US,D,20260102,000000,25.64,25.64,25.64,25.64,300,0
RNMN.US,D,20260105,000000,25.68,25.68,25.62,25.62,1400,0
RNMN.US,D,20260106,000000,25.6,25.6,25.6,25.6,174,0
RNMN.US,D,20260107,000000,25.46,25.46,25.46,25.46,100,0
RNMN.US,D,20260114,000000,25.5936,25.5936,25.5936,25.5936,400,0
RNMN.US,D,20260121,000000,25.645,25.72,25.61,25.61,505,0
RNMN.US,D,20260126,000000,25.79,25.79,25.79,25.79,300,0
RNMN.US,D,20260127,000000,25.83,25.83,25.83,25.83,300,0
RNMN.US,D,20260203,000000,25.68,25.68,25.68,25.68,200,0
RNMN.US,D,20260218,000000,25.76,25.76,25.7599,25.7599,820,0
RNMN.US,D,20260305,000000,25.93,25.93,25.93,25.93,1679,0
RNMN.US,D,20260306,000000,25.59,25.8,25.59,25.8,548,0
RNMN.US,D,20260309,000000,25.88,25.93,25.88,25.93,2716,0
RNMN.US,D,20260324,000000,25.46,25.46,25.46,25.46,2000,0
RNMN.US,D,20260327,000000,25.58,25.58,25.58,25.58,4152,0
RNMN.US,D,20260413,000000,25.53,25.53,25.53,25.53,308,0
RNMN.US,D,20260414,000000,25.65,25.65,25.6499,25.6499,382,0
RNMN.US,D,20260420,000000,28.22,28.22,25.97,25.97,525,0
RNMN.US,D,20260423,000000,25.72,25.74,25.72,25.74,4997,0
RNMN.US,D,20260424,000000,25.74,25.74,25.74,25.74,20000,0
RNMN.US,D,20260428,000000,25.84,25.84,25.84,25.84,4999,0
RNMN.US,D,20260501,000000,25.675,25.78,25.675,25.77,18300,0
RNMN.US,D,20260507,000000,24.83,24.83,24.83,24.83,229,0
RNMN.US,D,20260520,000000,25.92,25.92,25.9,25.91,10598,0
RNMN.US,D,20260521,000000,25.95,25.95,25.93,25.93,1400,0
RNMN.US,D,20260522,000000,25.88,25.8801,25.88,25.8801,998,0
RNMN.US,D,20260528,000000,25.935,25.935,25.935,25.935,100,0
RNMN.US,D,20260608,000000,26,26,26,26,106,0
RNMN.US,D,20260609,000000,25.78,25.81,25.78,25.81,2275,0
RNMN.US,D,20260610,000000,26.19,26.96,26.19,26.96,20198,0
RNMN.US,D,20260611,000000,26.63,26.63,25.75,25.77,19400,0
RNMN.US,D,20260612,000000,26.7,26.7,26.21,26.215,1144,0
RNMN.US,D,20260615,000000,26.225,26.225,25.86,25.86,1036,0
RNMN.US,D,20260616,000000,25.81,25.8101,25.81,25.8101,200,0
RNMN.US,D,20260617,000000,26.22,26.22,26.2,26.2,600,0
RNMN.US,D,20260622,000000,25.89,25.89,25.89,25.89,200,0
RNMN.US,D,20260623,000000,25.89,25.89,25.89,25.89,100,0
RNMN.US,D,20260626,000000,25.88,25.88,25.88,25.88,100,0
RNMN.US,D,20260629,000000,25.86,25.86,25.86,25.86,100,0
RNMN.US,D,20260701,000000,26.0601,26.0601,26.0601,26.0601,86,0
RNMN.US,D,20260702,000000,25.87,26.0701,25.87,26.0701,112,0
RNMN.US,D,20260706,000000,26.0751,26.0751,26.0751,26.0751,100,0
RNMN.US,D,20260707,000000,26.06,26.06,26.06,26.06,100,0
RNMN.US,D,20260708,000000,26.055,26.055,26.055,26.055,100,0
RNMN.US,D,20260709,000000,26.0703,26.0703,26.0703,26.0703,100,0
RNMN.US,D,20260710,000000,26.0617,26.0617,26.0617,26.0617,100,0
RNMN.US,D,20260713,000000,26.08,26.08,26.08,26.08,100,0
RNMN.US,D,20260714,000000,26.17,26.17,26.15,26.15,15031,0
RNMN.US,D,20260824,000000,26.06,26.1205,26.01,26.1205,6828,0
