<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEPW.US,D,20230905,000000,25.05,25.06,25,25.0188,128981,0
SEPW.US,D,20230906,000000,25,25.05,24.8436,24.8912,70110,0
SEPW.US,D,20230907,000000,24.86,24.9799,24.81,24.91,70187,0
SEPW.US,D,20230908,000000,25.02,25.02,24.885,24.9105,46537,0
SEPW.US,D,20230911,000000,25,25.01,24.9475,25,41484,0
SEPW.US,D,20230912,000000,24.9578,25.01,24.9041,24.94,56993,0
SEPW.US,D,20230913,000000,24.95,24.99,24.9117,24.96,56185,0
SEPW.US,D,20230914,000000,25.04,25.075,24.981,25.0413,26655,0
SEPW.US,D,20230915,000000,25.06,25.06,24.9,24.91,25692,0
SEPW.US,D,20230918,000000,24.92,24.95,24.85,24.93,70977,0
SEPW.US,D,20230919,000000,24.8696,24.9,24.8,24.9,23482,0
SEPW.US,D,20230920,000000,24.92,24.94,24.7871,24.7871,19365,0
SEPW.US,D,20230921,000000,24.67,24.67,24.57,24.57,28996,0
SEPW.US,D,20230922,000000,24.63,24.64,24.5326,24.5326,27265,0
SEPW.US,D,20230925,000000,24.54,24.61,24.5239,24.61,13021,0
SEPW.US,D,20230926,000000,24.49,24.49,24.34,24.43,68302,0
SEPW.US,D,20230927,000000,24.59,24.59,24.315,24.424,38836,0
SEPW.US,D,20230928,000000,24.39,24.54,24.39,24.4954,36167,0
SEPW.US,D,20230929,000000,24.58,24.58,24.4419,24.4601,26686,0
SEPW.US,D,20231002,000000,24.48,24.48,24.37,24.4508,1173,0
SEPW.US,D,20231003,000000,24.36,24.36,24.24,24.3004,7510,0
SEPW.US,D,20231004,000000,24.36,24.44,24.335,24.428,8795,0
SEPW.US,D,20231005,000000,24.43,24.44,24.29,24.415,12903,0
SEPW.US,D,20231006,000000,24.44,24.6,24.44,24.578,5094,0
SEPW.US,D,20231009,000000,24.515,24.66,24.515,24.6121,4645,0
SEPW.US,D,20231010,000000,24.73,24.73,24.67,24.6955,10758,0
SEPW.US,D,20231011,000000,24.7179,24.77,24.68,24.7409,6853,0
SEPW.US,D,20231012,000000,24.7,24.78,24.63,24.6602,17076,0
SEPW.US,D,20231013,000000,24.67,24.682,24.5903,24.5903,4948,0
SEPW.US,D,20231016,000000,24.7404,24.78,24.725,24.7382,11403,0
SEPW.US,D,20231017,000000,24.73,24.8,24.7,24.75,25164,0
SEPW.US,D,20231018,000000,24.682,24.69,24.5128,24.5681,29979,0
SEPW.US,D,20231019,000000,24.55,24.57,24.4504,24.4504,6375,0
SEPW.US,D,20231020,000000,24.43,24.43,24.3329,24.34,8344,0
SEPW.US,D,20231023,000000,24.38,24.38,24.25,24.33,10209,0
SEPW.US,D,20231024,000000,24.3709,24.43,24.335,24.41,19885,0
SEPW.US,D,20231025,000000,24.21,24.21,24.21,24.21,4,0
SEPW.US,D,20231026,000000,24.0751,24.18,24.0731,24.14,1765,0
SEPW.US,D,20231027,000000,24.125,24.125,24.005,24.0271,6946,0
SEPW.US,D,20231030,000000,24.15,24.22,24.105,24.19,5688,0
