<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKHL.US,D,20260715,000000,13.11,14.059,10.795,12.26,497750,0
SKHL.US,D,20260716,000000,10.89,11.1,8.8,8.94,945602,0
SKHL.US,D,20260717,000000,8.91,10.62,8.17,9.11,2182627,0
SKHL.US,D,20260720,000000,10.14,10.14,8.58,8.76,1651307,0
SKHL.US,D,20260721,000000,9.99,11.28,9.84,11.12,1448587,0
SKHL.US,D,20260722,000000,9.92,10.83,9.89,10.29,967080,0
SKHL.US,D,20260723,000000,10.97,11.8367,10.5,10.8,1312086,0
SKHL.US,D,20260724,000000,10.08,10.08,8.7,8.87,1860828,0
SKHL.US,D,20260727,000000,9.47,9.47,7.1,7.53,5335932,0
SKHL.US,D,20260728,000000,6.8,6.84,5.99,6.18,3029109,0
SKHL.US,D,20260729,000000,6.18,6.825,5.67,5.84,12272176,0
SKHL.US,D,20260730,000000,6.76,8.015,6.59,7.88,4754380,0
SKHL.US,D,20260731,000000,9.04,9.33,7.315,7.33,7802527,0
SKHL.US,D,20260803,000000,6.93,7.36,6.39,7.2,3936895,0
SKHL.US,D,20260804,000000,7.95,8.5,7.63,8.39,2432773,0
SKHL.US,D,20260805,000000,7.92,8.55,7.9,7.99,3998475,0
SKHL.US,D,20260806,000000,6.75,7.61,6.605,7.22,2508186,0
SKHL.US,D,20260807,000000,7.2,7.21,6.25,6.65,3275191,0
SKHL.US,D,20260810,000000,6.355,6.74,6.3,6.4,1891254,0
SKHL.US,D,20260811,000000,6.74,6.99,6.58,6.98,1158114,0
SKHL.US,D,20260812,000000,7.88,8.3,7.54,8.22,2825121,0
SKHL.US,D,20260813,000000,8.18,9.72,8.12,9.44,2291676,0
SKHL.US,D,20260814,000000,9.84,10.08,9.2,9.49,2053421,0
SKHL.US,D,20260817,000000,10.22,10.8598,9.8601,10.07,2345719,0
SKHL.US,D,20260818,000000,8.92,9.16,8.0906,8.22,2057203,0
SKHL.US,D,20260819,000000,8.95,9.06,8.2,8.35,2761646,0
SKHL.US,D,20260820,000000,8.84,9.33,8.68,8.97,1889995,0
SKHL.US,D,20260821,000000,9.41,9.445,8.92,8.99,1286424,0
SKHL.US,D,20260824,000000,8.29,8.34,7.7,8.13,1377648,0
