<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKHU.US,D,20260714,000000,24.23,31.03,23.5,30.83,1675084,0
SKHU.US,D,20260715,000000,27.14,28.9,22.14,25.33,2694354,0
SKHU.US,D,20260716,000000,22.185,22.85,18.02,18.42,3764875,0
SKHU.US,D,20260717,000000,18.26,21.84,16.63,18.64,4364578,0
SKHU.US,D,20260720,000000,20.94,20.94,17.59,17.93,2360853,0
SKHU.US,D,20260721,000000,20.5,23.12,20.19,22.87,2531915,0
SKHU.US,D,20260722,000000,20.3,22.25,20.24,21.16,1247473,0
SKHU.US,D,20260723,000000,22.48,24.19,21.5,22.15,2379157,0
SKHU.US,D,20260724,000000,20.5,20.59,17.59,17.59,1690773,0
SKHU.US,D,20260727,000000,19.37,19.37,14.5,15.42,2245867,0
SKHU.US,D,20260728,000000,13.88,14.01,12.2551,12.55,3530474,0
SKHU.US,D,20260729,000000,12.52,14,11.6,11.93,7540056,0
SKHU.US,D,20260730,000000,13.87,16.4099,13.44,16.13,3042939,0
SKHU.US,D,20260731,000000,18.54,19.03,14.9303,14.98,3546310,0
SKHU.US,D,20260803,000000,14.15,15.0745,13.12,14.71,1174022,0
SKHU.US,D,20260804,000000,16.32,17.3425,15.6,17.13,1300243,0
SKHU.US,D,20260805,000000,16.32,17.47,16.13,16.4,721795,0
SKHU.US,D,20260806,000000,13.73,15.559,13.5,14.75,2152135,0
SKHU.US,D,20260807,000000,14.76,14.76,12.73,13.54,1842891,0
SKHU.US,D,20260810,000000,13.01,13.785,12.85,13.01,1186059,0
SKHU.US,D,20260811,000000,13.775,14.29,13.42,14.23,460193,0
SKHU.US,D,20260812,000000,16.08,16.9699,15.38,16.77,859263,0
SKHU.US,D,20260813,000000,16.69,19.81,16.63,19.21,832884,0
SKHU.US,D,20260814,000000,20.08,20.58,18.8,19.36,766039,0
SKHU.US,D,20260817,000000,20.79,22.15,20.12,20.55,929382,0
SKHU.US,D,20260818,000000,18.33,18.695,16.5,16.76,816556,0
SKHU.US,D,20260819,000000,18.265,18.51,16.71,16.88,1298680,0
SKHU.US,D,20260820,000000,18.12,19,17.715,18.33,773672,0
SKHU.US,D,20260821,000000,19.2,19.25,18.1701,18.37,490514,0
SKHU.US,D,20260824,000000,16.87,17,15.66,16.55,498058,0
