<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBFG.US,D,20250415,000000,25.51,25.5167,25.5045,25.5045,300,0
TBFG.US,D,20250520,000000,27.06,27.0805,27.06,27.0805,133,0
TBFG.US,D,20250611,000000,27.5,27.5,27.4961,27.4961,273075,0
TBFG.US,D,20250620,000000,27.25,27.2664,27.25,27.2664,260,0
TBFG.US,D,20250714,000000,28.02,28.02,28.02,28.02,82750,0
TBFG.US,D,20250721,000000,28.25,28.25,28.2167,28.2167,114690,0
TBFG.US,D,20250801,000000,27.85,27.9006,27.84,27.9006,403690,0
TBFG.US,D,20250806,000000,28.2401,28.28,28.2401,28.276,803,0
TBFG.US,D,20250808,000000,28.43,28.44,28.4097,28.4097,406630,0
TBFG.US,D,20250811,000000,28.38,28.39,28.3342,28.3342,986,0
TBFG.US,D,20250812,000000,28.53,28.5999,28.53,28.5999,102,0
TBFG.US,D,20250815,000000,28.66,28.66,28.6368,28.6368,402429,0
TBFG.US,D,20250818,000000,28.65,28.6586,28.65,28.6586,489,0
TBFG.US,D,20250819,000000,28.59,28.59,28.5427,28.5427,101,0
TBFG.US,D,20250820,000000,28.46,28.55,28.46,28.5382,2701,0
TBFG.US,D,20250821,000000,28.44,28.46,28.42,28.4427,2601,0
TBFG.US,D,20250903,000000,28.63,28.68,28.63,28.68,4200,0
TBFG.US,D,20250904,000000,28.72,28.82,28.72,28.82,400,0
TBFG.US,D,20250905,000000,28.89,28.89,28.889,28.889,900,0
TBFG.US,D,20250908,000000,29.01,29.0378,29.01,29.0378,214,0
TBFG.US,D,20250909,000000,29.07,29.07,29.0602,29.0602,203,0
TBFG.US,D,20251023,000000,29.91,29.92,29.9095,29.9095,26756,0
TBFG.US,D,20251028,000000,30.19,30.2031,30.19,30.2031,70406,0
TBFG.US,D,20251030,000000,30,30,29.9784,29.9784,20114,0
TBFG.US,D,20251106,000000,29.78,29.79,29.7357,29.7357,100923,0
TBFG.US,D,20251107,000000,29.56,29.7534,29.56,29.7534,216,0
TBFG.US,D,20251110,000000,30.07,30.0822,30.0699,30.0822,204,0
TBFG.US,D,20251113,000000,29.86,29.91,29.86,29.91,704,0
TBFG.US,D,20251114,000000,29.86,29.86,29.8521,29.8521,326294,0
TBFG.US,D,20251117,000000,29.738,29.738,29.5999,29.6101,552,0
TBFG.US,D,20251118,000000,29.3802,29.4922,29.3802,29.4922,112,0
TBFG.US,D,20251119,000000,29.46,29.4828,29.4,29.4828,2776,0
TBFG.US,D,20251201,000000,30.03,30.04,30.0021,30.0021,339,0
TBFG.US,D,20251203,000000,30.14,30.17,30.14,30.156,96795,0
TBFG.US,D,20251204,000000,30.15,30.16,30.1434,30.1434,415,0
TBFG.US,D,20251208,000000,30.12,30.12,30.1113,30.1113,114,0
TBFG.US,D,20251209,000000,30.15,30.15,30.0999,30.0999,205,0
TBFG.US,D,20251210,000000,30.1498,30.3162,30.1498,30.3162,337,0
TBFG.US,D,20251215,000000,30.16,30.1668,30.16,30.1668,981,0
TBFG.US,D,20251229,000000,30.48,30.4971,30.48,30.4971,2566,0
TBFG.US,D,20251230,000000,30.54,30.54,30.5218,30.5218,109,0
TBFG.US,D,20260108,000000,30.37,30.3899,30.37,30.3899,927,0
TBFG.US,D,20260109,000000,30.478,30.59,30.478,30.5573,547870,0
TBFG.US,D,20260112,000000,30.7,30.7034,30.7,30.7034,917,0
TBFG.US,D,20260113,000000,30.6977,30.6977,30.6,30.6203,1420,0
TBFG.US,D,20260114,000000,30.51,30.6116,30.51,30.6116,145,0
TBFG.US,D,20260115,000000,30.76,30.76,30.6735,30.6735,910,0
TBFG.US,D,20260120,000000,30.41,30.41,30.3158,30.3158,1118,0
TBFG.US,D,20260121,000000,30.41,30.6352,30.41,30.6352,2118,0
TBFG.US,D,20260122,000000,30.82,30.83,30.79,30.79,2004,0
TBFG.US,D,20260129,000000,31.14,31.2757,31.14,31.2757,661,0
TBFG.US,D,20260130,000000,30.95,30.95,30.9014,30.9014,109,0
TBFG.US,D,20260204,000000,30.79,30.89,30.79,30.8433,34123,0
TBFG.US,D,20260209,000000,31.175,31.3209,31.175,31.3209,243,0
TBFG.US,D,20260212,000000,31.17,31.18,31.1012,31.1012,9353,0
TBFG.US,D,20260217,000000,31.17,31.17,31.1624,31.1624,1019,0
TBFG.US,D,20260219,000000,31.23,31.2302,31.23,31.2302,9308,0
TBFG.US,D,20260223,000000,31.34,31.35,31.2966,31.2966,16426,0
TBFG.US,D,20260224,000000,31.51,31.51,31.4937,31.4937,900,0
TBFG.US,D,20260304,000000,31.03,31.07,31.03,31.0312,1201,0
TBFG.US,D,20260305,000000,30.66,30.6804,30.52,30.6804,1819,0
TBFG.US,D,20260311,000000,30.54,30.56,30.51,30.56,1801,0
TBFG.US,D,20260312,000000,30.3,30.3,30.1372,30.1372,11152,0
TBFG.US,D,20260313,000000,30.09,30.09,29.9675,29.9675,944,0
TBFG.US,D,20260316,000000,30.29,30.2973,30.25,30.2973,1878,0
TBFG.US,D,20260320,000000,29.62,29.62,29.427,29.427,107,0
TBFG.US,D,20260326,000000,29.46,29.46,29.46,29.46,507,0
TBFG.US,D,20260327,000000,29.46,29.46,29.21,29.2381,10438,0
TBFG.US,D,20260330,000000,29.12,29.2099,29.12,29.1878,65109,0
TBFG.US,D,20260402,000000,30.01,30.0445,30.01,30.0445,1663,0
TBFG.US,D,20260406,000000,30.1301,30.1627,30.1301,30.1627,18427,0
TBFG.US,D,20260407,000000,29.99,30.1952,29.99,30.1952,1284,0
TBFG.US,D,20260408,000000,30.8301,30.8591,30.8301,30.8591,239,0
TBFG.US,D,20260409,000000,30.88,30.9324,30.88,30.9324,10288,0
TBFG.US,D,20260410,000000,30.89,30.9094,30.88,30.9094,1900,0
TBFG.US,D,20260413,000000,30.98,31.1111,30.98,31.1111,1936,0
TBFG.US,D,20260415,000000,31.22,31.3049,31.22,31.3049,1825,0
TBFG.US,D,20260416,000000,31.29,31.3564,31.29,31.3564,1030,0
TBFG.US,D,20260417,000000,31.69,31.69,31.61,31.6435,1988,0
TBFG.US,D,20260420,000000,31.57,31.58,31.55,31.5621,19816,0
TBFG.US,D,20260421,000000,31.38,31.39,31.3078,31.3078,33412,0
TBFG.US,D,20260501,000000,31.77,31.77,31.73,31.7432,32227,0
TBFG.US,D,20260504,000000,31.58,31.58,31.54,31.56,31770,0
TBFG.US,D,20260506,000000,32.16,32.2549,32.16,32.2549,203,0
TBFG.US,D,20260507,000000,32.08,32.08,32.01,32.0259,2179,0
TBFG.US,D,20260508,000000,32.3,32.3366,32.3,32.3366,144,0
TBFG.US,D,20260512,000000,32.11,32.16,32.11,32.16,14850,0
TBFG.US,D,20260514,000000,32.51,32.51,32.4992,32.4992,9698,0
TBFG.US,D,20260515,000000,32.09,32.17,32.0767,32.0767,8579,0
TBFG.US,D,20260518,000000,32.04,32.1116,32.04,32.1116,336,0
TBFG.US,D,20260519,000000,32.03,32.03,31.9211,31.9211,223,0
TBFG.US,D,20260520,000000,32.2,32.2517,32.2,32.2517,147,0
TBFG.US,D,20260521,000000,32.29,32.3501,32.29,32.3501,1254,0
TBFG.US,D,20260522,000000,32.44,32.45,32.42,32.4326,145187,0
TBFG.US,D,20260526,000000,32.76,32.79,32.68,32.7854,2844,0
TBFG.US,D,20260529,000000,32.87,32.87,32.8477,32.8477,372,0
TBFG.US,D,20260602,000000,33.03,33.07,33.005,33.0648,1282,0
TBFG.US,D,20260603,000000,32.95,32.95,32.9457,32.9457,906,0
TBFG.US,D,20260608,000000,32.2899,32.29,32.25,32.2799,1703,0
TBFG.US,D,20260610,000000,32.03,32.03,31.8758,31.8758,307,0
TBFG.US,D,20260611,000000,32.1,32.528,32.1,32.528,42186,0
TBFG.US,D,20260612,000000,32.71,32.71,32.6546,32.6546,1757,0
TBFG.US,D,20260617,000000,32.98,32.98,32.638,32.638,228,0
TBFG.US,D,20260622,000000,32.94,32.98,32.94,32.9584,1590,0
TBFG.US,D,20260625,000000,32.45,32.45,32.4369,32.4369,145,0
TBFG.US,D,20260629,000000,32.23,32.5753,32.23,32.5753,3858,0
TBFG.US,D,20260630,000000,32.8026,32.8026,32.8026,32.8026,11,0
TBFG.US,D,20260701,000000,32.5583,32.5583,32.5583,32.5583,15,0
TBFG.US,D,20260706,000000,32.78,32.78,32.7455,32.7455,3622,0
TBFG.US,D,20260708,000000,32.27,32.3294,32.27,32.3294,246,0
TBFG.US,D,20260714,000000,32.58,32.58,32.5248,32.5248,310,0
TBFG.US,D,20260720,000000,32.12,32.12,32.0869,32.0869,963,0
TBFG.US,D,20260724,000000,32.22,32.24,32.2,32.2033,25543,0
TBFG.US,D,20260731,000000,32.37,32.38,32.339,32.339,1311,0
TBFG.US,D,20260803,000000,32.45,32.57,32.45,32.5587,729,0
TBFG.US,D,20260805,000000,33.06,33.06,32.999,32.999,8851,0
TBFG.US,D,20260807,000000,33.09,33.1013,33.075,33.1013,1379,0
TBFG.US,D,20260810,000000,33.08,33.08,33.0244,33.0244,123,0
TBFG.US,D,20260814,000000,33.37,33.37,33.3692,33.3692,2342,0
TBFG.US,D,20260819,000000,33.12,33.12,33.0954,33.0954,209,0
TBFG.US,D,20260821,000000,33.15,33.16,33.14,33.14,1639,0
TBFG.US,D,20260824,000000,33.14,33.14,33.0308,33.0308,215,0
