<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UN.US,D,20260709,000000,26.84,26.84,26.42,26.5104,3106,0
UN.US,D,20260710,000000,25.93,26.135,25.8161,25.8161,335,0
UN.US,D,20260713,000000,26.41,27.11,26.2545,26.2545,615,0
UN.US,D,20260714,000000,26.01,26.6,25.74,25.7845,2599,0
UN.US,D,20260715,000000,25.39,25.39,24.8372,24.8372,238,0
UN.US,D,20260716,000000,26.915,26.915,25.3661,25.3661,509,0
UN.US,D,20260717,000000,26.845,26.93,26.225,26.225,3956,0
UN.US,D,20260720,000000,25.25,25.78,25.25,25.2741,282,0
UN.US,D,20260721,000000,26.522,27.0126,26.33,27.0126,4092,0
UN.US,D,20260812,000000,23.14,23.1494,23.14,23.1494,133,0
