<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSMD.US,D,20260729,000000,24.9,25.04,24.6669,24.6669,111776,0
WSMD.US,D,20260730,000000,24.73,24.828,24.5499,24.828,8483,0
WSMD.US,D,20260731,000000,24.77,24.85,24.77,24.8079,4240,0
WSMD.US,D,20260803,000000,25.0883,25.16,25.06,25.146,13377,0
WSMD.US,D,20260804,000000,25.429,25.63,25.3499,25.63,12368,0
WSMD.US,D,20260805,000000,25.78,25.85,25.61,25.64,10844,0
WSMD.US,D,20260806,000000,25.4949,25.59,25.33,25.35,12645,0
WSMD.US,D,20260807,000000,25.79,25.89,25.74,25.89,7251,0
WSMD.US,D,20260810,000000,25.85,25.85,25.6485,25.6485,8358,0
WSMD.US,D,20260812,000000,25.65,25.7075,25.59,25.7075,40832,0
WSMD.US,D,20260813,000000,25.9,25.9237,25.8089,25.9237,2411,0
WSMD.US,D,20260814,000000,25.945,25.9624,25.93,25.9624,1462,0
WSMD.US,D,20260817,000000,25.93,25.93,25.8754,25.8754,1017,0
WSMD.US,D,20260818,000000,25.58,25.58,25.4349,25.4349,7747,0
WSMD.US,D,20260819,000000,25.51,25.51,25.4092,25.4092,39051,0
WSMD.US,D,20260820,000000,25.23,25.3,25.1231,25.1231,710,0
WSMD.US,D,20260821,000000,25.2091,25.3304,25.2,25.3304,1212,0
WSMD.US,D,20260824,000000,25.19,25.19,25.14,25.1496,10662,0
