<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACYN.US,D,20260225,000000,20.12,20.49,20.075,20.145,59130,0
ACYN.US,D,20260226,000000,20.08,20.39,20.08,20.175,89752,0
ACYN.US,D,20260227,000000,20.0899,20.735,20.015,20.1,86413,0
ACYN.US,D,20260302,000000,21.87,21.87,19.88,20.215,42279,0
ACYN.US,D,20260303,000000,20,20.25,19.9,20.191,53259,0
ACYN.US,D,20260304,000000,20.17,20.44,20.17,20.255,70500,0
ACYN.US,D,20260305,000000,20.265,20.34,20.225,20.2799,27173,0
ACYN.US,D,20260306,000000,20.15,20.325,20.145,20.29,59031,0
ACYN.US,D,20260309,000000,20.03,20.75,20.0258,20.2,103903,0
ACYN.US,D,20260310,000000,20.268,20.31,20.155,20.2403,138526,0
ACYN.US,D,20260311,000000,21.03,21.1119,20.08,20.35,388333,0
ACYN.US,D,20260312,000000,20.215,20.37,20.06,20.2003,178816,0
ACYN.US,D,20260313,000000,20.3,20.37,20.145,20.2343,115809,0
ACYN.US,D,20260316,000000,20.38,20.44,20.28,20.335,128455,0
ACYN.US,D,20260317,000000,20.4,20.4699,20.35,20.425,312600,0
ACYN.US,D,20260318,000000,20.3,20.4799,20.2606,20.3,817450,0
ACYN.US,D,20260319,000000,20.36,20.36,20.23,20.35,149605,0
ACYN.US,D,20260320,000000,20.28,20.42,20.05,20.11,244000,0
ACYN.US,D,20260323,000000,20.26,20.32,20.115,20.26,237917,0
ACYN.US,D,20260324,000000,20.31,20.42,20.23,20.2888,321809,0
ACYN.US,D,20260325,000000,20.33,20.3999,20.29,20.32,169858,0
ACYN.US,D,20260326,000000,20.46,20.46,20.2,20.2,315176,0
ACYN.US,D,20260327,000000,20.35,20.35,20.05,20.12,593720,0
ACYN.US,D,20260330,000000,20.36,20.36,20,20.04,564496,0
ACYN.US,D,20260331,000000,20.55,20.55,20.06,20.38,1131980,0
ACYN.US,D,20260401,000000,20.54,20.54,20.29,20.37,951756,0
ACYN.US,D,20260402,000000,20.489,20.57,20.35,20.57,303351,0
ACYN.US,D,20260406,000000,20.5,20.535,20.42,20.43,398176,0
ACYN.US,D,20260407,000000,20.4,20.6199,20.39,20.5,702186,0
ACYN.US,D,20260408,000000,20.77,20.77,20.62,20.69,370482,0
ACYN.US,D,20260409,000000,20.79,20.8099,20.62,20.715,451308,0
ACYN.US,D,20260410,000000,20.87,20.87,20.7,20.711,286307,0
ACYN.US,D,20260413,000000,20.88,20.88,20.7,20.78,220903,0
ACYN.US,D,20260414,000000,20.94,20.94,20.63,20.66,831669,0
ACYN.US,D,20260415,000000,20.76,20.91,20.67,20.73,560070,0
ACYN.US,D,20260416,000000,20.81,20.8199,20.67,20.716,669512,0
ACYN.US,D,20260417,000000,20.83,20.83,20.68,20.775,711359,0
ACYN.US,D,20260420,000000,20.81,20.8399,20.71,20.74,490752,0
ACYN.US,D,20260421,000000,20.79,20.85,20.695,20.73,579842,0
ACYN.US,D,20260422,000000,20.79,20.8399,20.73,20.777,1155091,0
ACYN.US,D,20260423,000000,20.74,20.85,20.66,20.82,1439870,0
ACYN.US,D,20260424,000000,20.8,20.869,20.69,20.757,1131081,0
ACYN.US,D,20260427,000000,20.8,20.89,20.75,20.75,688414,0
ACYN.US,D,20260428,000000,20.77,20.9199,20.75,20.75,679986,0
ACYN.US,D,20260429,000000,20.78,20.9199,20.78,20.8,545440,0
ACYN.US,D,20260430,000000,20.85,20.92,20.74,20.83,1146069,0
ACYN.US,D,20260501,000000,20.75,20.9454,20.65,20.66,1073754,0
ACYN.US,D,20260504,000000,20.75,20.78,20.62,20.78,1112986,0
ACYN.US,D,20260505,000000,20.69,20.76,20.65,20.76,882578,0
ACYN.US,D,20260506,000000,20.69,20.79,20.65,20.79,797261,0
ACYN.US,D,20260507,000000,20.7,20.82,20.62,20.82,652279,0
ACYN.US,D,20260508,000000,20.7,20.82,20.7,20.77,607853,0
ACYN.US,D,20260511,000000,20.77,20.83,20.715,20.76,821520,0
ACYN.US,D,20260512,000000,20.77,20.84,20.67,20.78,1154165,0
ACYN.US,D,20260513,000000,20.79,20.8395,20.7,20.77,1776881,0
ACYN.US,D,20260514,000000,20.74,20.85,20.71,20.76,1349643,0
ACYN.US,D,20260515,000000,20.76,20.8699,20.685,20.72,796581,0
ACYN.US,D,20260518,000000,20.74,20.8499,20.7,20.82,1267254,0
ACYN.US,D,20260519,000000,20.75,20.85,20.6801,20.85,1487077,0
ACYN.US,D,20260520,000000,20.79,20.8599,20.74,20.81,1339687,0
ACYN.US,D,20260521,000000,20.84,20.8799,20.7,20.78,2233754,0
ACYN.US,D,20260522,000000,20.84,20.92,20.77,20.92,1320960,0
ACYN.US,D,20260526,000000,20.9,20.9181,20.8,20.87,1709901,0
ACYN.US,D,20260527,000000,20.9,21,20.81,20.87,1416999,0
ACYN.US,D,20260528,000000,20.86,20.9,20.81,20.89,1378827,0
ACYN.US,D,20260529,000000,20.89,20.9699,20.83,20.91,1662072,0
ACYN.US,D,20260601,000000,20.73,20.8125,20.66,20.67,1611842,0
ACYN.US,D,20260602,000000,20.64,20.764,20.6201,20.7,1974226,0
ACYN.US,D,20260603,000000,20.69,20.73,20.63,20.67,2067568,0
ACYN.US,D,20260604,000000,20.67,20.75,20.63,20.75,1251866,0
ACYN.US,D,20260605,000000,20.7,20.71,20.54,20.61,965838,0
ACYN.US,D,20260608,000000,20.65,20.65,20.545,20.6,1398898,0
ACYN.US,D,20260609,000000,20.67,20.68,20.525,20.61,1586376,0
ACYN.US,D,20260610,000000,20.64,20.99,20.5235,20.55,1531291,0
ACYN.US,D,20260611,000000,20.63,20.67,20.5,20.66,1114010,0
ACYN.US,D,20260612,000000,20.68,20.77,20.47,20.65,1455905,0
ACYN.US,D,20260615,000000,20.7,20.75,20.67,20.71,1157624,0
ACYN.US,D,20260616,000000,20.76,20.77,20.68,20.68,1198252,0
ACYN.US,D,20260617,000000,20.76,20.7687,20.63,20.67,1333622,0
ACYN.US,D,20260618,000000,20.75,20.75,20.63,20.74,1842172,0
ACYN.US,D,20260622,000000,20.75,20.7781,20.685,20.71,1363571,0
ACYN.US,D,20260623,000000,20.73,20.7899,20.63,20.64,1599977,0
ACYN.US,D,20260624,000000,20.68,20.68,20.59,20.61,1815073,0
ACYN.US,D,20260625,000000,20.65,20.66,20.57,20.65,1508673,0
ACYN.US,D,20260626,000000,20.65,20.69,20.63,20.67,3299879,0
ACYN.US,D,20260629,000000,20.74,20.74,20.6,20.71,1318617,0
ACYN.US,D,20260630,000000,20.73,20.83,20.68,20.79,2282657,0
ACYN.US,D,20260701,000000,20.66,20.72,20.57,20.57,2820496,0
ACYN.US,D,20260702,000000,20.63,20.64,20.53,20.55,2148804,0
ACYN.US,D,20260706,000000,20.64,20.64,20.55,20.61,1653809,0
ACYN.US,D,20260707,000000,20.62,20.62,20.55,20.58,1822883,0
ACYN.US,D,20260708,000000,20.58,20.5999,20.53,20.59,1375026,0
ACYN.US,D,20260709,000000,20.62,20.65,20.605,20.65,1745851,0
ACYN.US,D,20260710,000000,20.67,20.67,20.61,20.64,1561656,0
ACYN.US,D,20260713,000000,20.65,20.67,20.61,20.62,1438745,0
ACYN.US,D,20260714,000000,20.53,20.6899,20.53,20.66,2068138,0
ACYN.US,D,20260715,000000,20.7,20.7,20.62,20.66,1555846,0
ACYN.US,D,20260716,000000,20.68,20.69,20.63,20.67,1910642,0
ACYN.US,D,20260717,000000,20.62,20.63,20.56,20.62,3364488,0
ACYN.US,D,20260720,000000,20.65,20.6599,20.58,20.59,1576579,0
ACYN.US,D,20260721,000000,20.65,20.69,20.63,20.67,1316217,0
ACYN.US,D,20260722,000000,20.67,20.67,20.585,20.63,1385675,0
ACYN.US,D,20260723,000000,20.58,20.6,20.54,20.58,1518304,0
ACYN.US,D,20260724,000000,20.61,20.61,20.5215,20.54,2046985,0
