<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APRB.US,D,20251015,000000,24.97,24.97,24.97,24.97,22,0
APRB.US,D,20251016,000000,24.96,24.96,24.87,24.9176,7800,0
APRB.US,D,20251020,000000,25.1374,25.16,25.1,25.1371,24332,0
APRB.US,D,20251021,000000,25.11,25.1541,25.11,25.1541,287,0
APRB.US,D,20251023,000000,25.13,25.165,25.13,25.165,110,0
APRB.US,D,20251024,000000,25.25,25.28,25.2472,25.2472,26226,0
APRB.US,D,20251028,000000,25.3427,25.4,25.3427,25.37,38164,0
APRB.US,D,20251029,000000,25.38,25.42,25.33,25.34,53739,0
APRB.US,D,20251030,000000,25.33,25.38,25.2803,25.2803,245843,0
APRB.US,D,20251031,000000,25.34,25.34,25.27,25.3077,7649,0
APRB.US,D,20251103,000000,25.33,25.45,25.2975,25.3197,83144,0
APRB.US,D,20251104,000000,25.28,25.3,25.22,25.2287,20707,0
APRB.US,D,20251105,000000,25.22,25.304,25.22,25.283,1989,0
APRB.US,D,20251106,000000,25.24,25.24,25.1662,25.1662,6207,0
APRB.US,D,20251107,000000,25.0567,25.2,25.0567,25.1624,3402,0
APRB.US,D,20251110,000000,25.27,25.3334,25.27,25.3334,1535,0
APRB.US,D,20251111,000000,25.28,25.345,25.28,25.345,4436,0
APRB.US,D,20251112,000000,25.34,25.37,25.32,25.35,10349,0
APRB.US,D,20251113,000000,25.29,25.33,25.165,25.1793,23584,0
APRB.US,D,20251114,000000,25.16,25.26,25.16,25.192,10319,0
APRB.US,D,20251117,000000,25.1,25.1,25.08,25.0884,879,0
APRB.US,D,20251118,000000,24.965,25.058,24.94,25.0193,3124,0
APRB.US,D,20251119,000000,25.05,25.0574,25.04,25.0574,2290,0
APRB.US,D,20251120,000000,25.03,25.04,24.8919,24.8919,5266,0
APRB.US,D,20251121,000000,24.97,25.08,24.85,24.9982,20512,0
APRB.US,D,20251124,000000,25.12,25.21,25.12,25.21,12071,0
APRB.US,D,20251125,000000,25.19,25.3,25.19,25.2896,6994,0
APRB.US,D,20251126,000000,25.37,25.41,25.36,25.3715,13466,0
APRB.US,D,20251201,000000,25.5,25.5,25.3777,25.3777,14107,0
APRB.US,D,20251202,000000,25.44,25.45,25.38,25.4171,6204,0
APRB.US,D,20251203,000000,25.44,25.5,25.42,25.455,20729,0
APRB.US,D,20251204,000000,25.49,25.49,25.44,25.4677,3931,0
APRB.US,D,20251205,000000,25.49,25.4974,25.49,25.4974,102,0
APRB.US,D,20251208,000000,25.5,25.5,25.44,25.4734,4695,0
APRB.US,D,20251209,000000,25.5,25.5,25.46,25.468,508,0
