<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVAZ.US,D,20260518,000000,16.109,16.2657,16.109,16.2657,100,0
AVAZ.US,D,20260520,000000,16.26,16.7426,16.26,16.7426,373,0
AVAZ.US,D,20260527,000000,16.19,16.4,16.19,16.2181,537,0
AVAZ.US,D,20260528,000000,15.95,15.96,14.76,15.2576,10930,0
AVAZ.US,D,20260529,000000,15.1,15.22,14.48,14.9249,4968,0
AVAZ.US,D,20260601,000000,15.2207,15.375,15.2207,15.375,145,0
AVAZ.US,D,20260602,000000,14.38,14.38,13.221,13.221,537,0
AVAZ.US,D,20260605,000000,9.39,9.39,8.3507,8.3507,1445,0
AVAZ.US,D,20260608,000000,8.64,8.66,8.6035,8.6035,855,0
AVAZ.US,D,20260609,000000,8.16,8.2277,8.16,8.2277,475,0
AVAZ.US,D,20260611,000000,8.04,8.2202,7.945,8.2202,362,0
AVAZ.US,D,20260612,000000,7.99,8.0007,7.97,7.98,1190,0
AVAZ.US,D,20260615,000000,8.98,9.18,8.7627,8.7627,1063,0
AVAZ.US,D,20260617,000000,8.58,8.58,8.3114,8.3114,175,0
AVAZ.US,D,20260618,000000,8.05,8.05,7.05,7.367,692,0
AVAZ.US,D,20260622,000000,7.38,7.38,7.1421,7.1421,1262,0
AVAZ.US,D,20260623,000000,7.34,7.52,7.2842,7.2842,465,0
AVAZ.US,D,20260624,000000,6.55,6.859,6.55,6.8266,215,0
AVAZ.US,D,20260625,000000,6.88,7.05,6.7016,6.7016,601,0
AVAZ.US,D,20260626,000000,6.911,7.47,6.911,7.4167,1001,0
AVAZ.US,D,20260629,000000,7.78,8.1634,7.78,8.1634,1959,0
AVAZ.US,D,20260630,000000,7.4713,7.781,7.4713,7.781,115,0
AVAZ.US,D,20260701,000000,7.84,8.2299,7.84,8.0738,1195,0
AVAZ.US,D,20260702,000000,8.44,8.44,8.15,8.1924,703,0
AVAZ.US,D,20260706,000000,8.65,8.738,8.6256,8.738,2152,0
AVAZ.US,D,20260709,000000,8.2,8.2,8.16,8.16,181,0
AVAZ.US,D,20260713,000000,7.76,7.9699,7.44,7.525,3203,0
AVAZ.US,D,20260714,000000,8.0784,8.0784,7.94,8.0083,313,0
AVAZ.US,D,20260715,000000,8.18,8.18,8.0687,8.0687,268,0
AVAZ.US,D,20260716,000000,7.845,7.89,7.8398,7.8398,362,0
AVAZ.US,D,20260717,000000,7.41,7.775,7.41,7.775,760,0
AVAZ.US,D,20260720,000000,7.685,7.83,7.501,7.7651,866,0
AVAZ.US,D,20260721,000000,7.89,7.999,7.875,7.875,628,0
AVAZ.US,D,20260722,000000,7.71,7.825,7.71,7.825,164,0
AVAZ.US,D,20260724,000000,6.89,6.9794,6.89,6.9794,424,0
AVAZ.US,D,20260727,000000,7.85,7.885,7.54,7.7617,6773,0
AVAZ.US,D,20260728,000000,7.35,7.7581,7.35,7.7581,653,0
AVAZ.US,D,20260729,000000,7.3,7.3683,7.1997,7.1997,763,0
AVAZ.US,D,20260730,000000,7.32,7.3616,7.32,7.3616,696,0
AVAZ.US,D,20260731,000000,7.29,7.38,7.2693,7.2693,1249,0
AVAZ.US,D,20260803,000000,7.59,7.602,7.59,7.602,218,0
AVAZ.US,D,20260804,000000,7.96,8,7.91,7.9683,9379,0
AVAZ.US,D,20260807,000000,7.28,7.42,7.28,7.2951,1596,0
AVAZ.US,D,20260810,000000,7.41,7.56,7.315,7.315,1409,0
AVAZ.US,D,20260811,000000,6.84,6.9165,6.84,6.9165,1067,0
AVAZ.US,D,20260812,000000,7.13,7.14,7.1,7.1,909,0
AVAZ.US,D,20260817,000000,6.995,7.0888,6.95,7.065,2339,0
AVAZ.US,D,20260818,000000,7.04,7.11,7.04,7.0582,704,0
AVAZ.US,D,20260819,000000,7.04,7.6111,7.04,7.5687,3604,0
AVAZ.US,D,20260820,000000,8.44,9.18,8.19,8.8767,6659,0
AVAZ.US,D,20260821,000000,9.97,10.22,9.74,9.86,11636,0
AVAZ.US,D,20260824,000000,9.95,10.05,9.671,9.8126,2382,0
