<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXTL.US,D,20260622,000000,9.935,10.5,8.43,9.8362,74369,0
AXTL.US,D,20260623,000000,7.95,8.8,6.44,6.78,98321,0
AXTL.US,D,20260624,000000,6.7,6.7,4.9,5.36,131464,0
AXTL.US,D,20260625,000000,6.04,6.04,4.51,5.2152,100352,0
AXTL.US,D,20260626,000000,4.77,5.43,4.67,5.3632,72022,0
AXTL.US,D,20260629,000000,5.1,5.6,4.5079,5.5367,50216,0
AXTL.US,D,20260630,000000,5.63,5.77,5.2982,5.6842,36589,0
AXTL.US,D,20260701,000000,4.85,5.06,4.3697,4.5364,60447,0
AXTL.US,D,20260702,000000,4.36,4.76,2.9492,3.35,59211,0
AXTL.US,D,20260706,000000,3.99,4.76,3.915,4.185,202022,0
AXTL.US,D,20260707,000000,3.61,4.53,3.4599,3.4599,65712,0
AXTL.US,D,20260708,000000,3.54,4.18,3.4101,3.6842,130106,0
AXTL.US,D,20260709,000000,4.35,4.46,3.88,3.9915,197236,0
AXTL.US,D,20260710,000000,3.7,3.79,2.9212,3.3,198213,0
AXTL.US,D,20260713,000000,3.0383,3.0383,2.26,2.52,687595,0
AXTL.US,D,20260714,000000,3.02,3.33,2.76,3.24,477931,0
AXTL.US,D,20260715,000000,3.07,3.27,2.51,2.75,295829,0
AXTL.US,D,20260716,000000,2.5,2.5,1.9001,1.96,291490,0
AXTL.US,D,20260717,000000,1.75,2.17,1.65,1.9887,221163,0
AXTL.US,D,20260720,000000,2.11,2.4,2.11,2.22,308718,0
AXTL.US,D,20260721,000000,2.59,2.92,2.4577,2.92,290162,0
AXTL.US,D,20260722,000000,2.73,2.92,2.5398,2.56,142292,0
AXTL.US,D,20260723,000000,2.41,2.99,2.41,2.54,142500,0
AXTL.US,D,20260724,000000,2.365,2.365,1.905,2,68289,0
AXTL.US,D,20260727,000000,2.15,2.2018,1.77,2.05,122823,0
AXTL.US,D,20260728,000000,1.59,1.69,1.3678,1.6052,237975,0
AXTL.US,D,20260729,000000,1.66,1.66,1.165,1.18,308269,0
AXTL.US,D,20260730,000000,1.45,1.92,1.45,1.805,850394,0
AXTL.US,D,20260731,000000,3.31,3.48,2.48,2.83,1935923,0
AXTL.US,D,20260803,000000,2.48,3.83,2.215,3.6,1000990,0
AXTL.US,D,20260804,000000,3.23,3.58,2.71,3.25,1351851,0
AXTL.US,D,20260805,000000,3.09,4.38,3.09,3.57,929335,0
AXTL.US,D,20260806,000000,3.66,4.47,3.462,4.23,817790,0
AXTL.US,D,20260807,000000,4.7,5.85,4.67,5.77,1411988,0
AXTL.US,D,20260810,000000,5.92,5.97,3.78,3.84,774916,0
AXTL.US,D,20260811,000000,3.93,4,3.63,3.82,507567,0
AXTL.US,D,20260812,000000,4.81,4.85,3.78,4.31,1143646,0
AXTL.US,D,20260813,000000,3.99,4.55,3.95,4.21,638340,0
AXTL.US,D,20260814,000000,4.26,5.04,4.1301,4.65,1111737,0
AXTL.US,D,20260817,000000,5.13,6.47,5.019,6.29,1539135,0
AXTL.US,D,20260818,000000,5.33,6.12,4.24,4.48,1214674,0
AXTL.US,D,20260819,000000,4.76,4.78,3.4729,3.54,1180291,0
AXTL.US,D,20260820,000000,3.5,3.615,3.15,3.485,697854,0
AXTL.US,D,20260821,000000,3.71,3.71,3.03,3.255,881827,0
AXTL.US,D,20260824,000000,2.85,2.91,2.432,2.75,749091,0
