<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXTX.US,D,20260427,000000,22.86,24.1,19.56,21.6399,548754,0
AXTX.US,D,20260428,000000,19.35,21.06,18.46,20.72,1216667,0
AXTX.US,D,20260429,000000,22.14,25.268,21.0601,22.13,1108260,0
AXTX.US,D,20260430,000000,24.47,27.86,22.08,27.17,1539313,0
AXTX.US,D,20260501,000000,26.39,38.56,26.39,38.39,2163488,0
AXTX.US,D,20260504,000000,38.87,47.25,35.39,46.61,1421791,0
AXTX.US,D,20260505,000000,47.06,50.09,43.61,47.81,1271668,0
AXTX.US,D,20260506,000000,49.5,50,34.8,45.14,5078568,0
AXTX.US,D,20260507,000000,42,49.63,40.1,48.42,1928667,0
AXTX.US,D,20260508,000000,55.01,67.08,47.88,55.2,4243365,0
AXTX.US,D,20260511,000000,57.11,70.85,50.42,64.54,2477534,0
AXTX.US,D,20260512,000000,62.02,67,52,61.22,998988,0
AXTX.US,D,20260513,000000,67.17,72,54.6,60.06,1470240,0
AXTX.US,D,20260514,000000,58.89,60,49,53.3,1869149,0
AXTX.US,D,20260515,000000,49.14,65.6999,47.08,61.43,1478714,0
AXTX.US,D,20260518,000000,62.26,62.52,43.08,43.86,2496257,0
AXTX.US,D,20260519,000000,42.24,50.96,40.6733,48.97,2733590,0
AXTX.US,D,20260520,000000,50.99,52.5,39.68,42.13,1326566,0
AXTX.US,D,20260521,000000,41.52,55.5,41.01,55.09,2028191,0
AXTX.US,D,20260522,000000,53.42,73.44,50.5,73.02,2374951,0
AXTX.US,D,20260526,000000,74,76.56,63.5001,64.6,1188205,0
AXTX.US,D,20260527,000000,64.97,65.12,47.43,55,2622345,0
AXTX.US,D,20260528,000000,60.45,60.45,47.45,48.55,1849942,0
AXTX.US,D,20260529,000000,48.5,48.5,35.21,37.61,4820339,0
AXTX.US,D,20260601,000000,32.5,47.0899,30.57,42.46,3623417,0
AXTX.US,D,20260602,000000,48.03,52.88,40.89,43.11,3285761,0
AXTX.US,D,20260603,000000,43.12,46.56,37.9701,40.15,2128041,0
AXTX.US,D,20260604,000000,37.34,44.68,36.3,39.56,1661856,0
AXTX.US,D,20260605,000000,36,38.3,25.32,26.64,3127868,0
AXTX.US,D,20260608,000000,29.31,31.16,26.65,27.6,2454686,0
AXTX.US,D,20260609,000000,30.41,31.2984,18.73,20.09,3062201,0
AXTX.US,D,20260610,000000,21.47,26.19,20.79,23.53,3093623,0
AXTX.US,D,20260611,000000,26.89,26.89,21.7,25.36,3287365,0
AXTX.US,D,20260612,000000,26.5,33.99,24.7,30.28,3199651,0
AXTX.US,D,20260615,000000,36.82,42.3,35.23,38.69,3916420,0
AXTX.US,D,20260616,000000,37.1,38.6,26.19,26.19,3594373,0
AXTX.US,D,20260617,000000,28.3,29.33,25.5,25.73,2482696,0
AXTX.US,D,20260618,000000,28.22,28.99,19.5,21.41,5658849,0
AXTX.US,D,20260622,000000,25.66,27.15,21.37,25.42,6665459,0
AXTX.US,D,20260623,000000,20.52,23,16.6,17.3,5471229,0
AXTX.US,D,20260624,000000,17.3,17.6,12.54,13.86,6663389,0
AXTX.US,D,20260625,000000,15.24,15.3,11.51,13.48,6266718,0
AXTX.US,D,20260626,000000,12.28,14.0608,11.96,13.87,2100890,0
AXTX.US,D,20260629,000000,12.95,14.62,11.5801,14.35,3476012,0
AXTX.US,D,20260630,000000,13.98,15.0587,13.39,14.57,2087448,0
AXTX.US,D,20260701,000000,13,13.145,11.14,11.71,2514422,0
AXTX.US,D,20260702,000000,11.36,12.4,7.57,8.66,3212872,0
AXTX.US,D,20260706,000000,10.25,12.27,9.85,10.77,3740849,0
AXTX.US,D,20260707,000000,9.34,11.7398,8.8393,8.99,3444759,0
AXTX.US,D,20260708,000000,9.07,10.88,8.58,9.6,4085512,0
AXTX.US,D,20260709,000000,11.13,11.72,10.02,10.36,5891060,0
AXTX.US,D,20260710,000000,9.95,10.1199,7.58,8.57,4266502,0
AXTX.US,D,20260713,000000,7.82,7.95,5.77,6.54,6843972,0
AXTX.US,D,20260714,000000,7.65,8.6,7.12,8.37,6609340,0
AXTX.US,D,20260715,000000,7.89,8.59,6.41,7.15,3217001,0
AXTX.US,D,20260716,000000,6.48,6.55,4.9,5.04,6293532,0
AXTX.US,D,20260717,000000,4.47,5.6263,4.25,5.08,4885295,0
AXTX.US,D,20260720,000000,5.18,6.22,5.13,5.72,4618618,0
AXTX.US,D,20260721,000000,6.6,7.585,6.28,7.57,6154126,0
AXTX.US,D,20260722,000000,7.01,7.65,6.46,6.57,3591429,0
AXTX.US,D,20260723,000000,6.25,7.76,6.2,6.57,3177082,0
AXTX.US,D,20260724,000000,6.21,6.285,4.915,5.15,2344407,0
AXTX.US,D,20260727,000000,5.45,5.76,4.505,5.29,5238809,0
AXTX.US,D,20260728,000000,4.5,4.51,3.5201,4.16,5295974,0
AXTX.US,D,20260729,000000,4.28,4.5097,3,3.01,6481486,0
AXTX.US,D,20260730,000000,3.75,4.95,3.69,4.7,17943803,0
AXTX.US,D,20260731,000000,8.5,9,6.37,7.34,27244337,0
AXTX.US,D,20260803,000000,6.35,9.94,5.67,9.26,16864395,0
AXTX.US,D,20260804,000000,8.28,9.33,7,8.51,23267050,0
AXTX.US,D,20260805,000000,8,11.3966,7.72,9.23,14839631,0
AXTX.US,D,20260806,000000,9.33,11.59,8.83,11.01,13213737,0
AXTX.US,D,20260807,000000,12.19,15.17,11.96,14.88,18667135,0
AXTX.US,D,20260810,000000,15.11,15.54,9.725,9.9,15483366,0
AXTX.US,D,20260811,000000,10.2,10.4,9.4,9.87,7986478,0
