<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEBE-WS.US,D,20260701,000000,0.4,0.4,0.3001,0.4,41390,0
BEBE-WS.US,D,20260702,000000,0.45,0.45,0.36,0.36,4535,0
BEBE-WS.US,D,20260708,000000,0.33,0.36,0.33,0.36,360,0
BEBE-WS.US,D,20260709,000000,0.3313,0.3313,0.3313,0.3313,168,0
BEBE-WS.US,D,20260722,000000,0.3001,0.31,0.3001,0.30505,600,0
BEBE-WS.US,D,20260727,000000,0.31,0.31,0.3001,0.3001,600,0
BEBE-WS.US,D,20260729,000000,0.31,0.31,0.30505,0.30505,202,0
BEBE-WS.US,D,20260807,000000,0.31,0.31,0.3,0.3,165953,0
BEBE-WS.US,D,20260818,000000,0.2972,0.31,0.25,0.25,37002,0
BEBE-WS.US,D,20260819,000000,0.25,0.25,0.25,0.25,1101,0
BEBE-WS.US,D,20260821,000000,0.25,0.25,0.2499,0.2499,220,0
BEBE-WS.US,D,20260824,000000,0.25,0.25,0.25,0.25,1607,0
