<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSOL.US,D,20251028,000000,26.5,26.6,25.49,25.55,2207864,0
BSOL.US,D,20251029,000000,26.4,26.45,24.88,25.23,2893828,0
BSOL.US,D,20251030,000000,24.58,24.61,23.395,23.44,1906578,0
BSOL.US,D,20251031,000000,24.489,24.89,24.1,24.61,2413791,0
BSOL.US,D,20251103,000000,23,23.14,21.36,21.5,2750142,0
BSOL.US,D,20251104,000000,20.949,21.62,19.4245,20.07,2991132,0
BSOL.US,D,20251105,000000,20.66,21.47,20.5335,21.3,2047357,0
BSOL.US,D,20251106,000000,20.81,20.83,20.15,20.33,1182439,0
BSOL.US,D,20251107,000000,19.901,21.5,19.61,21.4,1701386,0
BSOL.US,D,20251110,000000,22.05,22.07,21.64,21.99,1538513,0
BSOL.US,D,20251111,000000,21.35,21.36,20.47,20.51,992523,0
BSOL.US,D,20251112,000000,21.01,21.03,19.82,20.15,1490300,0
BSOL.US,D,20251113,000000,20.16,20.48,18.475,18.68,2373329,0
BSOL.US,D,20251114,000000,18.16,18.87,18.001,18.3,1895924,0
BSOL.US,D,20251117,000000,18,18.75,16.8501,17.06,1595959,0
BSOL.US,D,20251118,000000,18.19,18.64,17.9909,18.52,2979668,0
BSOL.US,D,20251119,000000,17.85,18.2197,17.12,17.47,2204167,0
BSOL.US,D,20251120,000000,18.49,18.55,17.199,17.54,2658483,0
BSOL.US,D,20251121,000000,16.59,17.125,16.21,16.68,2782407,0
BSOL.US,D,20251124,000000,16.95,18.299,16.87,18.25,2061059,0
BSOL.US,D,20251125,000000,17.81,18.1293,17.47,18.1,1413532,0
BSOL.US,D,20251126,000000,17.9901,19.01,17.84,18.78,1375165,0
BSOL.US,D,20251128,000000,18.84,18.88,17.96,17.99,1232620,0
BSOL.US,D,20251201,000000,16.64,16.699,16.17,16.36,2603785,0
BSOL.US,D,20251202,000000,17.28,18.54,17.267,18.22,2164997,0
BSOL.US,D,20251203,000000,18.529,18.87,18.4,18.64,1236077,0
BSOL.US,D,20251204,000000,18.809,18.97,18.13,18.47,1651164,0
BSOL.US,D,20251205,000000,17.84,18.0399,17.19,17.45,1113047,0
BSOL.US,D,20251208,000000,18.13,18.27,17.525,17.65,810723,0
BSOL.US,D,20251209,000000,17.4,19.08,17.34,18.43,1831977,0
BSOL.US,D,20251210,000000,18.0601,18.7718,17.85,18.19,966099,0
BSOL.US,D,20251211,000000,17.2,18.02,17.09,17.89,1416686,0
BSOL.US,D,20251212,000000,18.3,18.37,17.1603,17.33,823229,0
BSOL.US,D,20251215,000000,17.5,17.6164,16.271,16.45,2559641,0
BSOL.US,D,20251216,000000,16.9097,17.15,16.71,16.93,2036039,0
BSOL.US,D,20251217,000000,16.995,17.65,15.98,16.18,3010512,0
BSOL.US,D,20251218,000000,16.64,16.99,15.39,15.43,3135912,0
BSOL.US,D,20251219,000000,16.52,16.85,16.29,16.74,1206440,0
BSOL.US,D,20251222,000000,16.8,16.96,16.38,16.4,1506626,0
BSOL.US,D,20251223,000000,16.23,16.5551,16.09,16.43,1332653,0
BSOL.US,D,20251224,000000,16.06,16.26,15.9,16.1,627655,0
BSOL.US,D,20251226,000000,16.46,16.46,15.9,16.14,1259629,0
BSOL.US,D,20251229,000000,16.24,16.4,16.175,16.27,649707,0
BSOL.US,D,20251230,000000,16.4,16.695,16.33,16.37,1331306,0
BSOL.US,D,20251231,000000,16.7,16.71,16.3,16.4,1533836,0
BSOL.US,D,20260102,000000,16.87,17.47,16.76,17.35,1150031,0
BSOL.US,D,20260105,000000,17.679,18.48,17.585,18.23,1384979,0
