<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFH.US,D,20260701,000000,21.38,21.41,21.38,21.395,5909,0
BUFH.US,D,20260702,000000,21.41,21.41,21.36,21.4,4969,0
BUFH.US,D,20260706,000000,21.42,21.43,21.4,21.43,2809,0
BUFH.US,D,20260707,000000,21.39,21.4499,21.39,21.4249,27720,0
BUFH.US,D,20260708,000000,21.49,21.49,21.4052,21.415,3214,0
BUFH.US,D,20260709,000000,21.44,21.45,21.44,21.44,412,0
BUFH.US,D,20260713,000000,21.41,21.4699,21.41,21.44,8129,0
BUFH.US,D,20260714,000000,21.47,21.48,21.43,21.455,7767,0
BUFH.US,D,20260715,000000,21.475,21.49,21.44,21.475,6405,0
BUFH.US,D,20260716,000000,21.48,21.49,21.44,21.4648,7450,0
BUFH.US,D,20260717,000000,21.55,21.55,21.41,21.435,9196,0
BUFH.US,D,20260720,000000,21.44,21.455,21.435,21.435,10159,0
BUFH.US,D,20260721,000000,21.4301,21.47,21.4301,21.45,2617,0
BUFH.US,D,20260722,000000,21.47,21.48,21.44,21.46,2141,0
BUFH.US,D,20260723,000000,21.39,21.7125,21.38,21.4174,55540,0
BUFH.US,D,20260724,000000,21.4,21.45,21.39,21.4209,50106,0
BUFH.US,D,20260727,000000,21.42,21.435,21.41,21.435,2454,0
BUFH.US,D,20260728,000000,21.435,21.46,21.43,21.4541,6091,0
BUFH.US,D,20260729,000000,21.43,21.45,21.39,21.407,10436,0
BUFH.US,D,20260730,000000,21.45,21.465,21.44,21.465,1470,0
BUFH.US,D,20260731,000000,21.48,21.4912,21.47,21.4912,2123,0
BUFH.US,D,20260803,000000,21.53,21.54,21.52,21.52,21255,0
BUFH.US,D,20260804,000000,21.55,21.5772,21.5362,21.56,14988,0
BUFH.US,D,20260805,000000,21.575,21.6,21.575,21.59,3556,0
BUFH.US,D,20260806,000000,21.58,21.6,21.54,21.57,148199,0
BUFH.US,D,20260807,000000,21.57,21.595,21.56,21.585,147433,0
BUFH.US,D,20260810,000000,21.6,21.62,21.57,21.59,24175,0
BUFH.US,D,20260811,000000,21.595,21.595,21.56,21.56,1562,0
BUFH.US,D,20260812,000000,21.6299,21.6299,21.6,21.6,602,0
BUFH.US,D,20260813,000000,21.62,21.63,21.615,21.615,1333,0
BUFH.US,D,20260814,000000,21.64,21.7,21.59,21.59,19525,0
BUFH.US,D,20260817,000000,21.66,21.66,21.59,21.61,14440,0
BUFH.US,D,20260818,000000,21.61,21.6299,21.6,21.6,23336,0
BUFH.US,D,20260819,000000,21.62,21.62,21.6106,21.6106,930,0
BUFH.US,D,20260820,000000,19.88,21.62,19.88,21.6,4968,0
BUFH.US,D,20260821,000000,21.64,21.64,21.58,21.58,8483,0
BUFH.US,D,20260824,000000,21.61,21.6299,21.605,21.605,29139,0
