<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BZZ.US,D,20260608,000000,26.9801,27,26.6626,26.6626,899,0
BZZ.US,D,20260610,000000,26.06,26.065,25.17,25.17,2376,0
BZZ.US,D,20260611,000000,26,26.3042,25.16,26.3042,3234,0
BZZ.US,D,20260612,000000,26.43,26.43,25.4893,25.6106,2081,0
BZZ.US,D,20260615,000000,26.305,26.645,26.1794,26.1794,7901,0
BZZ.US,D,20260616,000000,25.5,26.29,25.5,25.71,2868,0
BZZ.US,D,20260617,000000,25.98,26.22,25.52,25.52,1217,0
BZZ.US,D,20260618,000000,25.5,25.7793,25.325,25.7793,1317,0
BZZ.US,D,20260622,000000,25.97,25.97,25.07,25.1477,19029,0
BZZ.US,D,20260623,000000,24.92,24.92,24.6168,24.6168,2486,0
BZZ.US,D,20260624,000000,24.18,24.18,23.58,23.6239,32681,0
BZZ.US,D,20260625,000000,23.67,23.67,23.25,23.25,2116,0
BZZ.US,D,20260626,000000,23.75,23.8,23.6,23.6,409,0
BZZ.US,D,20260629,000000,24.39,24.39,24.03,24.3226,884,0
BZZ.US,D,20260630,000000,25.32,25.36,25.26,25.36,20509,0
BZZ.US,D,20260701,000000,25.9,26.02,25.3,25.498,1513,0
BZZ.US,D,20260702,000000,26.16,26.16,25.11,25.2997,2011,0
BZZ.US,D,20260706,000000,25.98,25.98,25.5251,25.5251,797,0
BZZ.US,D,20260707,000000,24.86,24.86,24.2917,24.2917,4181,0
BZZ.US,D,20260708,000000,24.29,24.29,23.93,24.1199,2998,0
BZZ.US,D,20260709,000000,24.12,24.235,24.12,24.132,416,0
BZZ.US,D,20260710,000000,24,24,23.684,23.684,539,0
BZZ.US,D,20260713,000000,23.5,23.5,23.07,23.07,756,0
BZZ.US,D,20260714,000000,23.53,23.7,23.53,23.6634,516,0
BZZ.US,D,20260715,000000,23.36,23.36,23.3261,23.3261,598,0
BZZ.US,D,20260716,000000,22.89,22.89,22.535,22.5375,717,0
BZZ.US,D,20260717,000000,22.82,22.82,22.5841,22.5841,663,0
BZZ.US,D,20260721,000000,23.545,23.97,23.545,23.8886,1170,0
BZZ.US,D,20260722,000000,23.94,24.18,23.6715,23.6715,3208,0
BZZ.US,D,20260723,000000,24.07,24.07,24.07,24.07,359,0
BZZ.US,D,20260724,000000,23.6499,23.74,23.3934,23.3934,9215,0
BZZ.US,D,20260727,000000,23.45,23.95,23.45,23.95,1540,0
BZZ.US,D,20260728,000000,23.23,23.7089,23.23,23.7089,1044,0
BZZ.US,D,20260729,000000,23.63,23.63,22.3662,22.3662,1361,0
BZZ.US,D,20260730,000000,22.845,23.3062,22.72,23.3062,1258,0
BZZ.US,D,20260731,000000,23.4,23.613,22.91,23.613,908,0
BZZ.US,D,20260803,000000,24.27,24.4692,24.1601,24.4692,1154,0
BZZ.US,D,20260804,000000,25.265,25.92,24.9316,25.839,2640,0
BZZ.US,D,20260805,000000,25.88,25.88,25.61,25.658,1300,0
BZZ.US,D,20260807,000000,26.34,26.4402,26.3199,26.4402,774,0
BZZ.US,D,20260810,000000,27.21,27.22,26.7701,26.8478,7772,0
BZZ.US,D,20260811,000000,26.95,27.26,26.9,27.1699,5687,0
BZZ.US,D,20260812,000000,27.13,27.15,26.9,26.9911,25246,0
BZZ.US,D,20260813,000000,27.285,27.51,26.94,27.398,2030,0
BZZ.US,D,20260814,000000,28.02,28.0201,27.71,27.98,4805,0
BZZ.US,D,20260817,000000,27.9,27.9,27.3459,27.3459,5225,0
BZZ.US,D,20260819,000000,26.44,26.5177,26.3606,26.5177,922,0
BZZ.US,D,20260820,000000,26.1,26.18,25.32,25.4754,5546,0
BZZ.US,D,20260821,000000,23,25.8599,23,25.5748,5520,0
BZZ.US,D,20260824,000000,25.07,25.07,24.5919,24.5919,4096,0
