<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAM.US,D,20260701,000000,25.06,25.09,25.04,25.07,43219,0
CAM.US,D,20260702,000000,25.12,25.12,25.075,25.1,83102,0
CAM.US,D,20260706,000000,25.15,25.15,24.84,25.12,95179,0
CAM.US,D,20260707,000000,25.08,25.1,25.05,25.0651,33824,0
CAM.US,D,20260708,000000,25.04,25.0499,25,25.011,108084,0
CAM.US,D,20260709,000000,25.05,25.08,25.038,25.038,36589,0
CAM.US,D,20260710,000000,25.04,25.04,25.03,25.0399,33759,0
CAM.US,D,20260713,000000,25.11,25.57,24.99,25,118429,0
CAM.US,D,20260714,000000,25.04,25.05,25.02,25.03,135673,0
CAM.US,D,20260715,000000,25.08,25.08,24.92,24.985,114144,0
CAM.US,D,20260716,000000,25,25.01,24.95,24.98,76490,0
CAM.US,D,20260717,000000,25,25,24.96,24.98,313183,0
CAM.US,D,20260720,000000,25,25,24.94,24.97,90729,0
CAM.US,D,20260721,000000,24.95,24.96,24.915,24.93,99219,0
CAM.US,D,20260722,000000,24.91,24.92,24.88,24.9,21396,0
CAM.US,D,20260723,000000,24.86,24.86,24.73,24.74,107468,0
CAM.US,D,20260724,000000,24.83,24.83,24.79,24.81,41402,0
CAM.US,D,20260727,000000,24.88,24.88,24.85,24.86,14612,0
CAM.US,D,20260728,000000,24.88,24.88,24.85,24.87,79044,0
CAM.US,D,20260729,000000,24.88,24.89,24.86,24.86,45651,0
CAM.US,D,20260730,000000,24.89,24.89,24.82,24.84,37741,0
CAM.US,D,20260731,000000,24.86,24.86,24.8,24.83,78344,0
CAM.US,D,20260803,000000,24.78,24.8,24.75,24.79,111142,0
CAM.US,D,20260804,000000,24.82,24.87,24.8,24.84,108255,0
CAM.US,D,20260805,000000,24.85,24.87,24.835,24.87,53944,0
CAM.US,D,20260806,000000,24.88,24.88,24.85,24.86,111070,0
CAM.US,D,20260807,000000,24.91,24.93,24.86,24.9,150923,0
CAM.US,D,20260810,000000,24.99,24.99,24.85,24.87,486939,0
CAM.US,D,20260811,000000,24.92,24.92,24.89,24.91,83622,0
CAM.US,D,20260812,000000,24.95,24.95,24.89,24.9,323378,0
CAM.US,D,20260813,000000,24.92,24.95,24.89,24.9,106486,0
CAM.US,D,20260814,000000,24.96,24.96,24.9,24.91,93971,0
CAM.US,D,20260817,000000,24.93,24.93,24.86,24.88,136118,0
CAM.US,D,20260818,000000,24.87,24.87,24.83,24.85,75507,0
CAM.US,D,20260819,000000,24.91,24.91,24.88,24.89,84422,0
CAM.US,D,20260820,000000,24.86,24.88,24.85,24.879,23818,0
CAM.US,D,20260821,000000,24.93,24.93,24.8401,24.85,71180,0
CAM.US,D,20260824,000000,24.91,24.91,24.86,24.88,35944,0
