<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBRG.US,D,20260518,000000,13,14,11.38,13.39,3387147,0
CBRG.US,D,20260519,000000,13.09,16.7,12.41,13.97,4326411,0
CBRG.US,D,20260520,000000,15.45,17.15,12.4,12.7801,4212321,0
CBRG.US,D,20260521,000000,13.17,13.17,11.5301,12.1,2723424,0
CBRG.US,D,20260522,000000,12.235,12.235,9.31,9.84,5637593,0
CBRG.US,D,20260526,000000,10.11,10.26,8.27,8.6901,5325664,0
CBRG.US,D,20260527,000000,8.84,10.66,8.83,10.49,4774741,0
CBRG.US,D,20260528,000000,10.06,10.6,8.54,8.63,3247343,0
CBRG.US,D,20260529,000000,8.96,9.18,7.88,8.25,2347411,0
CBRG.US,D,20260601,000000,7.84,7.86,6.51,6.57,3951303,0
CBRG.US,D,20260602,000000,7,8.25,6.76,7.94,4612362,0
CBRG.US,D,20260603,000000,7.58,7.58,6.395,6.53,4471635,0
CBRG.US,D,20260604,000000,6.35,6.78,5.94,6.55,2849267,0
CBRG.US,D,20260605,000000,6.06,6.95,5.4101,5.64,4999870,0
CBRG.US,D,20260608,000000,6.29,8.375,5.855,7.69,10608222,0
CBRG.US,D,20260609,000000,8.18,8.18,6.22,6.98,8487767,0
CBRG.US,D,20260610,000000,6.91,8.63,6.91,7.64,9156087,0
CBRG.US,D,20260611,000000,7.7,7.88,6.55,6.95,6242544,0
CBRG.US,D,20260612,000000,7.14,7.14,5.78,6.16,7171402,0
CBRG.US,D,20260615,000000,6.75,6.77,5.92,6.36,5128792,0
CBRG.US,D,20260616,000000,6.36,6.4199,5.46,6.04,4358163,0
CBRG.US,D,20260617,000000,6.13,7.1,5.91,6.13,4221089,0
CBRG.US,D,20260618,000000,6.54,7.9089,6.21,7.29,6480831,0
CBRG.US,D,20260622,000000,7.5,7.728,6.63,6.67,3096686,0
CBRG.US,D,20260623,000000,6.05,7.4,5.83,6.82,7432583,0
CBRG.US,D,20260624,000000,5.78,5.79,4.1,4.15,17169586,0
CBRG.US,D,20260625,000000,4.47,4.47,3.19,3.52,12259033,0
CBRG.US,D,20260626,000000,3.23,4.1399,3.18,4.05,12189693,0
CBRG.US,D,20260629,000000,4.2,5.77,4.07,5.575,15012675,0
CBRG.US,D,20260630,000000,5,5.8671,4.84,5.82,8930942,0
CBRG.US,D,20260701,000000,5.52,6.2,5.31,5.81,7270157,0
CBRG.US,D,20260702,000000,5.79,5.93,4.89,4.93,8719552,0
CBRG.US,D,20260706,000000,5.01,5.02,4.28,4.33,8878406,0
CBRG.US,D,20260707,000000,4.01,4.01,3.495,3.64,7110879,0
CBRG.US,D,20260708,000000,3.61,4.1199,3.53,3.84,5692643,0
CBRG.US,D,20260709,000000,4.16,4.8,4.03,4.53,10012947,0
CBRG.US,D,20260710,000000,4.38,5.3498,4.2,5.29,14025097,0
CBRG.US,D,20260713,000000,4.93,5.23,4.7016,4.77,7039391,0
CBRG.US,D,20260714,000000,4.87,4.9499,3.97,4.735,10678624,0
CBRG.US,D,20260715,000000,4.8,4.8,3.7401,3.83,6464486,0
CBRG.US,D,20260716,000000,3.6,3.9,3.4344,3.66,6202456,0
CBRG.US,D,20260717,000000,3.33,3.4999,2.925,3.33,9015350,0
CBRG.US,D,20260720,000000,3.52,3.7,3.0398,3.495,9600848,0
CBRG.US,D,20260721,000000,3.69,4.83,3.61,4.74,9546546,0
CBRG.US,D,20260722,000000,4.51,6.37,4.5,4.79,20944432,0
CBRG.US,D,20260723,000000,4.59,6,4.43,5.25,16735534,0
CBRG.US,D,20260724,000000,4.96,5,3.97,4.27,11385310,0
CBRG.US,D,20260727,000000,4.39,4.41,3.52,3.78,8558571,0
CBRG.US,D,20260728,000000,3.5,3.9999,3.215,3.95,9440192,0
CBRG.US,D,20260729,000000,3.88,3.88,3,3.025,9509114,0
CBRG.US,D,20260730,000000,3.38,4.265,3.24,4.2,17190846,0
CBRG.US,D,20260731,000000,4.44,4.68,3.91,4.025,9700261,0
CBRG.US,D,20260803,000000,3.74,4.98,3.46,4.89,8647582,0
CBRG.US,D,20260804,000000,4.95,5.37,4.63,5.19,9992866,0
CBRG.US,D,20260805,000000,4.8,5.18,4.54,4.59,5333119,0
CBRG.US,D,20260806,000000,4.28,4.8,4.22,4.465,4566478,0
CBRG.US,D,20260807,000000,4.74,5.215,4.16,5.13,7770521,0
CBRG.US,D,20260810,000000,5.13,5.45,5.01,5.26,9355660,0
CBRG.US,D,20260811,000000,5.34,5.56,4.83,5.46,6532469,0
CBRG.US,D,20260812,000000,6.12,6.92,5.76,6.76,22551702,0
CBRG.US,D,20260813,000000,4.5,5.61,4.5,5.16,22431718,0
CBRG.US,D,20260814,000000,4.91,5.0479,4.48,4.61,12253992,0
CBRG.US,D,20260817,000000,4.83,6.37,4.79,6,20556296,0
CBRG.US,D,20260818,000000,5.45,5.48,4.22,4.46,17390478,0
CBRG.US,D,20260819,000000,4.36,4.37,3.7,4.29,17109603,0
CBRG.US,D,20260820,000000,4.26,4.26,3.785,4.06,8997935,0
CBRG.US,D,20260821,000000,4.07,4.07,3.52,3.52,10113391,0
CBRG.US,D,20260824,000000,3.32,3.38,3.1,3.12,8424552,0
