<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CERY.US,D,20240925,000000,26.1683,26.1683,26.1683,26.1683,123,0
CERY.US,D,20240926,000000,26.13,26.13,26.0417,26.0417,642,0
CERY.US,D,20240927,000000,26.177,26.177,26.177,26.177,90,0
CERY.US,D,20240930,000000,26.13,26.15,26.1201,26.15,6231,0
CERY.US,D,20241001,000000,26.4406,26.4406,26.4406,26.4406,73,0
CERY.US,D,20241002,000000,26.5893,26.5893,26.5893,26.5893,1,0
CERY.US,D,20241003,000000,26.7891,26.7891,26.7891,26.7891,23,0
CERY.US,D,20241004,000000,26.8054,26.8054,26.8054,26.8054,23,0
CERY.US,D,20241007,000000,26.9651,26.9651,26.9651,26.9651,33,0
CERY.US,D,20241008,000000,26.4799,26.4799,26.4799,26.4799,20,0
CERY.US,D,20241009,000000,26.2199,26.27,26.2066,26.27,1078,0
CERY.US,D,20241010,000000,26.5951,26.5951,26.5951,26.5951,7,0
CERY.US,D,20241011,000000,26.6471,26.6471,26.6471,26.6471,159,0
CERY.US,D,20241014,000000,26.36,26.36,26.3503,26.3503,272,0
CERY.US,D,20241015,000000,25.9999,26.0351,25.9999,26.0351,2034,0
CERY.US,D,20241016,000000,26.02,26.02,25.88,25.97,3570,0
CERY.US,D,20241017,000000,25.91,25.975,25.91,25.975,952,0
CERY.US,D,20241018,000000,25.92,25.97,25.89,25.9599,923,0
CERY.US,D,20241021,000000,26.12,26.12,26.0418,26.0418,230,0
CERY.US,D,20241022,000000,26.34,26.37,26.33,26.37,1348,0
CERY.US,D,20241023,000000,26.28,26.28,26.2523,26.2523,1260,0
CERY.US,D,20241024,000000,26.2,26.28,26.2,26.28,2963,0
CERY.US,D,20241025,000000,26.32,26.34,26.31,26.34,870,0
CERY.US,D,20241028,000000,25.928,25.928,25.928,25.928,860,0
CERY.US,D,20241029,000000,25.93,25.93,25.9072,25.9072,911,0
CERY.US,D,20241030,000000,26,26.02,26,26.02,644,0
CERY.US,D,20241031,000000,26.1,26.1,26.1,26.1,112,0
CERY.US,D,20241101,000000,26.04,26.16,25.95,25.95,4239,0
CERY.US,D,20241104,000000,26.15,26.2257,26.15,26.2257,905,0
CERY.US,D,20241105,000000,26.34,26.37,26.3203,26.3203,1081,0
CERY.US,D,20241106,000000,26.0514,26.0514,26.0514,26.0514,504,0
CERY.US,D,20241107,000000,26.3899,26.3899,26.3899,26.3899,198,0
CERY.US,D,20241108,000000,26.1,26.1,26.05,26.0862,2320,0
CERY.US,D,20241111,000000,25.6981,25.765,25.6981,25.765,156,0
CERY.US,D,20241112,000000,25.61,25.68,25.61,25.67,71633,0
CERY.US,D,20241113,000000,25.53,25.5411,25.51,25.5411,70524,0
CERY.US,D,20241114,000000,25.54,25.54,25.3893,25.3893,430,0
CERY.US,D,20241115,000000,25.5,25.5,25.43,25.44,3860,0
CERY.US,D,20241118,000000,25.58,25.815,25.58,25.815,775,0
CERY.US,D,20241120,000000,25.94,25.98,25.905,25.905,4670,0
CERY.US,D,20241121,000000,25.98,26.04,25.9157,26,195504,0
CERY.US,D,20241122,000000,26.09,26.17,26.0799,26.11,5975,0
CERY.US,D,20241125,000000,25.9,25.98,25.82,25.8536,12935,0
CERY.US,D,20241126,000000,25.94,25.94,25.84,25.8502,1463,0
CERY.US,D,20241127,000000,25.84,25.8491,25.789,25.8199,3009,0
CERY.US,D,20241129,000000,25.94,25.97,25.85,25.8717,955,0
CERY.US,D,20241202,000000,25.72,25.72,25.62,25.7,2689,0
CERY.US,D,20241203,000000,25.83,25.8995,25.82,25.885,2536,0
CERY.US,D,20241204,000000,25.86,25.91,25.78,25.815,6497,0
CERY.US,D,20241205,000000,25.87,25.9,25.77,25.87,12572,0
CERY.US,D,20241206,000000,25.71,25.82,25.71,25.77,11745,0
CERY.US,D,20241209,000000,26.07,26.09,25.975,25.975,16881,0
CERY.US,D,20241210,000000,26.06,28.69,26.0562,26.09,2884047,0
CERY.US,D,20241211,000000,26.22,26.31,26.1749,26.29,78000,0
CERY.US,D,20241212,000000,26.115,26.17,26.04,26.15,95867,0
CERY.US,D,20241213,000000,26.041,26.11,26.02,26.065,79357,0
CERY.US,D,20241216,000000,26.0101,26.04,25.9401,25.98,33948,0
CERY.US,D,20241217,000000,26.47,27.23,25.65,25.814,17944,0
CERY.US,D,20241218,000000,25.8384,25.8384,25.5,25.5166,59836,0
CERY.US,D,20241219,000000,25.51,25.65,25.37,25.48,37546,0
CERY.US,D,20241220,000000,25.44,25.71,25.44,25.66,38867,0
CERY.US,D,20241223,000000,25.625,25.7,25.51,25.68,16820,0
CERY.US,D,20241224,000000,25.78,25.8399,25.74,25.8,17017,0
CERY.US,D,20241226,000000,25.8441,25.87,25.7491,25.87,8607,0
CERY.US,D,20241227,000000,25.7,25.78,25.64,25.65,15393,0
CERY.US,D,20241230,000000,25.95,25.95,24.39,25.84,52245,0
CERY.US,D,20241231,000000,25.829,25.92,25.829,25.885,5661,0
CERY.US,D,20250102,000000,26.1099,26.2,26.04,26.04,10068,0
CERY.US,D,20250103,000000,25.97,25.99,25.9301,25.945,31002,0
CERY.US,D,20250106,000000,26.2,26.2,26.0101,26.08,14699,0
CERY.US,D,20250107,000000,26.18,26.22,26.11,26.18,11078,0
CERY.US,D,20250108,000000,26.185,26.25,26.09,26.145,653939,0
CERY.US,D,20250110,000000,26.75,26.9299,26.61,26.77,275088,0
CERY.US,D,20250113,000000,26.82,26.915,26.77,26.77,5632660,0
CERY.US,D,20250114,000000,26.8,26.86,26.77,26.81,81204,0
CERY.US,D,20250115,000000,26.999,27.2,26.9501,27.2,76172,0
CERY.US,D,20250116,000000,27.04,27.04,26.92,26.97,45006,0
CERY.US,D,20250117,000000,26.9,27.04,26.9,26.989,49912,0
CERY.US,D,20250121,000000,26.91,27.04,26.8967,26.95,208415,0
CERY.US,D,20250122,000000,27.02,27.06,26.96,26.9824,112571,0
CERY.US,D,20250123,000000,26.91,27.0599,26.91,26.94,23392,0
CERY.US,D,20250124,000000,26.99,27.03,26.8932,26.94,72203,0
CERY.US,D,20250127,000000,26.81,26.82,26.5409,26.66,27584,0
CERY.US,D,20250128,000000,26.75,26.78,26.66,26.74,31510,0
CERY.US,D,20250129,000000,26.83,26.92,26.77,26.88,39870,0
CERY.US,D,20250130,000000,26.8864,27.02,26.86,26.93,29247,0
CERY.US,D,20250131,000000,26.8,26.93,26.78,26.93,399579,0
CERY.US,D,20250203,000000,26.97,27.03,26.88,26.94,51281,0
CERY.US,D,20250204,000000,26.92,27.22,26.83,27.19,234865,0
CERY.US,D,20250205,000000,27.14,27.1699,27.03,27.15,47176,0
CERY.US,D,20250206,000000,27.11,27.17,26.98,27.12,43516,0
CERY.US,D,20250207,000000,27.2382,27.29,27.14,27.19,34205,0
CERY.US,D,20250210,000000,27.39,27.53,27.33,27.46,42466,0
CERY.US,D,20250211,000000,27.4901,27.595,27.4901,27.53,38190,0
CERY.US,D,20250212,000000,27.5,27.51,27.3701,27.4,363747,0
CERY.US,D,20250213,000000,27.33,27.52,27.33,27.51,44675,0
CERY.US,D,20250214,000000,27.645,27.645,27.4,27.47,49264,0
CERY.US,D,20250218,000000,27.5643,27.88,27.55,27.64,36583,0
CERY.US,D,20250219,000000,27.83,27.86,27.63,27.78,91033,0
CERY.US,D,20250220,000000,27.83,27.8596,27.74,27.74,51489,0
CERY.US,D,20250221,000000,27.68,27.68,27.5111,27.52,27889,0
CERY.US,D,20250224,000000,27.4622,27.4622,27.36,27.44,20751,0
CERY.US,D,20250225,000000,27.28,27.33,27.05,27.11,64850,0
CERY.US,D,20250226,000000,27.07,27.0799,26.97,27.04,101998,0
CERY.US,D,20250227,000000,27.09,27.09,26.95,26.98,29625,0
CERY.US,D,20250228,000000,26.7801,26.89,26.6501,26.72,29392,0
CERY.US,D,20250303,000000,26.87,26.87,26.605,26.69,89849,0
CERY.US,D,20250304,000000,26.5676,26.7,26.4207,26.67,120352,0
CERY.US,D,20250305,000000,26.52,26.97,24.01,26.68,53423,0
CERY.US,D,20250306,000000,26.73,26.82,26.6651,26.75,40901,0
CERY.US,D,20250307,000000,26.87,26.94,26.76,26.82,25448,0
CERY.US,D,20250310,000000,26.93,26.93,26.6481,26.65,19807,0
CERY.US,D,20250311,000000,26.84,26.9749,26.24,26.87,1283219,0
