<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGIC.US,D,20240701,000000,25.06,25.06,25.04,25.04,600774,0
CGIC.US,D,20240702,000000,24.95,25.07,24.95,25.07,901,0
CGIC.US,D,20240703,000000,25.31,25.31,25.3048,25.3048,228,0
CGIC.US,D,20240705,000000,25.415,25.5,25.41,25.5,1038,0
CGIC.US,D,20240708,000000,25.57,25.57,25.4501,25.4576,1947,0
CGIC.US,D,20240709,000000,25.35,25.35,25.34,25.3467,680,0
CGIC.US,D,20240710,000000,25.5289,25.644,25.5289,25.644,3369,0
CGIC.US,D,20240711,000000,25.8,25.8,25.69,25.6935,451,0
CGIC.US,D,20240712,000000,25.8,25.94,25.8,25.8991,5657,0
CGIC.US,D,20240715,000000,25.7201,25.74,25.6381,25.6381,2046,0
CGIC.US,D,20240716,000000,25.59,25.725,25.59,25.725,25761,0
CGIC.US,D,20240717,000000,25.44,25.48,25.35,25.4,8840,0
CGIC.US,D,20240718,000000,25.46,25.46,25.08,25.1448,1870,0
CGIC.US,D,20240719,000000,25.08,25.08,25.0052,25.0052,2265,0
CGIC.US,D,20240722,000000,25.18,25.2537,25.18,25.2537,1973,0
CGIC.US,D,20240723,000000,25.108,25.14,25.0924,25.0924,1986,0
CGIC.US,D,20240724,000000,24.84,24.87,24.6807,24.6807,17883,0
CGIC.US,D,20240725,000000,24.65,24.66,24.5252,24.5252,1549,0
CGIC.US,D,20240726,000000,24.7,24.8209,24.7,24.7893,358024,0
CGIC.US,D,20240729,000000,24.77,24.77,24.67,24.6907,10945,0
CGIC.US,D,20240730,000000,24.75,24.75,24.62,24.6756,3272,0
CGIC.US,D,20240731,000000,25.07,25.18,25.02,25.1002,5595,0
CGIC.US,D,20240801,000000,24.86,24.86,24.5078,24.5078,1720,0
CGIC.US,D,20240802,000000,24.13,24.15,23.9481,24.0919,14060,0
CGIC.US,D,20240805,000000,23.23,23.7999,23.23,23.6386,28635,0
CGIC.US,D,20240806,000000,23.52,23.84,23.52,23.7586,5214,0
CGIC.US,D,20240807,000000,24.17,24.17,23.7909,23.7909,7913,0
CGIC.US,D,20240808,000000,24.16,24.27,24.16,24.2518,1185,0
CGIC.US,D,20240809,000000,24.29,24.409,24.29,24.4049,10693,0
CGIC.US,D,20240812,000000,24.38,24.46,24.37,24.38,19267,0
CGIC.US,D,20240813,000000,24.51,24.7652,24.51,24.7652,8255,0
CGIC.US,D,20240814,000000,24.77,24.78,24.71,24.7756,17562,0
CGIC.US,D,20240815,000000,24.98,25.38,24.98,25.0406,88632,0
CGIC.US,D,20240816,000000,25.08,25.184,25.08,25.184,6682,0
CGIC.US,D,20240819,000000,25.305,25.4395,25.305,25.435,3954,0
CGIC.US,D,20240820,000000,25.3,25.3227,25.26,25.2976,19057,0
CGIC.US,D,20240821,000000,25.335,25.46,25.335,25.4273,4280,0
CGIC.US,D,20240822,000000,25.41,25.41,25.2225,25.2294,6949,0
CGIC.US,D,20240823,000000,25.45,25.69,25.45,25.6799,16481,0
CGIC.US,D,20240826,000000,25.62,25.66,25.55,25.5702,19251,0
CGIC.US,D,20240827,000000,25.6,25.6704,25.58,25.6704,10444,0
CGIC.US,D,20240828,000000,25.61,25.61,25.45,25.5395,6133,0
CGIC.US,D,20240829,000000,25.61,25.74,25.61,25.63,25692,0
CGIC.US,D,20240830,000000,25.7009,25.78,25.59,25.7188,12362,0
CGIC.US,D,20240903,000000,25.52,25.52,25.17,25.2,6954,0
CGIC.US,D,20240904,000000,25.04,25.269,25.001,25.15,24580,0
CGIC.US,D,20240905,000000,25.2,25.24,25.13,25.1692,5087,0
CGIC.US,D,20240906,000000,25.01,25.01,24.75,24.7577,2586,0
CGIC.US,D,20240909,000000,24.87,25,24.87,24.9264,16643,0
CGIC.US,D,20240910,000000,24.88,24.88,24.745,24.8611,4619,0
CGIC.US,D,20240911,000000,24.69,25.12,24.67,25.11,6495,0
