<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRMX.US,D,20260114,000000,64.5,112.92,62.7075,102.78,180750,0
CRMX.US,D,20260115,000000,93,103.91,87.06,95.1,78094.9,0
CRMX.US,D,20260116,000000,96,104.762,78,99.24,84453.3,0
CRMX.US,D,20260120,000000,112.47,114.96,82.92,93.96,165735,0
CRMX.US,D,20260121,000000,96.78,108.66,64.89,75,280543,0
CRMX.US,D,20260122,000000,76.8,115.8,73.32,102.66,282149,0
CRMX.US,D,20260123,000000,103.95,128.34,85.5,126.54,254123,0
CRMX.US,D,20260126,000000,138.45,144.33,90,98.76,234207,0
CRMX.US,D,20260127,000000,91.2,103.65,75.6,97.695,252539,0
CRMX.US,D,20260128,000000,93.855,95.19,84.0039,84.645,154013,0
CRMX.US,D,20260129,000000,70.11,70.56,53.31,55.65,371813,0
CRMX.US,D,20260130,000000,54.06,62.31,46.68,47.67,273638,0
CRMX.US,D,20260202,000000,52.755,59.94,42.558,43.44,396578,0
CRMX.US,D,20260203,000000,48.93,62.475,48.9,60.66,328753,0
CRMX.US,D,20260204,000000,57.9,58.56,40.5,43.56,229257,0
CRMX.US,D,20260205,000000,40.5,41.88,27.0003,27.96,248938,0
CRMX.US,D,20260206,000000,30.54,30.57,26.43,29.46,196311,0
CRMX.US,D,20260209,000000,28.14,35.67,25.08,34.47,239345,0
CRMX.US,D,20260210,000000,35.4,36.8067,28.65,28.95,145607,0
CRMX.US,D,20260211,000000,30.81,31.68,25.785,27.18,157721,0
CRMX.US,D,20260212,000000,26.175,26.37,21.84,22.59,158164,0
CRMX.US,D,20260213,000000,23.205,23.82,19.68,19.95,203087,0
CRMX.US,D,20260217,000000,19.395,20.64,17.25,20.31,159103,0
CRMX.US,D,20260218,000000,19.65,21.9,18.75,20.13,118600,0
CRMX.US,D,20260219,000000,19.17,20.85,17.7,20.37,135827,0
CRMX.US,D,20260220,000000,19.83,21.2364,18.21,18.87,97322.6,0
CRMX.US,D,20260223,000000,18.45,24.2268,17.55,24,205373,0
CRMX.US,D,20260224,000000,22.68,29.3397,22.44,26.07,362433,0
CRMX.US,D,20260225,000000,27,28.5,25.2,26.22,253033,0
CRMX.US,D,20260226,000000,24.39,27.72,23.7,26.58,168422,0
CRMX.US,D,20260227,000000,24.63,25.4271,21.1182,22.98,117249,0
CRMX.US,D,20260302,000000,21.03,27.3,20.46,25.77,171057,0
CRMX.US,D,20260303,000000,22.8,23.1,18.78,21.15,165748,0
CRMX.US,D,20260304,000000,21.99,23.19,21.21,21.72,88427.6,0
CRMX.US,D,20260305,000000,21.48,22.8,18.81,20.34,128469,0
CRMX.US,D,20260306,000000,19.29,20.85,16.83,16.83,112100,0
CRMX.US,D,20260309,000000,15.69,17.4,14.73,17.1,122961,0
CRMX.US,D,20260310,000000,17.3,22.9,17.1613,21.59,250057,0
CRMX.US,D,20260311,000000,20.88,22.02,18.26,19.91,208739,0
CRMX.US,D,20260312,000000,19.11,19.28,17.5,18.25,101989,0
CRMX.US,D,20260313,000000,18.725,19.74,16.8,17.34,109885,0
CRMX.US,D,20260316,000000,17.89,19.02,16.2,17.62,171759,0
CRMX.US,D,20260317,000000,17.32,18.32,17.25,17.74,93586,0
CRMX.US,D,20260318,000000,16.5,16.995,16,16,97541,0
CRMX.US,D,20260319,000000,14.5554,15.1,13.3001,14.93,184828,0
CRMX.US,D,20260320,000000,14.86,14.86,12.01,12.51,145564,0
CRMX.US,D,20260323,000000,12.99,14.5,12.162,14.05,183617,0
CRMX.US,D,20260324,000000,13.85,14.495,12.84,13.12,73749,0
CRMX.US,D,20260325,000000,14.5,14.75,12.7,12.87,90457,0
CRMX.US,D,20260326,000000,12.1,12.41,11.2741,11.31,74341,0
CRMX.US,D,20260327,000000,11.11,11.11,10.14,10.14,68291,0
CRMX.US,D,20260330,000000,10.66,10.72,8.795,9.06,74338,0
