<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSNR.US,D,20250207,000000,24.85,24.85,24.6991,24.6991,1203,0
CSNR.US,D,20250210,000000,24.97,25.11,24.94,25.0494,72873,0
CSNR.US,D,20250212,000000,24.7899,24.82,24.7045,24.7045,52752,0
CSNR.US,D,20250213,000000,24.73,24.8615,24.73,24.8615,1099,0
CSNR.US,D,20250214,000000,24.99,24.99,24.9085,24.9085,925,0
CSNR.US,D,20250218,000000,25.06,25.13,25.06,25.085,51014,0
CSNR.US,D,20250219,000000,24.92,24.92,24.9025,24.9025,381,0
CSNR.US,D,20250220,000000,25.02,25.0214,24.941,25.0214,51310,0
CSNR.US,D,20250224,000000,24.5,24.55,24.47,24.47,392,0
CSNR.US,D,20250225,000000,24.44,24.4585,24.44,24.4585,257,0
CSNR.US,D,20250227,000000,24.2203,24.2203,24.2184,24.2184,147,0
CSNR.US,D,20250304,000000,23.72,23.72,23.5474,23.5474,1006,0
CSNR.US,D,20250305,000000,23.8136,24.08,23.8136,24.07,10057,0
CSNR.US,D,20250306,000000,24.13,24.13,24.0435,24.0435,165,0
CSNR.US,D,20250307,000000,24.3,24.36,24.24,24.3148,1406,0
CSNR.US,D,20250310,000000,24.125,24.2,23.82,23.9646,2184,0
CSNR.US,D,20250311,000000,24.06,24.0717,24.06,24.0717,502,0
CSNR.US,D,20250312,000000,24.23,24.23,24.1235,24.1235,105,0
CSNR.US,D,20250313,000000,24.14,24.14,24.0612,24.0612,129,0
CSNR.US,D,20250319,000000,25.1601,25.35,25.1601,25.3495,329,0
CSNR.US,D,20250325,000000,25.42,25.42,25.2679,25.2679,170,0
CSNR.US,D,20250326,000000,25.31,25.31,25.3058,25.3058,137,0
CSNR.US,D,20250327,000000,25.2801,25.3361,25.2801,25.3361,202,0
CSNR.US,D,20250328,000000,25.02,25.02,24.78,24.8299,2589,0
CSNR.US,D,20250331,000000,24.59,24.9053,24.59,24.9053,574775,0
CSNR.US,D,20250401,000000,24.71,24.8867,24.635,24.8867,2169,0
CSNR.US,D,20250402,000000,24.65,24.9359,24.6499,24.9359,3487,0
CSNR.US,D,20250403,000000,24.23,24.23,23.9776,23.9776,1886,0
CSNR.US,D,20250404,000000,22.19,22.24,21.951,22.0804,1775,0
CSNR.US,D,20250407,000000,22.0299,22.0299,21.6684,21.8385,64569,0
CSNR.US,D,20250408,000000,22.121,22.121,21.315,21.3509,2610,0
CSNR.US,D,20250409,000000,21.3277,23.09,21.3277,22.954,23284,0
CSNR.US,D,20250410,000000,22.15,22.44,22.04,22.2961,1440,0
CSNR.US,D,20250411,000000,22.71,23.24,22.6499,23.1776,3836,0
CSNR.US,D,20250414,000000,23.46,23.49,23.22,23.4036,2735,0
CSNR.US,D,20250415,000000,23.5,23.5,23.37,23.37,2627,0
CSNR.US,D,20250416,000000,23.6708,23.675,23.4699,23.4932,1738,0
CSNR.US,D,20250417,000000,23.7299,23.91,23.67,23.7213,1290,0
CSNR.US,D,20250421,000000,23.67,23.67,23.29,23.5521,4669,0
CSNR.US,D,20250422,000000,23.895,23.96,23.895,23.9447,1502,0
CSNR.US,D,20250423,000000,24.32,24.32,23.995,24.0884,9053,0
CSNR.US,D,20250424,000000,24.43,24.46,24.4298,24.4298,1287,0
CSNR.US,D,20250425,000000,24.36,24.36,24.28,24.3553,1531,0
CSNR.US,D,20250428,000000,24.53,24.53,24.33,24.5184,1171,0
CSNR.US,D,20250429,000000,24.51,24.53,24.4721,24.4905,996,0
CSNR.US,D,20250430,000000,24.07,24.2176,24.06,24.2176,3625,0
CSNR.US,D,20250501,000000,24.32,24.34,24.266,24.266,1200,0
CSNR.US,D,20250502,000000,24.49,24.56,24.4899,24.5552,1501,0
CSNR.US,D,20250505,000000,24.49,24.51,24.4465,24.4465,1309,0
CSNR.US,D,20250506,000000,24.57,24.57,24.4652,24.5061,1777,0
CSNR.US,D,20250507,000000,24.5,24.5001,24.37,24.4124,1630,0
CSNR.US,D,20250508,000000,24.54,24.62,24.4872,24.5612,1808,0
CSNR.US,D,20250509,000000,24.71,24.8877,24.71,24.8877,1101,0
CSNR.US,D,20250512,000000,25.13,25.13,25.11,25.1236,2029,0
CSNR.US,D,20250513,000000,25.35,25.51,25.35,25.4823,1298,0
CSNR.US,D,20250514,000000,25.25,25.25,25.18,25.2237,1840,0
CSNR.US,D,20250515,000000,25.25,25.29,25.25,25.2862,954,0
CSNR.US,D,20250516,000000,25.17,25.3562,25.17,25.3562,3104,0
CSNR.US,D,20250519,000000,25.325,25.379,25.29,25.35,3867,0
CSNR.US,D,20250520,000000,25.46,25.54,25.46,25.5015,3760,0
CSNR.US,D,20250521,000000,25.4676,25.51,25.33,25.3363,3239,0
CSNR.US,D,20250522,000000,25.13,25.3,25.12,25.2142,1334,0
