<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGAP.US,D,20260427,000000,29.95,29.95,29.83,29.895,5306,0
DGAP.US,D,20260428,000000,29.865,29.93,29.865,29.88,48413,0
DGAP.US,D,20260429,000000,29.9,29.91,29.885,29.885,3513,0
DGAP.US,D,20260430,000000,29.92,29.985,29.9,29.985,452,0
DGAP.US,D,20260501,000000,30.06,30.06,30.0093,30.0093,200,0
DGAP.US,D,20260504,000000,30.04,30.04,29.925,29.925,951,0
DGAP.US,D,20260505,000000,30.0799,30.0799,30.065,30.065,600,0
DGAP.US,D,20260506,000000,30.095,30.1499,30.095,30.105,300,0
DGAP.US,D,20260507,000000,30.125,30.16,30.1,30.1,800,0
DGAP.US,D,20260508,000000,30.2,30.21,30.16,30.16,1004,0
DGAP.US,D,20260511,000000,30.23,30.2399,30.155,30.155,1400,0
DGAP.US,D,20260512,000000,30.175,30.175,30.115,30.115,500,0
DGAP.US,D,20260513,000000,30.18,30.18,30.17,30.17,448,0
DGAP.US,D,20260515,000000,30.15,30.19,30.15,30.155,3446,0
DGAP.US,D,20260518,000000,30.21,30.21,30.18,30.18,356,0
DGAP.US,D,20260520,000000,30.23,30.26,30.23,30.23,17689,0
DGAP.US,D,20260521,000000,30.19,30.26,30.19,30.23,550,0
DGAP.US,D,20260526,000000,30.4199,30.4199,30.36,30.4,2422,0
DGAP.US,D,20260527,000000,30.36,30.36,30.36,30.36,5199,0
DGAP.US,D,20260528,000000,30.4,30.4,30.375,30.375,322,0
DGAP.US,D,20260529,000000,30.49,30.5,30.435,30.435,1127,0
DGAP.US,D,20260601,000000,30.48,30.48,30.4207,30.4207,583,0
DGAP.US,D,20260602,000000,30.48,30.48,30.43,30.43,317,0
DGAP.US,D,20260604,000000,30.45,30.45,30.355,30.4107,456,0
DGAP.US,D,20260605,000000,30.41,30.41,30.2347,30.2347,723,0
DGAP.US,D,20260610,000000,30.18,30.18,30.1298,30.1298,200,0
DGAP.US,D,20260611,000000,30.17,30.2898,30.12,30.2898,3496,0
DGAP.US,D,20260612,000000,30.35,30.35,30.3098,30.3098,187,0
DGAP.US,D,20260615,000000,30.53,30.53,30.475,30.475,122,0
DGAP.US,D,20260618,000000,30.45,30.45,30.4,30.4,136,0
DGAP.US,D,20260624,000000,30.3996,30.3996,30.3,30.3,459,0
DGAP.US,D,20260625,000000,30.318,30.318,30.3147,30.3147,239,0
DGAP.US,D,20260626,000000,30.33,30.337,30.33,30.337,101,0
DGAP.US,D,20260629,000000,30.41,30.44,30.37,30.44,606,0
DGAP.US,D,20260630,000000,30.51,30.51,30.475,30.475,104,0
DGAP.US,D,20260701,000000,30.55,30.55,30.5,30.5,1436,0
DGAP.US,D,20260702,000000,30.49,30.49,30.475,30.4898,2135,0
DGAP.US,D,20260706,000000,30.52,30.58,30.52,30.57,24899,0
DGAP.US,D,20260707,000000,30.48,30.5348,30.47,30.5348,1508,0
DGAP.US,D,20260708,000000,30.62,30.62,30.45,30.4899,818,0
DGAP.US,D,20260709,000000,30.49,30.565,30.49,30.565,733,0
DGAP.US,D,20260710,000000,30.57,30.62,30.54,30.62,3304,0
DGAP.US,D,20260713,000000,30.52,30.56,30.51,30.56,900,0
DGAP.US,D,20260715,000000,30.6,30.67,30.59,30.6348,1526,0
DGAP.US,D,20260716,000000,30.66,30.66,30.56,30.6099,2252,0
DGAP.US,D,20260717,000000,30.55,30.57,30.5335,30.5335,1454,0
DGAP.US,D,20260721,000000,30.62,30.65,30.6048,30.6048,7540,0
DGAP.US,D,20260722,000000,30.67,30.67,30.6099,30.6099,208,0
DGAP.US,D,20260723,000000,30.53,30.535,30.4797,30.4797,5319,0
DGAP.US,D,20260724,000000,30.55,30.5993,30.53,30.5302,6464,0
DGAP.US,D,20260727,000000,30.5999,30.5999,30.53,30.5498,7244,0
DGAP.US,D,20260728,000000,30.5893,30.61,30.5843,30.5843,719,0
DGAP.US,D,20260729,000000,30.615,30.615,30.4886,30.4886,3048,0
DGAP.US,D,20260730,000000,30.62,30.64,30.6025,30.6025,854,0
DGAP.US,D,20260804,000000,30.9,30.9,30.8643,30.8643,421,0
DGAP.US,D,20260814,000000,30.96,30.96,30.96,30.96,261,0
DGAP.US,D,20260818,000000,30.99,30.99,30.85,30.92,3559,0
DGAP.US,D,20260819,000000,30.9,30.9498,30.89,30.9498,1575,0
DGAP.US,D,20260820,000000,30.88,30.9233,30.86,30.9233,45444,0
DGAP.US,D,20260821,000000,30.91,30.96,30.89,30.96,12520,0
