<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETNG.US,D,20260515,000000,13.46,13.5886,13.46,13.5886,11487,0
ETNG.US,D,20260518,000000,12.12,13.5,11.98,12.3651,8051,0
ETNG.US,D,20260519,000000,11.76,11.92,11.55,11.7106,2956,0
ETNG.US,D,20260520,000000,11.79,12.3,11.79,12.189,5861,0
ETNG.US,D,20260521,000000,12.0481,12.48,12.0481,12.3042,6940,0
ETNG.US,D,20260522,000000,12.58,12.9575,12.54,12.9575,7451,0
ETNG.US,D,20260526,000000,14.02,14.31,13.54,13.77,30912,0
ETNG.US,D,20260527,000000,14,14,13.44,13.9078,16803,0
ETNG.US,D,20260528,000000,13,13.87,12.82,13.6244,12048,0
ETNG.US,D,20260529,000000,13.63,13.66,13.3283,13.57,12020,0
ETNG.US,D,20260601,000000,13.4,13.7,13.3,13.4836,18105,0
ETNG.US,D,20260602,000000,14.2499,14.72,14.02,14.7043,41143,0
ETNG.US,D,20260603,000000,14.98,15.24,14.48,15.0079,27044,0
ETNG.US,D,20260604,000000,14.365,14.7401,14.14,14.6859,19925,0
ETNG.US,D,20260605,000000,14.1,14.1,13,13.1178,8067,0
ETNG.US,D,20260608,000000,13.47,13.7101,13.44,13.6214,2437,0
ETNG.US,D,20260609,000000,13.87,14.0385,12.51,13.24,7744,0
ETNG.US,D,20260610,000000,13.9,13.9,11.75,11.7625,12845,0
ETNG.US,D,20260611,000000,11.885,12.86,11.885,12.86,18340,0
ETNG.US,D,20260612,000000,13.07,13.07,12.58,12.6876,13198,0
ETNG.US,D,20260615,000000,13.72,13.96,13.49,13.6757,21146,0
ETNG.US,D,20260616,000000,13.995,14.035,13.7259,13.7259,14642,0
ETNG.US,D,20260617,000000,14.24,14.35,13.84,13.8618,12384,0
ETNG.US,D,20260618,000000,14.6,14.86,14.54,14.68,9647,0
ETNG.US,D,20260622,000000,14.85,15.67,14.8,15.67,33376,0
ETNG.US,D,20260623,000000,13.45,14.15,13.45,13.5261,26700,0
ETNG.US,D,20260624,000000,13.3,13.725,13.2001,13.405,14838,0
ETNG.US,D,20260625,000000,14.27,14.7304,13.98,14.2915,10839,0
ETNG.US,D,20260626,000000,13.4103,13.6318,12.9,13.2299,14097,0
ETNG.US,D,20260629,000000,13.77,13.77,13.07,13.54,15963,0
ETNG.US,D,20260630,000000,14,14.79,14,14.74,15258,0
ETNG.US,D,20260701,000000,13.39,14.47,13.39,13.76,13612,0
ETNG.US,D,20260702,000000,13.56,13.71,12.405,12.7999,9880,0
ETNG.US,D,20260706,000000,13.75,13.83,13.64,13.728,6762,0
ETNG.US,D,20260707,000000,12.44,12.631,12.08,12.631,10166,0
ETNG.US,D,20260708,000000,12.71,12.89,12.37,12.8044,10973,0
ETNG.US,D,20260709,000000,13.75,13.75,13.08,13.209,4635,0
ETNG.US,D,20260710,000000,12.965,13.49,12.965,13.2833,1367,0
ETNG.US,D,20260713,000000,13.41,13.41,12.64,12.9596,16016,0
ETNG.US,D,20260714,000000,13.785,13.8098,13.34,13.8098,11573,0
ETNG.US,D,20260715,000000,13.84,13.84,12.98,13.6024,3427,0
ETNG.US,D,20260716,000000,13.28,13.34,12.2,12.5248,20335,0
ETNG.US,D,20260717,000000,11.8805,12.94,11.8805,12.8125,11453,0
ETNG.US,D,20260720,000000,12.87,13.1659,12.7898,12.7898,6302,0
ETNG.US,D,20260721,000000,13.07,13.22,12.87,12.8967,3484,0
ETNG.US,D,20260722,000000,13.0999,13.2499,13.09,13.09,2514,0
ETNG.US,D,20260723,000000,13.5195,13.6205,13.5195,13.6205,612,0
ETNG.US,D,20260724,000000,13.4501,13.5,12.8935,12.8935,1491,0
ETNG.US,D,20260727,000000,12.68,12.68,11.92,12.5761,9225,0
ETNG.US,D,20260728,000000,11.38,11.92,11.19,11.832,6389,0
ETNG.US,D,20260729,000000,11.4801,11.4801,10.2033,10.3518,12202,0
ETNG.US,D,20260730,000000,11.44,11.8594,11.4,11.7832,9408,0
ETNG.US,D,20260731,000000,13.34,13.6,12.2401,13.42,13293,0
ETNG.US,D,20260803,000000,12.91,15.7799,12.91,14.85,13365,0
ETNG.US,D,20260804,000000,15.4599,15.4599,14.77,15.28,8728,0
ETNG.US,D,20260805,000000,15.81,15.925,15.5546,15.5546,5626,0
ETNG.US,D,20260806,000000,15.625,16.1,15.47,15.47,4282,0
ETNG.US,D,20260807,000000,16.39,16.39,15.6412,15.6412,3411,0
ETNG.US,D,20260810,000000,15.57,15.7006,15.37,15.37,5436,0
ETNG.US,D,20260811,000000,16.12,16.49,16.12,16.3834,3725,0
ETNG.US,D,20260812,000000,17.28,17.28,16.4289,16.4289,10596,0
ETNG.US,D,20260813,000000,16.19,16.29,15.88,15.9731,15002,0
ETNG.US,D,20260814,000000,16.02,16.14,15.8532,15.8532,12813,0
ETNG.US,D,20260817,000000,15.69,16.1711,15.69,16.1711,15762,0
ETNG.US,D,20260818,000000,14.94,14.96,14.26,14.3338,15070,0
ETNG.US,D,20260819,000000,14.01,14.01,13.42,13.8439,2578,0
ETNG.US,D,20260820,000000,13.66,13.66,13.3,13.3,3471,0
ETNG.US,D,20260821,000000,13.56,13.665,13.51,13.5704,3743,0
ETNG.US,D,20260824,000000,13.51,13.51,12.74,12.8137,10374,0
