<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCAL.US,D,20240731,000000,50.25,50.29,50.24,50.29,3755,0
GCAL.US,D,20240801,000000,50.4,50.435,50.4,50.435,860,0
GCAL.US,D,20240805,000000,50.87,50.87,50.87,50.87,627,0
GCAL.US,D,20240806,000000,50.7,50.72,50.7,50.72,301,0
GCAL.US,D,20240807,000000,50.67,50.67,50.6,50.6,1306,0
GCAL.US,D,20240808,000000,50.48,50.48,50.465,50.465,216,0
GCAL.US,D,20240809,000000,50.52,50.53,50.52,50.53,356,0
GCAL.US,D,20240812,000000,50.55,50.55,50.55,50.55,31,0
GCAL.US,D,20240813,000000,50.5692,50.5692,50.565,50.565,100,0
GCAL.US,D,20240814,000000,50.64,50.64,50.64,50.64,23,0
GCAL.US,D,20240815,000000,50.48,50.6,50.48,50.55,7018,0
GCAL.US,D,20240816,000000,50.61,50.63,50.61,50.63,356,0
GCAL.US,D,20240819,000000,50.53,50.56,50.53,50.56,400,0
GCAL.US,D,20240820,000000,50.61,50.61,50.6,50.6,408,0
GCAL.US,D,20240821,000000,50.655,50.655,50.655,50.655,1,0
GCAL.US,D,20240822,000000,50.61,50.63,50.61,50.63,375,0
GCAL.US,D,20240823,000000,50.66,50.72,50.66,50.72,1712,0
GCAL.US,D,20240826,000000,50.71,50.71,50.71,50.71,425,0
GCAL.US,D,20240827,000000,50.645,50.77,50.645,50.765,350,0
GCAL.US,D,20240828,000000,50.69,50.74,50.69,50.72,915,0
GCAL.US,D,20240829,000000,50.66,50.66,50.66,50.66,8,0
GCAL.US,D,20240830,000000,50.69,50.74,50.69,50.715,7635,0
GCAL.US,D,20240903,000000,50.64,50.66,50.64,50.66,375,0
GCAL.US,D,20240904,000000,50.66,50.715,50.66,50.715,1165,0
GCAL.US,D,20240905,000000,50.75,50.75,50.725,50.725,302,0
GCAL.US,D,20240906,000000,50.79,50.87,50.7899,50.81,2501,0
GCAL.US,D,20240909,000000,50.87,50.87,50.87,50.87,46,0
GCAL.US,D,20240910,000000,50.93,50.95,50.93,50.95,455,0
GCAL.US,D,20240911,000000,50.93,50.95,50.92,50.92,1149,0
GCAL.US,D,20240912,000000,50.945,50.945,50.945,50.945,23,0
GCAL.US,D,20240913,000000,51.02,51.02,51.02,51.02,23,0
GCAL.US,D,20240916,000000,51.04,51.065,51.04,51.065,384,0
GCAL.US,D,20240917,000000,51.03,51.05,51.03,51.05,375,0
GCAL.US,D,20240918,000000,51,51.025,51,51.025,375,0
