<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GISC.US,D,20260615,000000,50.13,50.13,50.09,50.09,22313,0
GISC.US,D,20260616,000000,50.13,50.245,50.13,50.24,32055,0
GISC.US,D,20260617,000000,50.15,50.18,50.105,50.105,26936,0
GISC.US,D,20260618,000000,50.16,50.255,50.15,50.21,13695,0
GISC.US,D,20260622,000000,50.13,50.2,50.13,50.155,15873,0
GISC.US,D,20260623,000000,50.15,50.2,50.15,50.16,22847,0
GISC.US,D,20260624,000000,50.14,50.23,50.14,50.21,19233,0
GISC.US,D,20260625,000000,50.24,50.24,50.24,50.24,301,0
GISC.US,D,20260626,000000,50.245,50.26,50.245,50.245,1425,0
GISC.US,D,20260629,000000,50.26,50.275,50.23,50.255,18039,0
GISC.US,D,20260630,000000,50.28,50.28,50.2502,50.2502,3266,0
GISC.US,D,20260701,000000,50.2,50.2,50.2,50.2,1030,0
GISC.US,D,20260702,000000,50.24,50.24,50.235,50.24,846,0
GISC.US,D,20260706,000000,50.25,50.27,50.24,50.26,1253,0
GISC.US,D,20260707,000000,50.26,50.265,50.19,50.19,1646,0
GISC.US,D,20260708,000000,50.15,50.16,50.15,50.16,310,0
GISC.US,D,20260709,000000,50.18,50.1908,50.18,50.1908,3386,0
GISC.US,D,20260710,000000,50.2,50.2399,50.2,50.225,5673,0
GISC.US,D,20260713,000000,50.175,50.179,50.165,50.179,2175,0
GISC.US,D,20260714,000000,50.2,50.21,50.2,50.21,218,0
GISC.US,D,20260715,000000,50.29,50.29,50.2,50.22,2569,0
GISC.US,D,20260716,000000,50.21,50.21,50.18,50.205,687,0
GISC.US,D,20260720,000000,50.19,50.22,50.19,50.22,20184,0
GISC.US,D,20260722,000000,50.21,50.21,50.155,50.155,2332,0
GISC.US,D,20260723,000000,50.35,50.36,50.08,50.1254,10581,0
GISC.US,D,20260724,000000,50.35,50.35,50.05,50.15,1829,0
GISC.US,D,20260727,000000,50.3,50.3,50.18,50.18,1501,0
GISC.US,D,20260728,000000,50.31,50.31,50.12,50.2,3126,0
GISC.US,D,20260729,000000,50.3,50.3,50.14,50.185,2884,0
GISC.US,D,20260730,000000,50.34,50.34,50.2295,50.2295,400,0
GISC.US,D,20260731,000000,50.32,50.32,50.19,50.2,1356,0
GISC.US,D,20260803,000000,50.34,50.34,50.23,50.2486,1752,0
GISC.US,D,20260804,000000,50.31,50.31,50.3,50.31,641,0
GISC.US,D,20260805,000000,50.01,50.04,50.01,50.0211,13255,0
GISC.US,D,20260806,000000,50.11,50.11,50,50,2420,0
GISC.US,D,20260807,000000,50.22,50.22,49.99,49.99,1786,0
GISC.US,D,20260810,000000,49.96,49.96,49.94,49.94,827,0
GISC.US,D,20260811,000000,49.97,49.97,49.955,49.955,148,0
GISC.US,D,20260812,000000,50.09,50.09,49.96,49.96,1065,0
GISC.US,D,20260813,000000,49.97,50,49.97,49.99,2493,0
GISC.US,D,20260814,000000,50.05,50.05,50.01,50.01,1229,0
GISC.US,D,20260817,000000,50,50,49.95,49.9652,5001,0
GISC.US,D,20260818,000000,49.99,49.99,49.97,49.98,1623,0
GISC.US,D,20260819,000000,50.13,50.16,49.99,50.15,12355,0
GISC.US,D,20260820,000000,50.19,50.19,49.985,50.17,19063,0
GISC.US,D,20260821,000000,49.99,50.03,49.89,50.01,8746,0
GISC.US,D,20260824,000000,50.12,50.12,50.03,50.032,2518,0
