<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOGL.US,D,20260629,000000,25.42,26.3884,25.42,26.3884,4187,0
GOGL.US,D,20260630,000000,26.54,26.99,26,26.9,4058,0
GOGL.US,D,20260701,000000,26.86,27.5095,26.86,27.5095,2241,0
GOGL.US,D,20260702,000000,27.78,27.78,26.31,27.2807,2275,0
GOGL.US,D,20260706,000000,27.05,28.3549,26.95,28.3549,2131,0
GOGL.US,D,20260707,000000,29.17,29.17,28.4275,28.4275,1508,0
GOGL.US,D,20260708,000000,27.74,27.74,27.02,27.5855,1482,0
GOGL.US,D,20260709,000000,26.715,27.072,26.15,27.072,1364,0
GOGL.US,D,20260710,000000,28.29,28.29,26.13,26.7959,1941,0
GOGL.US,D,20260713,000000,25.96,26.46,25.96,26.0725,393,0
GOGL.US,D,20260714,000000,26.34,27.1083,26.34,27.1083,911,0
GOGL.US,D,20260715,000000,29.16,29.16,28.8309,28.8309,1504,0
GOGL.US,D,20260716,000000,28.9801,28.9801,26.1615,26.1615,1043,0
GOGL.US,D,20260717,000000,25.105,25.142,24.3899,25.142,4374,0
GOGL.US,D,20260720,000000,26.5,26.72,25.75,25.89,9983,0
GOGL.US,D,20260721,000000,25.5,25.5,25.02,25.02,7272,0
GOGL.US,D,20260722,000000,25.48,25.62,24.25,24.25,34232,0
GOGL.US,D,20260723,000000,21.69,21.7299,20.67,21.07,27867,0
GOGL.US,D,20260724,000000,21.42,21.58,20.97,21.1634,8205,0
GOGL.US,D,20260727,000000,22.23,22.42,22,22.0952,4977,0
GOGL.US,D,20260728,000000,22.59,23.24,22.04,22.9752,6489,0
GOGL.US,D,20260729,000000,22.9,23.95,22.84,23.29,2923,0
GOGL.US,D,20260730,000000,23.08,23.08,22.7,23.06,4866,0
GOGL.US,D,20260731,000000,24.29,26.31,24.04,26.13,24397,0
GOGL.US,D,20260803,000000,27.77,28.83,27.6049,28.6,11625,0
GOGL.US,D,20260804,000000,28,29.3,28,29.24,9602,0
GOGL.US,D,20260805,000000,30.055,30.055,26.145,26.8698,37254,0
GOGL.US,D,20260806,000000,26.83,27.01,25.9862,26.26,3985,0
GOGL.US,D,20260807,000000,26.25,26.25,25.65,25.7,4776,0
GOGL.US,D,20260810,000000,25.46,26.17,25.46,26.17,4195,0
GOGL.US,D,20260811,000000,25.77,25.77,24.08,24.12,17709,0
GOGL.US,D,20260812,000000,24.34,24.34,23.78,24.12,12533,0
GOGL.US,D,20260813,000000,24.66,24.66,24.185,24.39,6651,0
GOGL.US,D,20260814,000000,24.64,24.64,24.15,24.43,2528,0
GOGL.US,D,20260817,000000,24.28,24.28,23.94,24.063,3599,0
GOGL.US,D,20260818,000000,23.85,24.18,23.85,24.0905,5517,0
GOGL.US,D,20260819,000000,23.86,24.375,23.86,24.122,3336,0
GOGL.US,D,20260820,000000,23.9,23.9,23.32,23.5352,8838,0
GOGL.US,D,20260821,000000,24.31,24.31,23.75,24.16,10073,0
GOGL.US,D,20260824,000000,24.61,25.04,24.6,24.62,11818,0
