<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBMX.US,D,20260416,000000,25.03,25.03,25.03,25.03,5,0
IBMX.US,D,20260417,000000,25.205,25.205,25.19,25.19,794,0
IBMX.US,D,20260420,000000,25.2,25.2,25.175,25.175,5950,0
IBMX.US,D,20260421,000000,25.19,25.19,25.1799,25.1799,100,0
IBMX.US,D,20260424,000000,25.21,25.23,25.2049,25.2049,6970,0
IBMX.US,D,20260429,000000,25.12,25.15,25.0898,25.0898,4774,0
IBMX.US,D,20260506,000000,25.13,25.13,25.1248,25.1248,5947,0
IBMX.US,D,20260508,000000,25.16,25.16,25.135,25.135,150,0
IBMX.US,D,20260511,000000,25.12,25.12,25.115,25.115,3000,0
IBMX.US,D,20260513,000000,25.05,25.0999,25.005,25.005,1399,0
IBMX.US,D,20260515,000000,24.82,24.91,24.8,24.88,3201,0
IBMX.US,D,20260518,000000,24.84,24.855,24.84,24.855,250,0
IBMX.US,D,20260521,000000,24.8,24.83,24.76,24.8038,15353,0
IBMX.US,D,20260522,000000,24.82,24.845,24.82,24.845,745,0
IBMX.US,D,20260526,000000,24.9899,24.9899,24.945,24.945,171,0
IBMX.US,D,20260527,000000,25.048,25.048,25.0249,25.0249,104,0
IBMX.US,D,20260528,000000,24.96,25.08,24.96,25.0698,715,0
IBMX.US,D,20260529,000000,25.1,25.15,25.06,25.1302,2677,0
IBMX.US,D,20260601,000000,25.005,25.065,25.005,25.0401,470,0
IBMX.US,D,20260602,000000,25.11,25.11,25.0898,25.0898,120,0
IBMX.US,D,20260605,000000,25.07,25.1,25.07,25.0849,5099,0
IBMX.US,D,20260609,000000,25.08,25.14,25.08,25.105,12222,0
IBMX.US,D,20260610,000000,25.11,25.11,25.0498,25.0498,3057,0
IBMX.US,D,20260611,000000,25.05,25.0952,25.04,25.0952,13276,0
IBMX.US,D,20260612,000000,25.065,25.22,25.065,25.07,6903,0
IBMX.US,D,20260615,000000,25.12,25.13,25.1049,25.1049,500,0
IBMX.US,D,20260616,000000,25.12,25.1297,25.11,25.1297,423,0
IBMX.US,D,20260617,000000,25.14,25.17,25.1,25.15,5537,0
IBMX.US,D,20260622,000000,25.125,25.17,25.125,25.1349,2685,0
IBMX.US,D,20260623,000000,25.15,25.15,25.1,25.105,752,0
IBMX.US,D,20260624,000000,25.18,25.18,25.14,25.14,1486,0
IBMX.US,D,20260625,000000,25.1568,25.19,25.09,25.149,1288,0
IBMX.US,D,20260626,000000,25.135,25.1798,25.135,25.1798,182,0
IBMX.US,D,20260630,000000,25.13,25.1944,25.13,25.1944,1088,0
IBMX.US,D,20260701,000000,25.1249,25.1249,25.1249,25.1249,24,0
IBMX.US,D,20260702,000000,25.12,25.18,25.12,25.16,3410,0
IBMX.US,D,20260706,000000,25.13,25.1601,25.13,25.1601,483,0
IBMX.US,D,20260707,000000,25.105,25.105,25,25.085,3720,0
IBMX.US,D,20260708,000000,25.06,25.06,25.03,25.0348,11089,0
IBMX.US,D,20260709,000000,25.0599,25.06,25.0101,25.0298,22307,0
IBMX.US,D,20260710,000000,25,25,24.9952,24.9952,335,0
IBMX.US,D,20260713,000000,24.98,25.1,24.98,24.9898,11508,0
IBMX.US,D,20260715,000000,24.97,24.97,24.935,24.935,3039,0
IBMX.US,D,20260716,000000,24.87,24.898,24.83,24.8651,3260,0
IBMX.US,D,20260717,000000,24.88,24.88,24.8451,24.8451,12275,0
IBMX.US,D,20260721,000000,24.78,24.79,24.7489,24.7489,1633,0
IBMX.US,D,20260722,000000,24.65,24.69,24.6399,24.6399,4814,0
IBMX.US,D,20260723,000000,24.42,24.48,24.3904,24.48,2116,0
IBMX.US,D,20260724,000000,24.39,24.53,24.39,24.465,2973,0
IBMX.US,D,20260728,000000,24.61,24.8,24.59,24.6,44039,0
IBMX.US,D,20260729,000000,24.6,24.6,24.5822,24.5822,370,0
IBMX.US,D,20260730,000000,24.52,24.52,24.495,24.5199,631,0
IBMX.US,D,20260731,000000,24.4899,24.52,24.4857,24.4857,1470,0
IBMX.US,D,20260803,000000,24.45,24.4799,24.4204,24.4699,2559,0
IBMX.US,D,20260804,000000,24.58,24.58,24.55,24.5652,978,0
IBMX.US,D,20260805,000000,24.59,24.6051,24.59,24.6051,878,0
IBMX.US,D,20260806,000000,24.59,24.5949,24.59,24.5949,802,0
IBMX.US,D,20260810,000000,24.65,24.67,24.6352,24.6352,1070,0
IBMX.US,D,20260811,000000,24.65,24.68,24.6402,24.6402,2211,0
IBMX.US,D,20260812,000000,24.68,24.72,24.6748,24.6748,4731,0
IBMX.US,D,20260813,000000,24.71,24.73,24.71,24.7198,4111,0
IBMX.US,D,20260814,000000,24.71,24.71,24.6798,24.6798,1426,0
IBMX.US,D,20260817,000000,24.65,24.65,24.591,24.591,2366,0
IBMX.US,D,20260818,000000,24.57,24.57,24.5,24.5299,699,0
IBMX.US,D,20260819,000000,24.6,24.605,24.6,24.605,997,0
IBMX.US,D,20260820,000000,24.67,24.67,24.5448,24.5448,746,0
IBMX.US,D,20260821,000000,24.53,24.53,24.52,24.52,413,0
