<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICL.US,D,20140924,000000,4.49744,4.60468,4.44684,4.5164,41397701,0
ICL.US,D,20140925,000000,4.48466,4.56657,4.44684,4.44684,3805674,0
ICL.US,D,20140926,000000,4.44684,4.54771,4.44684,4.54162,3766463,0
ICL.US,D,20140929,000000,4.47205,4.52257,4.44684,4.50989,7283420,0
ICL.US,D,20140930,000000,4.52909,4.56024,4.50989,4.56024,4058692,0
ICL.US,D,20141001,000000,4.54162,4.56024,4.52257,4.55414,3108830,0
ICL.US,D,20141002,000000,4.55414,4.56657,4.50385,4.53526,3992833,0
ICL.US,D,20141003,000000,4.52909,4.54771,4.52257,4.54162,1178823,0
ICL.US,D,20141006,000000,4.47205,4.47849,4.44684,4.4532,2253069,0
ICL.US,D,20141007,000000,4.42169,4.43424,4.365,4.3965,1667195,0
ICL.US,D,20141008,000000,4.41536,4.44039,4.34628,4.38401,986079,0
ICL.US,D,20141009,000000,4.38401,4.38401,4.27054,4.3269,1155096,0
ICL.US,D,20141010,000000,4.33971,4.33971,4.22604,4.27663,1299609,0
ICL.US,D,20141013,000000,4.32074,4.33971,4.24492,4.27054,1345530,0
ICL.US,D,20141014,000000,4.31448,4.3269,4.23873,4.27054,2275126,0
ICL.US,D,20141015,000000,4.29543,4.29543,4.19472,4.2135,1062149,0
ICL.US,D,20141016,000000,4.17568,4.25134,4.17568,4.2135,202260,0
ICL.US,D,20141017,000000,4.25134,4.27663,4.2135,4.25779,627338,0
ICL.US,D,20141020,000000,4.35229,4.3965,4.3269,4.365,1601560,0
ICL.US,D,20141021,000000,4.43424,4.49085,4.40901,4.49085,1887941,0
ICL.US,D,20141022,000000,4.49085,4.50989,4.44039,4.47205,957972,0
ICL.US,D,20141023,000000,4.44684,4.4532,4.365,4.37119,608952,0
ICL.US,D,20141024,000000,4.38401,4.45969,4.365,4.44039,675237,0
ICL.US,D,20141027,000000,4.37119,4.39021,4.35866,4.37119,523537,0
ICL.US,D,20141028,000000,4.40901,4.43424,4.38401,4.43424,275098,0
ICL.US,D,20141029,000000,4.41536,4.41536,4.33344,4.35866,178848,0
ICL.US,D,20141030,000000,4.28934,4.3016,4.25134,4.29543,629300,0
ICL.US,D,20141031,000000,4.28934,4.28934,4.2135,4.25779,486529,0
ICL.US,D,20141103,000000,4.33344,4.33344,4.25134,4.283,1278942,0
ICL.US,D,20141104,000000,4.27663,4.283,4.23249,4.26395,1189709,0
ICL.US,D,20141105,000000,4.33971,4.35866,4.30821,4.35866,648994,0
ICL.US,D,20141106,000000,4.37119,4.3965,4.35866,4.37752,208261,0
ICL.US,D,20141107,000000,4.35866,4.40901,4.35866,4.39021,582326,0
ICL.US,D,20141110,000000,4.365,4.37119,4.33344,4.35866,591696,0
ICL.US,D,20141111,000000,4.37752,4.44684,4.365,4.44684,862940,0
ICL.US,D,20141112,000000,4.42814,4.47205,4.42814,4.47205,548846,0
ICL.US,D,20141113,000000,4.44684,4.4532,4.42169,4.43424,232810,0
ICL.US,D,20141114,000000,4.3965,4.47205,4.3965,4.47205,274738,0
ICL.US,D,20141117,000000,4.45969,4.47205,4.41536,4.44039,201383,0
ICL.US,D,20141118,000000,4.44684,4.55414,4.42814,4.55414,2226011,0
ICL.US,D,20141119,000000,4.56657,4.64258,4.54771,4.59846,3752355,0
ICL.US,D,20141120,000000,4.55414,4.59205,4.49085,4.50989,822459,0
ICL.US,D,20141121,000000,4.52909,4.55414,4.50989,4.55414,517558,0
ICL.US,D,20141124,000000,4.44684,4.44684,4.3269,4.365,1201630,0
ICL.US,D,20141125,000000,4.365,4.39021,4.32074,4.32074,624669,0
ICL.US,D,20141126,000000,4.31448,4.45969,4.28934,4.33971,480209,0
ICL.US,D,20141128,000000,4.29543,4.33344,4.29543,4.31448,122317,0
ICL.US,D,20141201,000000,4.25572,4.28136,4.21725,4.24295,381895,0
ICL.US,D,20141202,000000,4.06356,4.16633,4.05103,4.14056,1051512,0
ICL.US,D,20141203,000000,4.15999,4.21725,4.15999,4.20455,492770,0
ICL.US,D,20141204,000000,4.17917,4.30698,4.16633,4.26216,692006,0
ICL.US,D,20141205,000000,4.25572,4.35173,4.25572,4.25572,308720,0
ICL.US,D,20141208,000000,4.24937,4.30698,4.24295,4.30048,654840,0
ICL.US,D,20141209,000000,4.31985,4.39021,4.29405,4.38392,454357,0
ICL.US,D,20141210,000000,4.46075,4.47344,4.42209,4.45432,1965193,0
ICL.US,D,20141211,000000,4.49899,4.53102,4.46075,4.49899,887262,0
ICL.US,D,20141212,000000,4.49248,4.56958,4.46075,4.55023,2571482,0
ICL.US,D,20141215,000000,4.57578,4.62068,4.53102,4.55659,771382,0
ICL.US,D,20141216,000000,4.55659,4.59497,4.51817,4.56958,395703,0
ICL.US,D,20141217,000000,4.61403,4.65257,4.55023,4.63997,880708,0
ICL.US,D,20141218,000000,4.69726,4.73582,4.66545,4.73582,544973,0
ICL.US,D,20141219,000000,4.76769,4.78046,4.72296,4.75501,631738,0
ICL.US,D,20141222,000000,4.72296,4.76769,4.67812,4.74851,392148,0
