<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFLN.US,D,20071115,000000,12.6423,12.6423,12.6423,12.6423,977.925,0
IFLN.US,D,20071116,000000,12.637,12.637,12.606,12.6189,1595.49,0
IFLN.US,D,20071119,000000,12.5216,12.5216,12.5216,12.5216,137.52,0
IFLN.US,D,20071126,000000,12.5756,12.5756,12.5756,12.5756,137.52,0
IFLN.US,D,20071127,000000,12.6189,12.6189,12.6189,12.6189,43131.8,0
IFLN.US,D,20071128,000000,12.6941,12.6941,12.6941,12.6941,6986.81,0
IFLN.US,D,20071129,000000,12.6673,12.6941,12.6673,12.6941,407.468,0
IFLN.US,D,20071130,000000,12.6673,12.6673,12.6673,12.6673,19977.4,0
IFLN.US,D,20071203,000000,12.6423,12.6423,12.6423,12.6423,567.909,0
IFLN.US,D,20071204,000000,12.6941,12.6941,12.6941,12.6941,1799.23,0
IFLN.US,D,20071205,000000,13.3337,13.3337,12.7717,12.7717,1344.64,0
IFLN.US,D,20071206,000000,12.7717,12.7717,12.7717,12.7717,2998.71,0
IFLN.US,D,20071207,000000,12.8197,12.8197,12.8197,12.8197,137.52,0
IFLN.US,D,20071210,000000,12.8197,12.8197,12.8197,12.8197,567.909,0
IFLN.US,D,20071211,000000,12.8716,12.8716,12.8716,12.8716,4007.2,0
IFLN.US,D,20071212,000000,12.6189,12.6189,12.6189,12.6189,2606.52,0
IFLN.US,D,20071213,000000,12.7458,12.7458,12.6423,12.6423,2793.7,0
IFLN.US,D,20071214,000000,12.6189,12.6189,12.6189,12.6189,3384.53,0
IFLN.US,D,20071217,000000,12.4679,12.637,12.4641,12.637,6589.53,0
IFLN.US,D,20071218,000000,12.569,12.5756,12.5216,12.5756,4188.01,0
IFLN.US,D,20071219,000000,12.5216,12.5216,12.3976,12.3976,4188.01,0
IFLN.US,D,20071220,000000,12.6423,12.6423,12.5216,12.5216,6798.36,0
IFLN.US,D,20071221,000000,12.5756,12.5756,12.5756,12.5756,3196.08,0
IFLN.US,D,20071224,000000,12.6673,12.6673,12.4161,12.4161,4188.01,0
IFLN.US,D,20071226,000000,12.5216,12.5216,12.5044,12.5044,11982.1,0
