<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDZ.US,D,20260223,000000,24.95,24.95,24.7413,24.7413,2545,0
INDZ.US,D,20260224,000000,25.1,25.2,24.9903,24.9903,8157,0
INDZ.US,D,20260225,000000,25.095,25.13,25.05,25.0943,5184,0
INDZ.US,D,20260226,000000,24.98,25.045,24.98,25.0217,1699,0
INDZ.US,D,20260227,000000,24.76,26.99,24.64,24.84,8256,0
INDZ.US,D,20260302,000000,24.25,24.34,24.25,24.2561,2265,0
INDZ.US,D,20260303,000000,23.48,23.93,23.48,23.9142,7341,0
INDZ.US,D,20260304,000000,23.73,23.9,23.73,23.86,3096,0
INDZ.US,D,20260305,000000,23.88,23.94,23.64,23.8615,5492,0
INDZ.US,D,20260306,000000,24,24.0222,24,24.019,1218,0
INDZ.US,D,20260309,000000,23.69,23.965,23.69,23.945,1051,0
INDZ.US,D,20260311,000000,23.71,23.71,23.5689,23.5689,516,0
INDZ.US,D,20260312,000000,23.205,23.205,23.1211,23.1211,313,0
INDZ.US,D,20260313,000000,23.11,23.11,22.8572,22.8572,1048,0
INDZ.US,D,20260316,000000,23.04,23.04,22.958,22.958,273,0
INDZ.US,D,20260317,000000,23.02,23.02,22.9102,22.9102,105,0
INDZ.US,D,20260318,000000,22.99,22.99,22.616,22.616,593,0
INDZ.US,D,20260319,000000,22.7,22.9233,22.7,22.9233,504,0
INDZ.US,D,20260323,000000,22.595,22.855,22.595,22.6728,1271,0
INDZ.US,D,20260324,000000,21.64,21.6949,21.58,21.605,3014,0
INDZ.US,D,20260326,000000,22.37,22.37,22.0593,22.0593,641,0
INDZ.US,D,20260327,000000,21.69,21.69,21.5791,21.5791,132,0
INDZ.US,D,20260330,000000,21.3716,21.3716,21.283,21.283,648,0
INDZ.US,D,20260331,000000,21.67,21.9906,21.67,21.9906,1508,0
INDZ.US,D,20260402,000000,22.11,22.11,22.0685,22.0685,117,0
INDZ.US,D,20260406,000000,22.44,22.55,22.36,22.55,11799,0
INDZ.US,D,20260407,000000,22.41,22.4466,22.31,22.4466,3164,0
INDZ.US,D,20260408,000000,23.79,23.8293,23.5348,23.5348,12923,0
INDZ.US,D,20260409,000000,23.595,23.595,23.5788,23.5788,274,0
INDZ.US,D,20260410,000000,23.85,23.85,23.79,23.8062,915,0
INDZ.US,D,20260413,000000,23.68,23.89,23.59,23.8594,3448,0
INDZ.US,D,20260414,000000,24.1,24.14,24.06,24.11,1718,0
INDZ.US,D,20260415,000000,24.04,24.1523,24.04,24.1523,970,0
INDZ.US,D,20260416,000000,24.265,24.37,24.265,24.3688,5224,0
INDZ.US,D,20260417,000000,25.065,25.25,25.065,25.1047,2097,0
INDZ.US,D,20260420,000000,24.75,24.76,24.665,24.6865,1008,0
INDZ.US,D,20260421,000000,24.45,24.45,24.305,24.305,375,0
INDZ.US,D,20260422,000000,24.505,24.505,24.42,24.4464,619,0
INDZ.US,D,20260423,000000,24.46,24.46,24.16,24.3288,1462,0
INDZ.US,D,20260424,000000,24.22,24.2981,24.22,24.2981,2143,0
INDZ.US,D,20260427,000000,24.37,24.37,24.3,24.301,225,0
INDZ.US,D,20260429,000000,24.22,24.22,24.0521,24.0521,270,0
INDZ.US,D,20260430,000000,24.06,24.2389,24.06,24.2389,444,0
INDZ.US,D,20260504,000000,24.11,24.11,23.85,24.0076,21542,0
INDZ.US,D,20260506,000000,24.89,24.975,24.89,24.9749,4755,0
INDZ.US,D,20260507,000000,25.22,25.22,24.905,24.905,28192,0
INDZ.US,D,20260508,000000,24.79,24.91,24.79,24.8589,3144,0
INDZ.US,D,20260511,000000,24.39,24.39,24.2736,24.2736,2473,0
INDZ.US,D,20260512,000000,23.75,23.8298,23.625,23.8298,10974,0
INDZ.US,D,20260513,000000,23.85,23.9541,23.85,23.9541,3103,0
INDZ.US,D,20260514,000000,24.33,24.4157,24.33,24.4157,564,0
INDZ.US,D,20260519,000000,23.77,23.77,23.6754,23.6754,245,0
INDZ.US,D,20260522,000000,24.24,24.24,24.2372,24.2372,160,0
INDZ.US,D,20260526,000000,24.39,24.459,24.39,24.459,1027,0
INDZ.US,D,20260529,000000,24.57,24.6016,24.57,24.6016,167,0
INDZ.US,D,20260602,000000,24.19,24.2,24.16,24.16,3700,0
INDZ.US,D,20260603,000000,24,24,23.9955,23.9955,406,0
INDZ.US,D,20260604,000000,24.36,24.36,24.3573,24.3573,454,0
INDZ.US,D,20260605,000000,24.21,24.21,23.95,23.9628,4163,0
INDZ.US,D,20260608,000000,23.78,23.86,23.7507,23.7507,8222,0
INDZ.US,D,20260609,000000,24.01,24.0859,23.99,24.0859,4134,0
INDZ.US,D,20260615,000000,24.99,24.99,24.93,24.94,5920,0
INDZ.US,D,20260617,000000,25.21,25.21,24.8274,24.8274,101,0
INDZ.US,D,20260622,000000,25.46,25.49,25.46,25.49,744,0
INDZ.US,D,20260623,000000,25.2199,25.2199,25.1524,25.1524,127,0
INDZ.US,D,20260624,000000,25.13,25.2151,25.13,25.2151,201,0
INDZ.US,D,20260625,000000,25.14,25.14,25.03,25.0534,332,0
