<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFQ-WS.US,D,20260701,000000,6.83,6.99,6.54,6.7,69605,0
INFQ-WS.US,D,20260702,000000,7.15,7.5,6.21,6.41,101765,0
INFQ-WS.US,D,20260706,000000,6.66,6.66,6.16,6.3,36063,0
INFQ-WS.US,D,20260707,000000,6.15,6.2499,5.71,5.89,62854,0
INFQ-WS.US,D,20260708,000000,5.65,6.1,5.65,5.91,26256,0
INFQ-WS.US,D,20260709,000000,6.15,6.15,5.76,6,40241,0
INFQ-WS.US,D,20260710,000000,6,6.005,5.6501,5.8099,26973,0
INFQ-WS.US,D,20260713,000000,5.65,5.65,4.9,4.995,75386,0
INFQ-WS.US,D,20260714,000000,5.33,5.36,5,5.35,37684,0
INFQ-WS.US,D,20260715,000000,5.3,5.3,4.59,4.74,95134,0
INFQ-WS.US,D,20260716,000000,4.77,4.77,4.1,4.25,52970,0
INFQ-WS.US,D,20260717,000000,4.28,4.52,4.165,4.29,25225,0
INFQ-WS.US,D,20260720,000000,4.5,4.5,4.1801,4.32,5162,0
INFQ-WS.US,D,20260721,000000,4.5,4.75,4.47,4.75,15494,0
INFQ-WS.US,D,20260722,000000,5.06,5.5,4.99,5.15,34884,0
INFQ-WS.US,D,20260723,000000,5.23,5.23,4.8,4.84,9514,0
INFQ-WS.US,D,20260724,000000,4.76,4.76,4.2,4.53,17320,0
INFQ-WS.US,D,20260727,000000,4.56,5.1,4.51,4.9,12247,0
INFQ-WS.US,D,20260728,000000,4.67,4.83,4.08,4.71,11157,0
INFQ-WS.US,D,20260729,000000,4.5001,4.75,4.2901,4.66,4763,0
INFQ-WS.US,D,20260730,000000,4.83,5.16,4.79,5.14,19643,0
INFQ-WS.US,D,20260731,000000,5.15,5.3,4.68,5.16,21050,0
INFQ-WS.US,D,20260803,000000,5.04,5.61,5,5.55,27475,0
INFQ-WS.US,D,20260804,000000,5.96,6,5.745,5.93,18849,0
INFQ-WS.US,D,20260805,000000,5.845,6.11,5.67,5.7,15127,0
INFQ-WS.US,D,20260806,000000,5.42,5.91,4.66,5.75,38318,0
INFQ-WS.US,D,20260807,000000,5.81,5.91,5.8,5.91,38222,0
INFQ-WS.US,D,20260810,000000,5.96,6.17,5.85,6.03,15115,0
INFQ-WS.US,D,20260811,000000,6.35,6.35,5.92,6.1,29276,0
INFQ-WS.US,D,20260812,000000,6.3,6.52,6.23,6.42,44659,0
INFQ-WS.US,D,20260813,000000,6.39,6.84,6.06,6.29,50798,0
INFQ-WS.US,D,20260814,000000,6.32,6.93,6.32,6.69,47599,0
INFQ-WS.US,D,20260817,000000,6.54,7.16,6.54,6.8,48575,0
INFQ-WS.US,D,20260818,000000,6.57,6.89,6.3301,6.66,36486,0
INFQ-WS.US,D,20260819,000000,6.62,6.71,5.82,6.61,45000,0
INFQ-WS.US,D,20260820,000000,6.48,6.495,5.9302,6.39,35518,0
INFQ-WS.US,D,20260821,000000,6.75,7.2,6.55,7.17,76070,0
INFQ-WS.US,D,20260824,000000,7.02,7.02,6.3995,6.56,35837,0
