<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISMF.US,D,20260701,000000,27.98,28.02,27.87,27.89,8146,0
ISMF.US,D,20260702,000000,27.9,27.9,27.74,27.7716,12599,0
ISMF.US,D,20260706,000000,27.95,27.95,27.86,27.9001,3140,0
ISMF.US,D,20260707,000000,27.99,28.06,27.97,28.06,3588,0
ISMF.US,D,20260708,000000,28.19,28.259,28.1501,28.1925,2042,0
ISMF.US,D,20260709,000000,28.125,28.2,28.07,28.117,3322,0
ISMF.US,D,20260710,000000,28.05,28.15,28,28.07,8708,0
ISMF.US,D,20260713,000000,27.98,28.05,27.8901,28.0153,4401,0
ISMF.US,D,20260714,000000,28.09,28.09,28.035,28.078,3987,0
ISMF.US,D,20260715,000000,28.08,28.08,27.8901,28.06,5116,0
ISMF.US,D,20260716,000000,28.06,28.08,27.95,28,8825,0
ISMF.US,D,20260717,000000,27.88,28.1,27.86,28.0303,9765,0
ISMF.US,D,20260720,000000,27.95,27.97,27.84,27.92,13280,0
ISMF.US,D,20260721,000000,28.13,28.13,28.0101,28.0392,12146,0
ISMF.US,D,20260722,000000,28.13,28.26,28.13,28.225,3213,0
ISMF.US,D,20260723,000000,28.27,28.33,28.2472,28.2713,2260,0
ISMF.US,D,20260724,000000,28.225,28.225,28.1149,28.1149,5758,0
ISMF.US,D,20260727,000000,28.16,28.16,28.04,28.04,7648,0
ISMF.US,D,20260728,000000,27.95,27.999,27.9,27.9484,3793,0
ISMF.US,D,20260729,000000,27.915,28.01,27.9,27.95,4927,0
ISMF.US,D,20260730,000000,27.93,27.95,27.7,27.8246,16697,0
ISMF.US,D,20260731,000000,28.05,28.0999,27.9976,28.088,7415,0
ISMF.US,D,20260803,000000,27.845,27.845,27.69,27.769,15488,0
ISMF.US,D,20260804,000000,27.83,28.01,27.81,27.9161,10003,0
ISMF.US,D,20260805,000000,27.975,28.04,27.9301,27.965,14928,0
ISMF.US,D,20260806,000000,27.81,27.96,27.81,27.955,4111,0
ISMF.US,D,20260807,000000,27.995,28.06,27.995,28.035,3887,0
ISMF.US,D,20260810,000000,28.15,28.24,28.1,28.1943,7216,0
ISMF.US,D,20260811,000000,28.3299,28.33,28.24,28.31,24552,0
ISMF.US,D,20260812,000000,28.285,28.34,28.22,28.22,4822,0
ISMF.US,D,20260813,000000,28.3,28.42,28.3,28.3861,18146,0
ISMF.US,D,20260814,000000,28.36,28.4,28.3,28.3702,8714,0
ISMF.US,D,20260817,000000,28.42,28.4313,28.405,28.4313,1819,0
ISMF.US,D,20260818,000000,28.46,28.46,28.2801,28.308,30191,0
ISMF.US,D,20260819,000000,28.265,28.31,28.1,28.1,15238,0
ISMF.US,D,20260820,000000,28.13,28.289,28.13,28.2331,3599,0
ISMF.US,D,20260821,000000,28.275,28.38,28.27,28.3207,3675,0
ISMF.US,D,20260824,000000,28.28,28.28,28.18,28.2463,1609,0
