<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITWO.US,D,20240906,000000,39.93,39.93,39.06,39.123,2455,0
ITWO.US,D,20240909,000000,39.36,39.4583,39.32,39.32,829,0
ITWO.US,D,20240910,000000,39.03,39.237,39.03,39.237,220,0
ITWO.US,D,20240911,000000,38.69,39.465,38.6,39.465,1286,0
ITWO.US,D,20240912,000000,39.3903,40,39.3903,39.9333,1147,0
ITWO.US,D,20240913,000000,41.97,41.97,40.5132,40.8598,911,0
ITWO.US,D,20240916,000000,40.94,41.12,40.94,41.0819,1332,0
ITWO.US,D,20240917,000000,41.59,41.81,41.45,41.45,3578,0
ITWO.US,D,20240918,000000,41.52,42.2899,41.4099,41.5506,4782,0
ITWO.US,D,20240919,000000,42.205,42.42,42.205,42.42,3009,0
ITWO.US,D,20240920,000000,42.06,42.26,41.95,42.0371,3744,0
ITWO.US,D,20240923,000000,42.02,42.02,41.8658,41.8658,1675,0
ITWO.US,D,20240924,000000,41.91,41.98,41.91,41.9632,534,0
ITWO.US,D,20240925,000000,41.7899,41.7899,41.4263,41.4263,4356,0
ITWO.US,D,20240926,000000,41.81,41.8135,41.67,41.76,7257,0
ITWO.US,D,20240927,000000,41.9805,42.2621,41.9805,41.9839,5285,0
ITWO.US,D,20240930,000000,42.1,42.17,42,42.1,4090,0
ITWO.US,D,20241001,000000,42.13,42.13,41.47,41.748,4991,0
ITWO.US,D,20241002,000000,41.49,41.62,41.41,41.453,3423,0
ITWO.US,D,20241003,000000,41.0804,41.1452,41.0804,41.1452,601,0
ITWO.US,D,20241004,000000,41.65,41.789,41.65,41.789,1907,0
ITWO.US,D,20241007,000000,41.5004,41.5004,41.4859,41.4859,358,0
ITWO.US,D,20241008,000000,41.49,41.5496,41.49,41.5496,175,0
ITWO.US,D,20241009,000000,41.66,41.66,41.568,41.6157,2480,0
ITWO.US,D,20241010,000000,41.33,41.3952,41.22,41.3952,1424,0
ITWO.US,D,20241011,000000,41.99,42.1868,41.9525,42.1868,1516,0
ITWO.US,D,20241014,000000,42.2,42.4879,42.2,42.4879,1232,0
ITWO.US,D,20241015,000000,42.39,42.794,42.39,42.5275,2218,0
ITWO.US,D,20241016,000000,43.009,43.1999,43.009,43.1977,1785,0
ITWO.US,D,20241017,000000,43.11,43.11,43,43.0544,2586,0
ITWO.US,D,20241018,000000,43.1296,43.1494,43.0284,43.0284,2608,0
ITWO.US,D,20241021,000000,43.05,43.05,42.305,42.305,3144,0
ITWO.US,D,20241022,000000,42.0412,42.23,42.0412,42.1681,1511,0
ITWO.US,D,20241023,000000,42.02,42.02,41.63,41.832,12792,0
ITWO.US,D,20241024,000000,41.8191,41.9355,41.79,41.9355,873,0
ITWO.US,D,20241025,000000,42.0589,42.0589,41.7107,41.7107,667,0
ITWO.US,D,20241028,000000,42.26,42.4316,42.26,42.4316,3609,0
ITWO.US,D,20241029,000000,42.15,42.2691,42.15,42.2691,554,0
ITWO.US,D,20241030,000000,42.55,42.55,42.2148,42.2148,731,0
ITWO.US,D,20241031,000000,42.08,42.08,41.5913,41.5913,2149,0
ITWO.US,D,20241104,000000,41.2514,41.2514,41.2514,41.2514,86,0
ITWO.US,D,20241105,000000,41.58,42.0283,41.58,42.0283,466,0
ITWO.US,D,20241106,000000,43.4583,43.5043,42.9014,43.0532,1971,0
ITWO.US,D,20241107,000000,43.1052,43.11,42.9616,42.9616,5971,0
ITWO.US,D,20241108,000000,43.08,43.36,43.0099,43.2644,11934,0
ITWO.US,D,20241111,000000,43.94,44.08,43.65,43.8966,14613,0
ITWO.US,D,20241112,000000,43.855,43.8966,43.15,43.15,8298,0
ITWO.US,D,20241113,000000,43.5991,43.5991,42.7685,42.7685,7779,0
ITWO.US,D,20241114,000000,42.52,44.2,42.1711,42.1711,2960,0
ITWO.US,D,20241115,000000,42.1567,42.1567,41.6,41.7002,6358,0
ITWO.US,D,20241118,000000,41.735,42.005,41.7049,41.7049,3560,0
ITWO.US,D,20241119,000000,41.655,42.04,41.655,42.0153,3592,0
ITWO.US,D,20241120,000000,41.92,41.9665,41.82,41.9665,6036,0
ITWO.US,D,20241121,000000,42.4,42.6378,42.4,42.6378,2637,0
ITWO.US,D,20241122,000000,43.17,43.57,42.81,43.4724,7470,0
ITWO.US,D,20241125,000000,43.91,44.36,43.91,44.1973,15750,0
ITWO.US,D,20241126,000000,43.9174,44.19,43.75,43.9353,18752,0
ITWO.US,D,20241127,000000,44.155,44.41,43.85,43.8549,8899,0
ITWO.US,D,20241129,000000,44.1393,44.16,43.56,44.1053,8454,0
ITWO.US,D,20241202,000000,43.6,44.54,43.19,43.4495,6077,0
ITWO.US,D,20241203,000000,43.53,43.555,43.1218,43.1239,10925,0
ITWO.US,D,20241204,000000,43.3316,43.39,43.1399,43.3396,5347,0
ITWO.US,D,20241205,000000,43.18,43.21,42.7901,42.7901,10100,0
ITWO.US,D,20241206,000000,43.1293,43.2,43.01,43.0877,8677,0
