<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBDC.US,D,20240522,000000,16.25,16.4,16,16.3,872878,0
KBDC.US,D,20240523,000000,16.3,16.325,16.14,16.2,130857,0
KBDC.US,D,20240524,000000,16.2,16.2598,16.01,16.1,79788,0
KBDC.US,D,20240528,000000,16.05,16.25,16,16.12,132664,0
KBDC.US,D,20240529,000000,16,16.25,15.94,16.03,132521,0
KBDC.US,D,20240530,000000,16,16.0851,15.85,15.98,125857,0
KBDC.US,D,20240531,000000,16.05,16.1,15.98,16,73281,0
KBDC.US,D,20240603,000000,16.05,16.17,16.0001,16.11,73992,0
KBDC.US,D,20240604,000000,16.06,16.17,16.0501,16.1,126141,0
KBDC.US,D,20240605,000000,16.02,16.0993,15.91,16,115279,0
KBDC.US,D,20240606,000000,15.92,16.07,15.92,16.01,113242,0
KBDC.US,D,20240607,000000,15.85,16.09,15.75,16.09,75834,0
KBDC.US,D,20240610,000000,15.82,16.2,15.82,16.18,64239,0
KBDC.US,D,20240611,000000,16.12,16.3,16.1001,16.3,91988,0
KBDC.US,D,20240612,000000,16.2,16.43,15.94,16.4,83102,0
KBDC.US,D,20240613,000000,16.42,16.43,15.92,16.13,140076,0
KBDC.US,D,20240614,000000,16,16.3,15.92,16.15,104086,0
KBDC.US,D,20240617,000000,16.08,16.34,16.01,16.34,207961,0
KBDC.US,D,20240618,000000,16.25,16.58,16.25,16.54,136121,0
KBDC.US,D,20240620,000000,16.5,16.6199,16.31,16.55,78522,0
KBDC.US,D,20240621,000000,16.53,16.55,16.3,16.35,25540,0
KBDC.US,D,20240624,000000,16.28,16.48,16.26,16.35,27672,0
KBDC.US,D,20240625,000000,16.35,16.42,16.27,16.42,24450,0
KBDC.US,D,20240626,000000,16.44,16.5,16.356,16.44,54107,0
KBDC.US,D,20240627,000000,16.33,16.41,16.3,16.4,48726,0
KBDC.US,D,20240628,000000,16.09,16.09,15.8314,15.95,115007,0
KBDC.US,D,20240701,000000,15.9207,16.02,15.8,15.96,66799,0
KBDC.US,D,20240702,000000,16.02,16.18,15.9014,16.18,34319,0
KBDC.US,D,20240703,000000,16.2,16.5,16.054,16.4,121838,0
KBDC.US,D,20240705,000000,16.3,16.3299,16.2,16.27,9191,0
KBDC.US,D,20240708,000000,16.3,16.36,16.25,16.32,16513,0
KBDC.US,D,20240709,000000,16.3,16.315,16.05,16.1,18695,0
KBDC.US,D,20240710,000000,16.13,16.15,15.95,15.95,45305,0
KBDC.US,D,20240711,000000,15.92,16.0252,15.91,15.91,23288,0
KBDC.US,D,20240712,000000,16,16.1,15.92,15.95,21318,0
KBDC.US,D,20240715,000000,15.99,16.06,15.84,15.99,43111,0
KBDC.US,D,20240716,000000,15.9,16.19,15.9,16.13,38835,0
KBDC.US,D,20240717,000000,16.1,16.19,16.07,16.11,28711,0
KBDC.US,D,20240718,000000,16.03,16.09,15.88,15.96,43719,0
KBDC.US,D,20240719,000000,15.95,16.2,15.95,16.15,41239,0
KBDC.US,D,20240722,000000,16.15,16.2,16.05,16.18,11518,0
KBDC.US,D,20240723,000000,16.1,16.25,15.81,16.18,60880,0
KBDC.US,D,20240724,000000,16.2,16.22,16,16.2,50944,0
KBDC.US,D,20240725,000000,16.24,16.24,15.95,16,98153,0
KBDC.US,D,20240726,000000,16,16.5,15.96,16.29,65067,0
KBDC.US,D,20240729,000000,16.27,16.33,16.19,16.23,39970,0
KBDC.US,D,20240730,000000,16.24,16.27,16.01,16.1,43925,0
KBDC.US,D,20240731,000000,16.05,16.5,16.01,16.31,41746,0
KBDC.US,D,20240801,000000,16.25,16.4,16.19,16.24,17486,0
