<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRSP.US,D,20251124,000000,10.4711,10.7,10.35,10.4,64203,0
KRSP.US,D,20251125,000000,10.35,10.45,10.35,10.41,7593,0
KRSP.US,D,20251126,000000,10.4,10.43,10.35,10.4,940,0
KRSP.US,D,20251128,000000,10.5,10.5,10.4001,10.5,1061,0
KRSP.US,D,20251201,000000,10.38,10.4,10.35,10.4,6180,0
KRSP.US,D,20251202,000000,10.44,10.5,10.44,10.5,2490,0
KRSP.US,D,20251205,000000,10.4,10.4,10.35,10.3619,2919,0
KRSP.US,D,20251208,000000,10.35,10.35,10.3,10.33,3279,0
KRSP.US,D,20251209,000000,10.32,10.32,10.32,10.32,205,0
KRSP.US,D,20251211,000000,10.33,10.36,10.33,10.36,29091,0
KRSP.US,D,20251212,000000,10.4,10.4,10.36,10.36,5407,0
KRSP.US,D,20251215,000000,10.36,10.36,10.36,10.36,31195,0
KRSP.US,D,20251216,000000,10.35,10.35,10.32,10.35,4219,0
KRSP.US,D,20251217,000000,10.33,10.34,10.32,10.34,14474,0
KRSP.US,D,20251218,000000,10.36,10.36,10.36,10.36,543,0
KRSP.US,D,20251219,000000,10.36,10.36,10.34,10.34,5178,0
KRSP.US,D,20251222,000000,10.33,10.5,10.29,10.3,13077,0
KRSP.US,D,20251223,000000,10.3,10.3,10.25,10.25,26278,0
KRSP.US,D,20251224,000000,10.27,10.29,10.26,10.28,27128,0
KRSP.US,D,20251226,000000,10.28,10.35,10.28,10.28,1068,0
KRSP.US,D,20251229,000000,10.2571,10.2571,10.21,10.22,9194,0
KRSP.US,D,20251230,000000,10.24,10.29,10.24,10.25,34338,0
KRSP.US,D,20260102,000000,10.27,10.41,10.27,10.35,14520,0
KRSP.US,D,20260105,000000,10.35,10.35,10.32,10.32,5189,0
KRSP.US,D,20260106,000000,10.35,10.35,10.32,10.32,244,0
KRSP.US,D,20260107,000000,10.42,10.42,10.37,10.37,1007,0
KRSP.US,D,20260108,000000,10.33,10.355,10.32,10.34,8684,0
KRSP.US,D,20260109,000000,10.4,10.43,10.35,10.37,6658,0
KRSP.US,D,20260113,000000,10.32,10.37,10.3,10.33,173789,0
KRSP.US,D,20260114,000000,10.32,10.38,10.3,10.38,45402,0
KRSP.US,D,20260115,000000,10.38,10.38,10.38,10.38,181,0
KRSP.US,D,20260116,000000,10.33,10.51,10.33,10.35,1426,0
KRSP.US,D,20260120,000000,10.34,10.39,10.32,10.39,19395,0
KRSP.US,D,20260121,000000,10.36,10.37,10.34,10.34,17188,0
KRSP.US,D,20260122,000000,10.4,10.55,10.4,10.45,10966,0
KRSP.US,D,20260123,000000,10.33,10.38,10.33,10.38,334,0
KRSP.US,D,20260126,000000,10.4,10.4,10.38,10.38,649,0
KRSP.US,D,20260127,000000,10.45,10.45,10.4,10.4,311,0
KRSP.US,D,20260128,000000,10.4,10.4,10.39,10.39,503448,0
KRSP.US,D,20260129,000000,10.42,10.42,10.37,10.37,212,0
KRSP.US,D,20260202,000000,10.37,10.39,10.35,10.36,22187,0
KRSP.US,D,20260203,000000,10.33,10.35,10.3,10.35,360399,0
KRSP.US,D,20260205,000000,10.33,10.34,10.32,10.34,271301,0
KRSP.US,D,20260209,000000,10.34,10.38,10.34,10.38,44620,0
KRSP.US,D,20260210,000000,10.38,10.38,10.33,10.33,55381,0
KRSP.US,D,20260212,000000,10.34,10.34,10.34,10.34,1025,0
KRSP.US,D,20260213,000000,10.34,10.34,10.34,10.34,1705,0
KRSP.US,D,20260217,000000,10.34,10.39,10.34,10.34,3077,0
KRSP.US,D,20260218,000000,10.35,10.35,10.35,10.35,1129,0
KRSP.US,D,20260219,000000,10.34,10.34,10.34,10.34,11550,0
KRSP.US,D,20260224,000000,10.33,10.33,10.32,10.32,15300,0
KRSP.US,D,20260225,000000,10.32,10.32,10.32,10.32,7800,0
KRSP.US,D,20260226,000000,10.3,10.3,10.3,10.3,75074,0
KRSP.US,D,20260227,000000,10.32,10.32,10.32,10.32,39473,0
KRSP.US,D,20260302,000000,10.32,10.34,10.3,10.34,2079,0
KRSP.US,D,20260303,000000,10.34,10.34,10.34,10.34,1257,0
KRSP.US,D,20260304,000000,10.31,10.38,10.3,10.33,4010,0
KRSP.US,D,20260305,000000,10.35,10.35,10.34,10.34,1963,0
KRSP.US,D,20260306,000000,10.31,10.39,10.31,10.39,1947,0
KRSP.US,D,20260309,000000,10.345,10.39,10.3,10.35,1313,0
KRSP.US,D,20260311,000000,10.32,10.32,10.3,10.32,277,0
KRSP.US,D,20260312,000000,10.3662,10.3662,10.33,10.33,917,0
KRSP.US,D,20260313,000000,10.3738,10.3738,10.3738,10.3738,1019,0
KRSP.US,D,20260317,000000,10.3,10.3,10.3,10.3,425,0
