<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRYP.US,D,20260204,000000,23.7992,23.8,23.0892,23.4781,5697,0
KRYP.US,D,20260205,000000,24.0195,24.0519,21.0012,21.29,4612,0
KRYP.US,D,20260206,000000,21.765,22.0807,21.765,22.0807,632,0
KRYP.US,D,20260209,000000,21.9,22.28,21.9,22.2355,3195,0
KRYP.US,D,20260210,000000,21.425,21.75,21.425,21.535,1219,0
KRYP.US,D,20260211,000000,21,21,20.5,20.9512,2545,0
KRYP.US,D,20260212,000000,20.52,20.52,20.4664,20.4664,547,0
KRYP.US,D,20260213,000000,21.565,21.565,20.97,21.517,476,0
KRYP.US,D,20260219,000000,20.73,21.13,20.73,21.0562,1495,0
KRYP.US,D,20260223,000000,20.375,20.98,20.3115,20.3115,800,0
KRYP.US,D,20260224,000000,20.12,20.2,20,20.0765,3048,0
KRYP.US,D,20260225,000000,21.2,22.2872,21.2,22.2872,1127,0
KRYP.US,D,20260226,000000,21.67,21.9021,21.5747,21.9021,673,0
KRYP.US,D,20260227,000000,20.73,21.09,20.73,20.9249,1586,0
KRYP.US,D,20260302,000000,21.16,22.12,20.7,21.7634,1265,0
KRYP.US,D,20260303,000000,21.48,21.48,21.3569,21.3569,730,0
KRYP.US,D,20260304,000000,22.15,22.73,22.048,22.6867,1508,0
KRYP.US,D,20260305,000000,22.31,22.39,22.11,22.1131,707,0
KRYP.US,D,20260306,000000,20.99,21.21,20.88,21.1126,1435,0
KRYP.US,D,20260310,000000,22.09,22.09,21.6475,21.6475,535,0
KRYP.US,D,20260311,000000,21.72,21.798,21.54,21.798,658,0
KRYP.US,D,20260312,000000,21.49,21.76,21.49,21.621,710,0
KRYP.US,D,20260313,000000,22.75,22.75,21.8991,21.8991,571,0
KRYP.US,D,20260316,000000,22.98,23.3191,22.98,23.3191,825,0
KRYP.US,D,20260317,000000,23.21,23.59,23.1,23.525,3055,0
KRYP.US,D,20260318,000000,22.57,22.59,22.1,22.1916,1975,0
KRYP.US,D,20260319,000000,21.78,21.8714,21.78,21.8714,174,0
KRYP.US,D,20260320,000000,21.86,21.9492,21.8599,21.9492,2354,0
KRYP.US,D,20260323,000000,22.07,22.39,21.97,21.9738,15383,0
