<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSTB.US,D,20260625,000000,25.175,25.2,25.1492,25.1492,4074,0
LSTB.US,D,20260626,000000,25.15,25.17,25.14,25.1498,2040592,0
LSTB.US,D,20260630,000000,25.1344,25.15,25.1,25.1,915,0
LSTB.US,D,20260701,000000,25.04,25.09,25.04,25.09,413,0
LSTB.US,D,20260708,000000,24.93,24.93,24.93,24.93,207,0
LSTB.US,D,20260710,000000,24.98,24.98,24.93,24.97,881,0
LSTB.US,D,20260713,000000,24.9,24.9,24.8733,24.8733,506,0
LSTB.US,D,20260720,000000,24.88,24.9054,24.88,24.9054,126,0
LSTB.US,D,20260721,000000,24.89,24.89,24.885,24.885,727,0
LSTB.US,D,20260722,000000,24.88,24.88,24.8198,24.8198,806,0
