<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLI.US,D,20050225,000000,3.00404,3.06397,3.00404,3.04012,1659705,0
MLI.US,D,20050228,000000,3.0222,3.0307,2.98733,3.01559,2750549,0
MLI.US,D,20050301,000000,3.0175,3.04132,2.99417,3.0222,1853874,0
MLI.US,D,20050302,000000,3.00853,3.02672,2.97457,3.00759,1648260,0
MLI.US,D,20050303,000000,3.00853,3.02102,2.97457,3.01847,1390401,0
MLI.US,D,20050304,000000,3.0196,3.05409,3.0196,3.05053,1970792,0
MLI.US,D,20050307,000000,3.05053,3.07695,3.02881,3.04628,2108579,0
MLI.US,D,20050308,000000,3.04628,3.04628,2.99417,3.00333,1330912,0
MLI.US,D,20050309,000000,2.99887,3.01466,2.9609,2.97056,1821505,0
MLI.US,D,20050310,000000,2.96467,2.96467,2.91065,2.91983,2850749,0
MLI.US,D,20050311,000000,2.90776,2.94579,2.89105,2.90946,2292307,0
MLI.US,D,20050314,000000,2.91109,2.93071,2.89294,2.91065,2163897,0
MLI.US,D,20050315,000000,2.91205,2.95518,2.85025,2.85615,2495840,0
MLI.US,D,20050316,000000,2.85916,2.86508,2.79833,2.84011,2279764,0
MLI.US,D,20050317,000000,2.83824,2.92079,2.83539,2.88421,2724463,0
MLI.US,D,20050318,000000,2.89294,2.89294,2.82947,2.84529,3249498,0
MLI.US,D,20050321,000000,2.84529,2.86394,2.80425,2.85025,1056368,0
MLI.US,D,20050322,000000,2.85566,2.87074,2.77853,2.78397,1696274,0
MLI.US,D,20050323,000000,2.79292,2.79292,2.68864,2.71956,4898776,0
MLI.US,D,20050324,000000,2.73015,2.77263,2.7054,2.72734,2290201,0
MLI.US,D,20050328,000000,2.72921,2.73891,2.68082,2.68582,2386251,0
MLI.US,D,20050329,000000,2.68368,2.71176,2.599,2.61481,3830928,0
MLI.US,D,20050330,000000,2.60115,2.6759,2.60115,2.6759,1673270,0
MLI.US,D,20050331,000000,2.66789,2.70655,2.65679,2.69763,2601271,0
MLI.US,D,20050401,000000,2.69763,2.71554,2.67218,2.67948,1634674,0
MLI.US,D,20050404,000000,2.68082,2.68438,2.65018,2.6785,2097100,0
MLI.US,D,20050405,000000,2.68864,2.70282,2.6554,2.6554,1610627,0
MLI.US,D,20050406,000000,2.66083,2.6924,2.64545,2.65794,2715065,0
MLI.US,D,20050407,000000,2.66268,2.71459,2.6554,2.70443,938424,0
MLI.US,D,20050408,000000,2.70614,2.70614,2.64384,2.64855,1273508,0
MLI.US,D,20050411,000000,2.64855,2.66268,2.60562,2.61571,1355964,0
MLI.US,D,20050412,000000,2.60562,2.67356,2.55373,2.65138,1448877,0
MLI.US,D,20050413,000000,2.65209,2.65209,2.58723,2.61054,2195210,0
MLI.US,D,20050414,000000,2.60889,2.61292,2.54147,2.5544,3480185,0
MLI.US,D,20050415,000000,2.5544,2.59003,2.44612,2.45415,2061616,0
MLI.US,D,20050418,000000,2.46217,2.511,2.44379,2.4907,2007307,0
MLI.US,D,20050419,000000,2.60115,2.64002,2.58815,2.63679,3151358,0
MLI.US,D,20050420,000000,2.63679,2.63679,2.53411,2.56244,2643024,0
MLI.US,D,20050421,000000,2.57704,2.599,2.53788,2.56741,1839258,0
MLI.US,D,20050422,000000,2.57232,2.58552,2.50607,2.54805,1845515,0
MLI.US,D,20050425,000000,2.55748,2.59142,2.53411,2.56337,1795415,0
MLI.US,D,20050426,000000,2.56244,2.56643,2.48648,2.50251,1923808,0
MLI.US,D,20050427,000000,2.49282,2.50318,2.44305,2.48861,2353874,0
MLI.US,D,20050428,000000,2.48319,2.50318,2.44801,2.44801,2226506,0
MLI.US,D,20050429,000000,2.45746,2.48319,2.44305,2.48032,1549077,0
MLI.US,D,20050502,000000,2.48554,2.51854,2.4676,2.51854,1078301,0
MLI.US,D,20050503,000000,2.51854,2.53508,2.48554,2.50775,2069941,0
MLI.US,D,20050504,000000,2.51387,2.56834,2.51218,2.56834,1280795,0
MLI.US,D,20050505,000000,2.57232,2.58461,2.52942,2.56643,2156594,0
MLI.US,D,20050506,000000,2.58177,2.59311,2.56337,2.58014,666992,0
MLI.US,D,20050509,000000,2.58626,2.59142,2.54805,2.58626,887256,0
MLI.US,D,20050510,000000,2.55748,2.56741,2.54147,2.55087,1539658,0
MLI.US,D,20050511,000000,2.64664,2.64736,2.54737,2.59142,4069974,0
MLI.US,D,20050512,000000,2.59003,2.59003,2.46687,2.47987,4218176,0
MLI.US,D,20050513,000000,2.48319,2.50064,2.37135,2.40153,1850746,0
MLI.US,D,20050516,000000,2.40249,2.42823,2.40083,2.40393,1628396,0
MLI.US,D,20050517,000000,2.40462,2.42349,2.38009,2.40153,2863288,0
MLI.US,D,20050518,000000,2.40887,2.54261,2.40887,2.5235,2169098,0
MLI.US,D,20050519,000000,2.52044,2.55653,2.50607,2.53718,1991669,0
MLI.US,D,20050520,000000,2.53718,2.53718,2.4907,2.51854,843455,0
MLI.US,D,20050523,000000,2.51854,2.5919,2.51004,2.57543,1525047,0
MLI.US,D,20050524,000000,2.57704,2.58815,2.55748,2.58626,1596045,0
MLI.US,D,20050525,000000,2.58626,2.58626,2.52138,2.56525,2108579,0
MLI.US,D,20050526,000000,2.57232,2.61054,2.57139,2.59995,1077266,0
MLI.US,D,20050527,000000,2.59003,2.61198,2.57305,2.60394,610648,0
MLI.US,D,20050531,000000,2.60394,2.60889,2.56741,2.58626,1571005,0
MLI.US,D,20050601,000000,2.59639,2.63272,2.58911,2.61571,1052202,0
MLI.US,D,20050602,000000,2.6169,2.63459,2.60777,2.62073,882042,0
MLI.US,D,20050603,000000,2.62137,2.64384,2.58177,2.60777,688942,0
MLI.US,D,20050606,000000,2.60562,2.61789,2.57305,2.60489,1244255,0
MLI.US,D,20050607,000000,2.60205,2.65138,2.60205,2.62377,1817322,0
MLI.US,D,20050608,000000,2.62572,2.64384,2.58014,2.58177,1064702,0
MLI.US,D,20050609,000000,2.58272,2.58272,2.5235,2.56053,776603,0
MLI.US,D,20050610,000000,2.56337,2.62991,2.56337,2.62003,1020884,0
MLI.US,D,20050613,000000,2.61571,2.62003,2.55748,2.61571,773487,0
MLI.US,D,20050614,000000,2.61054,2.61571,2.58343,2.60889,1624242,0
