<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMAY.US,D,20260504,000000,32.0592,32.06,31.95,31.96,5406,0
MMAY.US,D,20260506,000000,32.28,32.28,32.27,32.27,100,0
MMAY.US,D,20260507,000000,32.27,32.28,32.27,32.2753,1800,0
MMAY.US,D,20260515,000000,32.305,32.3804,32.305,32.3804,155,0
MMAY.US,D,20260518,000000,32.34,32.35,32.335,32.335,5930,0
MMAY.US,D,20260519,000000,32.36,32.36,32.29,32.29,300,0
MMAY.US,D,20260527,000000,32.58,32.58,32.58,32.58,4775,0
MMAY.US,D,20260604,000000,32.67,32.77,32.67,32.73,14150,0
MMAY.US,D,20260605,000000,32.57,32.57,32.389,32.389,1233,0
MMAY.US,D,20260609,000000,32.46,32.46,32.13,32.365,765,0
MMAY.US,D,20260610,000000,32.39,32.39,32.1694,32.1694,952,0
MMAY.US,D,20260611,000000,32.2,32.41,32.2,32.41,310,0
MMAY.US,D,20260615,000000,32.77,32.77,32.735,32.735,100,0
MMAY.US,D,20260616,000000,32.74,32.74,32.6996,32.6996,100,0
MMAY.US,D,20260617,000000,32.54,32.54,32.4649,32.4649,100,0
MMAY.US,D,20260618,000000,32.64,32.64,32.631,32.631,100,0
MMAY.US,D,20260622,000000,32.65,32.65,32.595,32.595,297,0
MMAY.US,D,20260623,000000,32.46,32.46,32.4248,32.4248,139,0
MMAY.US,D,20260625,000000,32.44,32.44,32.415,32.415,4063,0
MMAY.US,D,20260629,000000,32.55,32.5666,32.55,32.5666,106,0
MMAY.US,D,20260630,000000,32.68,32.68,32.68,32.68,112,0
MMAY.US,D,20260701,000000,32.6773,32.6773,32.6773,32.6773,6,0
MMAY.US,D,20260702,000000,32.62,32.6414,32.62,32.6414,107,0
MMAY.US,D,20260723,000000,32.57,32.62,32.57,32.5848,206,0
MMAY.US,D,20260728,000000,32.74,32.74,32.705,32.705,106,0
MMAY.US,D,20260731,000000,32.77,32.8593,32.77,32.8593,906,0
MMAY.US,D,20260803,000000,33,33.03,33,33.03,116,0
