<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPLY.US,D,20260309,000000,28.835,28.835,28.835,28.835,100,0
MPLY.US,D,20260310,000000,29.3594,29.36,29.34,29.36,703,0
MPLY.US,D,20260311,000000,29.2,29.2,29.15,29.15,324,0
MPLY.US,D,20260312,000000,28.725,28.8099,28.725,28.74,1030,0
MPLY.US,D,20260316,000000,28.715,28.74,28.67,28.67,1950,0
MPLY.US,D,20260317,000000,28.85,28.85,28.85,28.85,174,0
MPLY.US,D,20260318,000000,28.565,28.626,28.32,28.38,4703,0
MPLY.US,D,20260319,000000,28.13,28.25,27.95,27.95,1860,0
MPLY.US,D,20260320,000000,27.895,27.895,27.89,27.89,222,0
MPLY.US,D,20260323,000000,28.21,28.21,28.2099,28.2099,398,0
MPLY.US,D,20260324,000000,27.96,27.96,27.89,27.89,623,0
MPLY.US,D,20260326,000000,27.69,27.69,27.69,27.69,196,0
MPLY.US,D,20260327,000000,27.44,27.44,26.92,26.92,2558,0
MPLY.US,D,20260701,000000,32.04,32.04,31.72,31.72,3110,0
MPLY.US,D,20260702,000000,31.92,31.92,31.54,31.6525,4240,0
MPLY.US,D,20260706,000000,31.95,32.0105,31.6568,32,3501,0
MPLY.US,D,20260707,000000,31.8201,31.8201,31.7134,31.7134,531,0
MPLY.US,D,20260708,000000,31.52,31.7354,31.52,31.7354,585,0
MPLY.US,D,20260709,000000,33.79,33.79,31.7299,32.0115,1884,0
MPLY.US,D,20260710,000000,32.25,32.25,32.07,32.1234,887,0
MPLY.US,D,20260713,000000,32.04,32.2,31.69,31.73,6003,0
MPLY.US,D,20260714,000000,31.75,31.885,31.705,31.8289,4686,0
MPLY.US,D,20260715,000000,31.76,32.18,31.76,32.1768,4190,0
MPLY.US,D,20260716,000000,32.24,32.24,31.8456,31.8456,3776,0
MPLY.US,D,20260717,000000,31.48,31.48,31.29,31.3655,18014,0
MPLY.US,D,20260720,000000,31.4488,31.53,31.2752,31.2752,16911,0
MPLY.US,D,20260721,000000,31.45,31.61,31.45,31.5293,24853,0
MPLY.US,D,20260722,000000,31.61,31.61,31.3322,31.3322,5500,0
MPLY.US,D,20260723,000000,30.96,30.96,30.47,30.6277,3798,0
MPLY.US,D,20260724,000000,30.84,30.84,30.5,30.56,7117,0
MPLY.US,D,20260727,000000,31.08,31.08,30.465,30.5588,2135,0
MPLY.US,D,20260728,000000,30.65,30.79,30.35,30.6937,14522,0
MPLY.US,D,20260729,000000,30.74,30.74,30.1796,30.1796,3687,0
MPLY.US,D,20260730,000000,30.82,30.855,30.55,30.84,3077,0
MPLY.US,D,20260731,000000,30.67,31.2304,30.67,31.2304,3021,0
MPLY.US,D,20260803,000000,31.24,31.88,31.24,31.88,7030,0
MPLY.US,D,20260804,000000,32.92,32.92,32.18,32.5537,2797,0
MPLY.US,D,20260805,000000,32.61,32.83,32.26,32.2676,3774,0
MPLY.US,D,20260806,000000,33.81,33.81,32.25,32.329,3623,0
MPLY.US,D,20260807,000000,33.78,33.78,32.5999,32.7581,21916,0
MPLY.US,D,20260810,000000,32.05,32.84,32.05,32.8,8379,0
MPLY.US,D,20260811,000000,33.2,33.2,32.52,32.5513,4758,0
MPLY.US,D,20260812,000000,33.46,33.46,32.65,32.65,3622,0
MPLY.US,D,20260813,000000,32.6,32.93,32.6,32.8607,2239,0
MPLY.US,D,20260814,000000,33.2,33.2,32.61,32.6381,2063,0
MPLY.US,D,20260817,000000,32.6,32.6501,32.4967,32.4967,1394,0
MPLY.US,D,20260818,000000,32.28,32.34,32.2222,32.2222,1827,0
MPLY.US,D,20260819,000000,32.35,32.365,32.2712,32.2712,1277,0
MPLY.US,D,20260820,000000,32.8,32.8,31.9225,31.9225,9283,0
MPLY.US,D,20260821,000000,32.075,32.1447,32.075,32.1447,996,0
MPLY.US,D,20260824,000000,32.03,32.035,32.0162,32.0162,770,0
