<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMAX.US,D,20250401,000000,125.98,265,114.22,233,11417874,0
NMAX.US,D,20250402,000000,176.16,177.01,46,52.52,10320591,0
NMAX.US,D,20250403,000000,45.48,75.45,40,62.12,11059750,0
NMAX.US,D,20250404,000000,57,68,42.33,45,6016976,0
NMAX.US,D,20250407,000000,44.225,63.95,43.56,47.12,5026647,0
NMAX.US,D,20250408,000000,54.22,55,38.0001,39.21,5054315,0
NMAX.US,D,20250409,000000,40.18,40.5,30.8,34.71,4979525,0
NMAX.US,D,20250410,000000,34.76,35.5,25,25.4,3394241,0
NMAX.US,D,20250411,000000,25.6,28.795,22,22.85,4135471,0
NMAX.US,D,20250414,000000,23.83,27.49,22,26,5700342,0
NMAX.US,D,20250415,000000,29.2,30.9699,25.31,26.14,4409403,0
NMAX.US,D,20250416,000000,25.15,30.45,25.08,28.09,3100878,0
NMAX.US,D,20250417,000000,28.1,28.3,25.5,25.5,1621034,0
NMAX.US,D,20250421,000000,24.5,24.5,21.0601,21.73,2210443,0
NMAX.US,D,20250422,000000,22.235,24.65,22.235,23.38,2629758,0
NMAX.US,D,20250423,000000,23.8,24.76,21.3348,21.95,2087018,0
NMAX.US,D,20250424,000000,22.22,23.5,21.8,22.58,1578922,0
NMAX.US,D,20250425,000000,22.675,23.11,21.8,22.8,1187970,0
NMAX.US,D,20250428,000000,22.885,24.2,22.15,23,1270818,0
NMAX.US,D,20250429,000000,22.95,23.26,21.55,22.07,1182624,0
NMAX.US,D,20250430,000000,21.8,23.535,21.15,23.11,1168219,0
NMAX.US,D,20250501,000000,23.22,25.64,22.5528,23.36,1456323,0
NMAX.US,D,20250502,000000,23.48,24.24,22.7201,22.94,870202,0
NMAX.US,D,20250505,000000,22.76,23.4,22.39,23.05,537388,0
NMAX.US,D,20250506,000000,23,23.25,22.49,23.15,429276,0
NMAX.US,D,20250507,000000,22.74,26.6,22.64,25.24,2405896,0
NMAX.US,D,20250508,000000,25.35,25.35,23.25,23.57,1129586,0
NMAX.US,D,20250509,000000,24.3,25.4999,23.9,24.34,1330680,0
NMAX.US,D,20250512,000000,25,25.0641,23.82,24.54,1021154,0
NMAX.US,D,20250513,000000,24.72,24.88,23.81,24.18,847591,0
NMAX.US,D,20250514,000000,24.3,24.85,23.3141,23.36,915417,0
NMAX.US,D,20250515,000000,23.26,23.57,22.6656,23.21,374860,0
NMAX.US,D,20250516,000000,23.23,25.04,23.15,23.8,1360212,0
NMAX.US,D,20250519,000000,23.69,27.49,23.3727,25.82,1635272,0
NMAX.US,D,20250520,000000,23.34,24.3318,22.89,23.01,2633470,0
NMAX.US,D,20250521,000000,23.1,23.35,22.5,22.73,798325,0
NMAX.US,D,20250522,000000,22.85,23.68,22.65,23.57,633560,0
NMAX.US,D,20250523,000000,23.05,23.29,22.75,23.11,335933,0
NMAX.US,D,20250527,000000,23.25,23.25,21.7601,22,1301849,0
NMAX.US,D,20250528,000000,22.1692,22.1899,21.37,21.5,500490,0
NMAX.US,D,20250529,000000,21.5,22.52,21.15,22.32,830951,0
NMAX.US,D,20250530,000000,19.49,20.25,17.06,18.31,3095804,0
NMAX.US,D,20250602,000000,18.66,19.8,17.8,19.75,1657126,0
NMAX.US,D,20250603,000000,19.1,19.2,18.26,18.67,1345369,0
NMAX.US,D,20250604,000000,18.76,18.76,17.81,18.09,1684198,0
NMAX.US,D,20250605,000000,17.815,17.815,16.0561,16.19,2838818,0
NMAX.US,D,20250606,000000,16.1,17.0406,15.9022,16.79,1712744,0
NMAX.US,D,20250609,000000,16.61,16.65,14.7201,14.77,3012908,0
NMAX.US,D,20250610,000000,14.61,14.67,13.7044,14.41,1868682,0
NMAX.US,D,20250611,000000,14.46,14.75,13.07,13.17,2727808,0
NMAX.US,D,20250612,000000,13.12,13.32,12.53,12.67,2834306,0
NMAX.US,D,20250613,000000,12.46,12.83,12.1563,12.42,1610488,0
NMAX.US,D,20250616,000000,12.43,12.79,11.82,12.67,1585953,0
NMAX.US,D,20250617,000000,12.88,14.05,12.6781,13.03,2352635,0
NMAX.US,D,20250618,000000,13,13.57,12.75,13.21,941652,0
NMAX.US,D,20250620,000000,13.27,13.88,12.9,13.24,1142837,0
NMAX.US,D,20250623,000000,13.11,13.18,12.22,12.89,917817,0
NMAX.US,D,20250624,000000,12.985,13.21,12.69,12.82,603644,0
NMAX.US,D,20250625,000000,12.82,12.845,12.18,12.52,830485,0
NMAX.US,D,20250626,000000,12.51,13.3,12.25,13.1,930273,0
NMAX.US,D,20250627,000000,13.27,13.88,13.09,13.31,1951955,0
NMAX.US,D,20250630,000000,13.615,15.35,13.5901,15.13,2726961,0
NMAX.US,D,20250701,000000,15.13,15.1954,13.72,13.75,1694635,0
NMAX.US,D,20250702,000000,14.05,14.46,13.68,14.35,1052137,0
NMAX.US,D,20250703,000000,14.6481,15.1294,14.31,15.04,965959,0
NMAX.US,D,20250707,000000,14.9,15.04,14.31,14.51,795766,0
NMAX.US,D,20250708,000000,14.53,15.88,14.3,15.88,1208771,0
NMAX.US,D,20250709,000000,15.84,15.98,14.9,15.46,849706,0
NMAX.US,D,20250710,000000,15.48,15.6442,14.88,14.88,777204,0
NMAX.US,D,20250711,000000,14.76,14.7961,14.08,14.37,844461,0
NMAX.US,D,20250714,000000,14.25,14.61,14.2,14.53,351759,0
NMAX.US,D,20250715,000000,14.72,14.74,13.68,13.73,748685,0
NMAX.US,D,20250716,000000,13.875,14.25,13.7,14.18,524947,0
NMAX.US,D,20250717,000000,14.21,14.635,14,14.62,603858,0
NMAX.US,D,20250718,000000,14.685,14.83,14.35,14.4,582411,0
NMAX.US,D,20250721,000000,14.4,14.81,13.84,13.88,616415,0
NMAX.US,D,20250722,000000,13.88,14.15,13.75,14.14,404437,0
NMAX.US,D,20250723,000000,14.15,14.67,13.9701,14.67,421648,0
NMAX.US,D,20250724,000000,14.65,14.79,13.98,13.99,579059,0
NMAX.US,D,20250725,000000,14.02,14.0266,13.665,13.92,493532,0
NMAX.US,D,20250728,000000,13.91,14.0999,13.73,13.97,476929,0
NMAX.US,D,20250729,000000,13.885,13.9,13.2765,13.45,492138,0
NMAX.US,D,20250730,000000,13.35,13.6783,13.23,13.4,365389,0
NMAX.US,D,20250731,000000,13.3,13.67,13.25,13.29,287614,0
NMAX.US,D,20250801,000000,13.17,13.4,12.83,12.97,701933,0
NMAX.US,D,20250804,000000,12.99,13.2287,12.65,12.65,457963,0
NMAX.US,D,20250805,000000,12.725,12.8199,12.25,12.44,658689,0
NMAX.US,D,20250806,000000,12.29,12.63,12.26,12.59,729211,0
NMAX.US,D,20250807,000000,12.445,12.45,11.88,11.89,1142091,0
NMAX.US,D,20250808,000000,11.95,12.06,11.58,11.82,899301,0
NMAX.US,D,20250811,000000,11.85,12.05,11.4,11.48,1041003,0
NMAX.US,D,20250812,000000,11.56,12.075,11.43,11.91,562853,0
NMAX.US,D,20250813,000000,11.955,12.25,11.77,12.07,682622,0
NMAX.US,D,20250814,000000,11.81,12.24,11.6261,11.99,711623,0
NMAX.US,D,20250815,000000,11.855,12.225,11.8,12.11,639609,0
NMAX.US,D,20250818,000000,12.1301,13.98,12.1301,13.93,1799527,0
NMAX.US,D,20250819,000000,14.022,14.0899,12.91,12.96,1332160,0
NMAX.US,D,20250820,000000,12.52,13.5399,12.5,12.98,793433,0
NMAX.US,D,20250821,000000,13.205,14.48,12.93,14.47,1764355,0
NMAX.US,D,20250822,000000,14.95,15.24,14.36,15.24,2201967,0
NMAX.US,D,20250825,000000,14.875,15.6,14.24,14.91,1316354,0
NMAX.US,D,20250826,000000,15.175,15.94,15.05,15.62,1792800,0
NMAX.US,D,20250827,000000,15.55,15.75,15.05,15.35,791051,0
NMAX.US,D,20250828,000000,15.48,15.8108,15.016,15.36,592507,0
NMAX.US,D,20250829,000000,15.1301,15.2435,14.1,14.19,1031748,0
NMAX.US,D,20250902,000000,13.852,14.19,13.78,13.96,522988,0
NMAX.US,D,20250903,000000,14.18,14.28,13.68,13.84,694612,0
NMAX.US,D,20250904,000000,13.77,13.9052,13.15,13.32,650128,0
NMAX.US,D,20250905,000000,13.405,13.5878,12.95,13.31,677175,0
NMAX.US,D,20250908,000000,13.225,13.4207,12.66,12.86,817541,0
NMAX.US,D,20250909,000000,12.86,13.125,12.75,12.94,1007812,0
NMAX.US,D,20250910,000000,12.85,12.85,12.2,12.3,1447416,0
NMAX.US,D,20250911,000000,12.33,12.59,12.23,12.46,709982,0
NMAX.US,D,20250912,000000,12.5,12.85,12.39,12.77,635943,0
NMAX.US,D,20250915,000000,12.75,12.7699,12.45,12.69,405736,0
NMAX.US,D,20250916,000000,12.7,12.865,12.55,12.81,455768,0
NMAX.US,D,20250917,000000,12.85,13.3141,12.83,12.86,581942,0
NMAX.US,D,20250918,000000,12.95,13.15,12.82,12.9,564065,0
NMAX.US,D,20250919,000000,12.89,13.09,12.78,12.84,1024888,0
NMAX.US,D,20250922,000000,12.5616,12.8399,12.53,12.62,558619,0
NMAX.US,D,20250923,000000,12.72,13.6,12.7001,13.12,956744,0
NMAX.US,D,20250924,000000,13.21,13.2514,12.81,12.9,387402,0
NMAX.US,D,20250925,000000,12.7,12.84,12.425,12.64,444167,0
NMAX.US,D,20250926,000000,12.64,12.76,12.53,12.66,352283,0
NMAX.US,D,20250929,000000,12.6,12.7,12.01,12.28,1019574,0
NMAX.US,D,20250930,000000,12.19,12.41,12.09,12.4,610087,0
NMAX.US,D,20251001,000000,12.175,12.8,12.1591,12.3,591991,0
NMAX.US,D,20251002,000000,12.395,12.9399,12.3001,12.71,527615,0
NMAX.US,D,20251003,000000,12.63,13.05,12.5,12.71,501738,0
NMAX.US,D,20251006,000000,12.77,13.18,12.51,13.04,727775,0
NMAX.US,D,20251007,000000,13.0535,13.0717,12.56,12.67,698066,0
NMAX.US,D,20251008,000000,12.62,12.65,12.23,12.38,990040,0
NMAX.US,D,20251009,000000,12.32,12.415499,11.78,11.98,1052770,0
NMAX.US,D,20251010,000000,11.9,11.97,11.13,11.15,1407955,0
NMAX.US,D,20251013,000000,11.2168,11.62,11.19,11.62,569035,0
NMAX.US,D,20251014,000000,11.35,11.7,11.35,11.58,593641,0
NMAX.US,D,20251015,000000,11.6,11.77,11.16,11.28,726893,0
NMAX.US,D,20251016,000000,11.33,11.42,10.81,10.83,1150914,0
NMAX.US,D,20251017,000000,10.995,11.18,10.88,11.1,518911,0
NMAX.US,D,20251020,000000,11.29,11.53,11.09,11.32,609267,0
NMAX.US,D,20251021,000000,11.11,11.5,11.03,11.27,386787,0
NMAX.US,D,20251022,000000,11.12,11.185,10.8426,11.05,752360,0
NMAX.US,D,20251023,000000,11.07,11.26,10.9502,11.18,447172,0
NMAX.US,D,20251024,000000,11.25,11.39,10.67,10.82,1096479,0
NMAX.US,D,20251027,000000,10.85,10.9595,10.22,10.25,1000038,0
NMAX.US,D,20251028,000000,10.26,10.4,10.02,10.02,722124,0
NMAX.US,D,20251029,000000,10.01,10.25,9.8,9.89,1319990,0
NMAX.US,D,20251030,000000,9.8,10.3,9.7401,10.03,765137,0
NMAX.US,D,20251031,000000,10.03,10.1,9.88,10,805820,0
NMAX.US,D,20251103,000000,9.94,9.9442,9.37,9.6,884472,0
NMAX.US,D,20251104,000000,9.4,9.54,9.08,9.12,804316,0
NMAX.US,D,20251105,000000,9.093,9.25,8.95,9.16,823552,0
NMAX.US,D,20251106,000000,9.05,9.1783,8.71,8.85,916050,0
NMAX.US,D,20251107,000000,8.78,9.13,8.5,9.11,847740,0
NMAX.US,D,20251110,000000,9.149,9.3,8.87,9,638521,0
NMAX.US,D,20251111,000000,8.98,9.0522,8.735,8.76,730009,0
NMAX.US,D,20251112,000000,8.76,8.845,8.61,8.8,911507,0
NMAX.US,D,20251113,000000,8.73,8.8363,8.31,8.52,1292268,0
NMAX.US,D,20251114,000000,8.275,8.88,7.9,7.93,1359935,0
NMAX.US,D,20251117,000000,7.72,7.945,7.45,7.61,1381390,0
NMAX.US,D,20251118,000000,7.55,8.02,7.52,7.99,941388,0
NMAX.US,D,20251119,000000,7.92,7.99,7.56,7.57,1084475,0
NMAX.US,D,20251120,000000,7.66,7.9997,7.47,7.47,794223,0
NMAX.US,D,20251121,000000,7.47,7.615,7.31,7.39,624382,0
NMAX.US,D,20251124,000000,7.45,8.61,7.45,8.5,1938858,0
NMAX.US,D,20251125,000000,8.46,8.5,8.16,8.36,850853,0
NMAX.US,D,20251126,000000,8.34,8.4099,8.1,8.21,541463,0
NMAX.US,D,20251128,000000,8.21,8.44,8.1782,8.3,270073,0
NMAX.US,D,20251201,000000,8.2,8.42,7.97,8.04,727855,0
NMAX.US,D,20251202,000000,8.0733,8.35,7.85,8.17,694485,0
NMAX.US,D,20251203,000000,8.19,8.38,8.07,8.38,690020,0
NMAX.US,D,20251204,000000,8.38,8.51,8.291,8.36,476550,0
NMAX.US,D,20251205,000000,8.36,8.58,8.08,8.11,690441,0
NMAX.US,D,20251208,000000,8.12,8.595,8.1005,8.56,1175944,0
NMAX.US,D,20251209,000000,8.4015,9.22,8.4015,9.08,1212535,0
NMAX.US,D,20251210,000000,9.08,10,8.91,9.67,1510202,0
NMAX.US,D,20251211,000000,9.45,10.14,9.4101,10.03,1094418,0
NMAX.US,D,20251212,000000,10.14,10.2799,9.61,9.71,908844,0
NMAX.US,D,20251215,000000,9.7,9.8,9.31,9.39,736842,0
NMAX.US,D,20251216,000000,9.34,9.99,9.3,9.67,923005,0
NMAX.US,D,20251217,000000,9.68,9.86,9.0509,9.11,946262,0
NMAX.US,D,20251218,000000,9.17,9.41,9.055,9.08,757483,0
NMAX.US,D,20251219,000000,9.09,9.42,9.02,9.11,5367896,0
NMAX.US,D,20251222,000000,9.2,9.26,8.78,8.99,857646,0
NMAX.US,D,20251223,000000,8.77,8.9999,8.58,8.66,716911,0
NMAX.US,D,20251224,000000,8.62,8.9,8.59,8.87,360563,0
NMAX.US,D,20251226,000000,8.86,8.97,8.615,8.67,659328,0
NMAX.US,D,20251229,000000,8.61,8.75,8.14,8.2,977550,0
NMAX.US,D,20251230,000000,8.175,8.23,7.77,7.79,1300289,0
NMAX.US,D,20251231,000000,7.77,7.8999,7.65,7.73,1095998,0
NMAX.US,D,20260102,000000,7.78,7.98,7.67,7.88,635934,0
NMAX.US,D,20260105,000000,7.95,8.12,7.7801,7.98,995530,0
NMAX.US,D,20260106,000000,7.99,7.99,7.675,7.83,1078421,0
NMAX.US,D,20260107,000000,7.81,7.85,7.63,7.73,769160,0
NMAX.US,D,20260108,000000,7.72,7.87,7.575,7.8,853975,0
NMAX.US,D,20260109,000000,7.85,7.89,7.54,7.62,985079,0
NMAX.US,D,20260112,000000,7.59,7.62,7.42,7.53,726849,0
NMAX.US,D,20260113,000000,7.5,7.594,7.35,7.49,990582,0
NMAX.US,D,20260114,000000,7.49,7.62,7.4,7.58,591356,0
NMAX.US,D,20260115,000000,7.63,7.93,7.47,7.78,1100165,0
NMAX.US,D,20260116,000000,7.8,7.995,7.58,7.94,953678,0
NMAX.US,D,20260120,000000,7.76,7.84,7.5,7.55,1074788,0
NMAX.US,D,20260121,000000,7.67,7.78,7.35,7.71,1365913,0
NMAX.US,D,20260122,000000,7.635,8,7.6011,7.94,956440,0
NMAX.US,D,20260123,000000,7.91,7.96,7.6427,7.7,636288,0
NMAX.US,D,20260126,000000,7.67,7.75,7.46,7.48,859871,0
NMAX.US,D,20260127,000000,7.44,7.445,7.01,7.07,1541178,0
NMAX.US,D,20260128,000000,7.08,7.25,6.95,7.07,1217288,0
NMAX.US,D,20260129,000000,7.05,7.16,6.86,7.06,872705,0
NMAX.US,D,20260130,000000,7.02,7.11,6.83,6.9,1003703,0
NMAX.US,D,20260202,000000,6.92,6.95,6.55,6.56,1501842,0
NMAX.US,D,20260203,000000,6.58,6.71,6.28,6.6,1973936,0
NMAX.US,D,20260204,000000,6.61,6.94,6.38,6.68,1252360,0
NMAX.US,D,20260205,000000,6.56,6.6292,6.03,6.07,1168014,0
NMAX.US,D,20260206,000000,6.186,6.25,5.8821,6.11,1359245,0
NMAX.US,D,20260209,000000,6.09,6.19,5.88,6.19,1046562,0
NMAX.US,D,20260210,000000,6.2,6.66,6.165,6.23,1104710,0
NMAX.US,D,20260211,000000,6.26,6.265,5.85,5.9,1122948,0
NMAX.US,D,20260212,000000,5.9,6,5.245,5.3,1763231,0
NMAX.US,D,20260213,000000,5.37,5.56,5.18,5.4,1272769,0
NMAX.US,D,20260217,000000,5.4,5.6,5.31,5.47,889300,0
NMAX.US,D,20260218,000000,5.47,5.72,5.3,5.64,692792,0
