<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPFE.US,D,20260316,000000,24.71,24.77,24.65,24.6794,8487,0
NPFE.US,D,20260317,000000,24.78,24.8099,24.7,24.7406,3251,0
NPFE.US,D,20260318,000000,24.66,24.7,24.5047,24.5047,8784,0
NPFE.US,D,20260319,000000,24.5,24.59,24.44,24.5768,7342,0
NPFE.US,D,20260320,000000,24.49,24.51,24.13,24.1782,7365,0
NPFE.US,D,20260323,000000,24.72,24.73,24.4682,24.4682,14617,0
NPFE.US,D,20260324,000000,24.55,24.6,24.5052,24.5052,490,0
NPFE.US,D,20260325,000000,24.65,24.65,24.55,24.5747,4122,0
NPFE.US,D,20260326,000000,24.3432,24.3432,24.0586,24.0586,3003,0
NPFE.US,D,20260327,000000,23.91,23.99,23.7251,23.7251,4400,0
NPFE.US,D,20260330,000000,23.67,23.67,23.5548,23.5548,21830,0
NPFE.US,D,20260401,000000,24.47,24.47,24.4372,24.4372,280,0
NPFE.US,D,20260402,000000,24.51,24.51,24.45,24.4821,10629,0
NPFE.US,D,20260406,000000,24.51,24.5243,24.51,24.5243,284,0
NPFE.US,D,20260408,000000,25.28,25.28,25.21,25.2716,20627,0
NPFE.US,D,20260409,000000,25.28,25.41,25.28,25.3812,804,0
NPFE.US,D,20260410,000000,25.435,25.48,25.3845,25.3845,2435,0
NPFE.US,D,20260413,000000,25.38,25.6827,25.38,25.6827,361,0
NPFE.US,D,20260414,000000,25.93,25.93,25.9068,25.9068,3129,0
NPFE.US,D,20260415,000000,25.89,25.9666,25.87,25.9666,2810,0
NPFE.US,D,20260416,000000,26.05,26.07,25.96,26.027,21654,0
NPFE.US,D,20260417,000000,26.42,26.475,26.3937,26.3937,7618,0
NPFE.US,D,20260420,000000,26.28,26.36,26.28,26.338,3985,0
NPFE.US,D,20260421,000000,26.53,26.53,26.198,26.198,4789,0
NPFE.US,D,20260422,000000,26.32,26.385,26.31,26.385,4830,0
NPFE.US,D,20260423,000000,26.39,26.39,26.12,26.2971,12205,0
NPFE.US,D,20260424,000000,26.3,26.46,26.28,26.43,3762,0
NPFE.US,D,20260427,000000,26.37,26.39,26.35,26.39,2649,0
NPFE.US,D,20260428,000000,26.18,26.18,26.08,26.1366,37612,0
NPFE.US,D,20260429,000000,26.08,26.0919,26.05,26.0919,1102,0
NPFE.US,D,20260430,000000,26.08,26.338,26.08,26.338,3403,0
NPFE.US,D,20260501,000000,26.31,26.48,26.31,26.3133,2769,0
NPFE.US,D,20260504,000000,26.25,26.34,26.135,26.1661,6190,0
NPFE.US,D,20260505,000000,26.04,26.2101,26.04,26.1401,10204,0
NPFE.US,D,20260506,000000,26.34,26.51,26.34,26.4433,2622,0
NPFE.US,D,20260507,000000,26.35,26.38,26.198,26.198,407,0
NPFE.US,D,20260508,000000,26.23,26.23,26.12,26.1657,2437,0
NPFE.US,D,20260511,000000,26.21,26.235,26.14,26.155,7012,0
NPFE.US,D,20260512,000000,26.03,26.0643,25.93,26.0643,4398,0
NPFE.US,D,20260513,000000,26.03,26.2249,26.03,26.2249,6443,0
NPFE.US,D,20260514,000000,26.42,26.47,26.41,26.4257,2488,0
NPFE.US,D,20260515,000000,26.27,26.275,26.1735,26.1735,7182,0
NPFE.US,D,20260518,000000,26.21,26.2101,26.1,26.1898,6176,0
NPFE.US,D,20260519,000000,26.02,26.04,25.8834,25.8834,7351,0
NPFE.US,D,20260520,000000,26,26.172,26,26.172,2711,0
NPFE.US,D,20260521,000000,26.17,26.32,26.12,26.2941,4668,0
NPFE.US,D,20260522,000000,26.4,26.45,26.3733,26.3733,3979,0
NPFE.US,D,20260526,000000,26.5399,26.5399,26.43,26.5395,1294,0
NPFE.US,D,20260527,000000,26.6,26.6,26.53,26.53,2928,0
NPFE.US,D,20260528,000000,26.61,26.6102,26.54,26.6102,6192,0
NPFE.US,D,20260529,000000,26.62,26.62,26.52,26.57,12020,0
NPFE.US,D,20260601,000000,26.62,26.76,26.5122,26.76,1281,0
NPFE.US,D,20260602,000000,26.69,26.849,26.69,26.8451,6322,0
